Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2018/2019,"Agriculture and Agri-Food","Department of Agriculture and Agri-Food",480672,14543,9494,102540,7287,13884,33814,25607,50024,1427729,0,45222,35115,17755,x1000
2018/2019,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,3979,0,0,x1000
2018/2019,"Agriculture and Agri-Food","Canadian Grain Commission",44835,3293,271,2799,5894,2807,1679,0,2521,0,0,238,61580,604,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Department of Canadian Heritage",186363,5053,2042,25466,4417,1726,3375,0,2932,1185376,0,2811,6950,3047,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,292791,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1210831,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,25336,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,76247,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,8241,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,31115,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Canadian Radio-television and Telecommunications Commission",51420,1451,1245,3626,883,379,217,0,1974,0,0,209,50323,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","Library and Archives of Canada",86992,1409,1180,14497,3658,1285,2699,3695,3011,1500,0,5270,190,376,x1000
2018/2019,"Canadian Heritage and Multiculturalism","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,35439,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","National Capital Commission",0,0,0,0,0,0,0,0,0,0,0,109488,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","National Film Board",41676,3029,10120,5334,6291,84,356,0,1494,0,0,6283,4132,25,x1000
2018/2019,"Canadian Heritage and Multiculturalism","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,51461,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,30243,0,0,x1000
