Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2018/2019,"Canadian Heritage and Multiculturalism","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,101899,0,0,x1000
2018/2019,"Canadian Heritage and Multiculturalism","The National Battlefields Commission",4416,141,276,1079,62,936,655,326,373,0,0,2595,0,0,x1000
2018/2019,"Crown-Indigenous Relations","Department of Indian Affairs and Northern Development",306580,19112,5913,268320,11904,3872,3971,5377,4416,3561241,0,242280,0,1329,x1000
2018/2019,"Crown-Indigenous Relations","Canadian High Arctic Research Station",7926,2044,225,2639,1157,546,511,0,599,8951,0,59,0,0,x1000
2018/2019,"Democratic Institutions","Leaders' Debates Commission",120,13,0,8,1,0,0,0,0,0,0,0,0,0,x1000
2018/2019,"Democratic Institutions","Office of the Chief Electoral Officer",78567,10866,6048,53059,25264,452,2637,855,4248,1489,5,258,0,0,x1000
2018/2019,"Environment and Climate Change","Department of the Environment",712103,42003,6122,179144,30955,16602,39113,959,36059,402863,505,6928,56641,23360,x1000
2018/2019,"Environment and Climate Change","Canadian Environmental Assessment Agency",31732,1360,321,5912,583,120,485,0,1593,5090,0,1828,1460,0,x1000
2018/2019,"Environment and Climate Change","Parks Canada Agency",495474,22635,10281,218352,27065,33280,58892,473866,28359,23088,136,68896,0,0,x1000
2018/2019,"Families, Children and Social Development","Department of Employment and Social Development",2108081,61509,65866,669092,220267,5111,6015,0,31385,59870390,0,212755,393348,1654972,x1000
2018/2019,"Families, Children and Social Development","Canada Mortgage and Housing Corporation",0,0,0,0,0,0,0,0,0,0,0,2086438,0,0,x1000
2018/2019,"Families, Children and Social Development","Canadian Centre for Occupational Health and Safety",8250,250,98,1581,47,229,88,0,17,0,0,0,0,0,x1000
2018/2019,Finance,"Department of Finance",97153,3707,2304,11541,2101,436,91076,0,1601,71065432,22243872,578487,0,0,x1000
2018/2019,Finance,"Financial Consumer Agency of Canada",17066,561,772,4613,1284,139,93,0,967,0,0,50,0,0,x1000
2018/2019,Finance,"Financial Transactions and Reports Analysis Centre of Canada",39346,1188,441,2748,5599,255,322,0,1462,0,0,30,0,0,x1000
2018/2019,Finance,"Office of the Auditor General",74354,3842,733,5857,1138,184,203,0,1952,0,0,118,379,0,x1000
2018/2019,Finance,"Office of the Superintendent of Financial Institutions",128603,4423,1542,16601,11737,926,301,610,3540,0,0,0,0,0,x1000
2018/2019,"Fisheries, Oceans and the Canadian Coast Guard","Department of Fisheries and Oceans",1164630,95230,3645,392895,29692,148557,120447,159277,988201,185375,1,36170,41197,12,x1000
2018/2019,"Global Affairs","Department of Foreign Affairs, Trade and Development",1253719,148679,25162,298653,213937,32315,46764,48103,91859,4831996,0,103514,36265,1561,x1000
2018/2019,"Global Affairs","Export Development Canada (Canada Account)",0,0,0,7409,0,0,0,0,0,0,0,1628,0,0,x1000
2018/2019,"Global Affairs","International Development Research Centre",0,0,0,0,0,0,0,0,0,0,0,140366,0,0,x1000
2018/2019,"Global Affairs","International Joint Commission (Canadian Section)",4115,451,120,2419,470,3,28,439,452,0,0,6,0,0,x1000
2018/2019,"Global Affairs","Invest in Canada Hub",3264,774,1161,3450,267,3,97,1340,363,0,0,0,0,0,x1000
2018/2019,Health,"Department of Health",798327,19424,31620,148006,16186,19570,22445,6900,25341,1412669,0,7980,111563,27156,x1000
2018/2019,Health,"Canadian Food Inspection Agency",629730,15588,3254,68936,11337,13050,17983,22,20330,4751,0,7326,0,0,x1000
2018/2019,Health,"Canadian Institutes of Health Research",50261,4544,515,4481,1535,109,139,0,1284,1087884,0,175,0,0,x1000
2018/2019,Health,"Patented Medicine Prices Review Board",7570,215,693,1245,108,10,33,0,355,0,0,70,0,0,x1000
2018/2019,Health,"Public Health Agency of Canada",221263,8217,19456,91087,2191,3143,23166,387,11716,292402,0,3011,633,54,x1000
2018/2019,"Immigration, Refugees and Citizenship","Department of Citizenship and Immigration",653986,45862,8209,538724,24909,15122,22797,0,21730,1437039,0,12175,372870,3824,x1000
2018/2019,"Immigration, Refugees and Citizenship","Immigration and Refugee Board",122766,4585,512,20558,1290,3118,684,0,4001,0,0,845,0,0,x1000
2018/2019,"Indigenous Services","Department of Indigenous Services Canada",443995,324894,1805,504514,11499,3816,500928,29,53167,9787946,0,17889,63465,0,x1000
2018/2019,"Infrastructure and Communities","Office of Infrastructure of Canada",58617,1331,520,48732,1301,1954,141,89166,2333,5449773,0,384,0,0,x1000
2018/2019,"Infrastructure and Communities","The Jacques-Cartier and Champlain Bridges Inc.",0,0,0,0,0,0,0,0,0,0,0,166798,0,0,x1000
2018/2019,"Infrastructure and Communities","Windsor-Detroit Bridge Authority",0,0,0,0,0,0,0,0,0,0,0,330500,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Department of Industry",540301,15921,14265,147441,19829,8455,5637,21,23686,1767052,0,4626,228278,42955,x1000
2018/2019,"Innovation, Science and Economic Development","Atlantic Canada Opportunities Agency",62183,3058,569,3878,2089,147,363,0,724,276137,0,449,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Canadian Northern Economic Development Agency",10354,818,64,2325,999,133,85,0,166,30741,0,138,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Canadian Space Agency",77972,5094,3718,107811,3877,4668,2193,47,40480,56376,0,3510,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Canadian Tourism Commission",0,0,0,0,0,0,0,0,0,0,0,98683,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Copyright Board",2416,67,295,583,82,59,89,0,133,0,0,10,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Department of Western Economic Diversification",32436,1423,363,5619,673,1380,112,0,629,199727,0,5,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Economic Development Agency of Canada for the Regions of Quebec",34321,990,234,5717,682,42,196,0,1010,249855,0,90,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Federal Economic Development Agency for Southern Ontario",23114,786,532,4083,154,20,90,0,514,207204,0,209,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","National Research Council of Canada",462249,17743,1906,85815,10726,23008,48270,25734,61471,389218,0,19064,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Standards Council of Canada",0,0,0,0,0,0,0,0,0,0,0,17974,0,0,x1000
2018/2019,"Innovation, Science and Economic Development","Statistics Canada",551697,18250,7846,30044,12053,445,1312,833,4230,100,0,5135,22197,102004,x1000
2018/2019,Justice,"Department of Justice",626082,9712,2636,39583,7296,7537,3692,0,11393,400195,0,10797,344,329772,x1000
2018/2019,Justice,"Administrative Tribunals Support Service of Canada",72324,3165,874,6793,3934,3482,605,2153,2684,0,0,23,11020,15486,x1000
2018/2019,Justice,"Canadian Human Rights Commission",20362,750,147,1859,350,25,117,157,556,0,0,115,0,1725,x1000
2018/2019,Justice,"Courts Administration Service",58172,3207,515,10916,3060,1083,2563,1740,3803,0,0,260,0,0,x1000
2018/2019,Justice,"Office of the Commissioner for Federal Judicial Affairs",554209,22011,151,12900,304,27,61,0,151,0,0,5703,0,40,x1000
2018/2019,Justice,"Office of the Director of Public Prosecutions",137092,7581,408,53811,2288,3973,1457,0,1670,0,0,4605,228,15889,x1000
2018/2019,Justice,"Offices of the Information and Privacy Commissioners of Canada",28618,799,587,6768,1093,104,218,177,1002,498,0,49,0,174,x1000
2018/2019,Justice,"Registrar of the Supreme Court of Canada",30170,1467,292,2672,842,262,1160,0,817,0,0,66,0,0,x1000
2018/2019,"National Defence","Department of National Defence",9794735,826985,19858,3669840,540362,1536549,1082055,516803,3545656,209312,8753,245486,364429,16023,x1000
2018/2019,"National Defence","Communications Security Establishment",304555,0,0,0,0,0,0,9796,0,0,66545,312356,371,11225,x1000
2018/2019,"National Defence","Military Grievances External Review Committee",4854,38,24,624,489,4,36,95,147,0,0,-1,0,0,x1000
2018/2019,"National Defence","Military Police Complaints Commission",3286,161,88,795,371,7,18,11,40,0,0,-1,0,0,x1000
2018/2019,"National Defence","Office of the Communications Security Establishment Commissioner",1337,79,37,326,297,2,21,0,7,0,0,17,0,0,x1000
2018/2019,"National Revenue","Canada Revenue Agency",3539889,118376,23407,390870,273550,41727,18828,0,50026,1002504,0,18071,0,356135,x1000
2018/2019,"Natural Resources","Department of Natural Resources",447802,19591,10262,114838,17625,6777,23214,14839,23561,739093,0,9552,17981,6206,x1000
2018/2019,"Natural Resources","Atomic Energy of Canada Limited",0,0,0,0,0,0,0,0,0,0,0,829233,0,0,x1000
2018/2019,"Natural Resources","Canadian Nuclear Safety Commission",109875,5621,966,16041,4799,1454,505,0,7010,2599,0,53,0,0,x1000
2018/2019,"Natural Resources","National Energy Board",69033,3638,290,12461,551,1092,463,20,810,5090,0,14658,0,0,x1000
2018/2019,"Natural Resources","Northern Pipeline Agency",28,3,0,188,10,0,1,0,0,0,0,1,0,0,x1000
2018/2019,"Office of the Governor General's Secretary","Office of the Governor General's Secretary",15138,1912,608,1879,447,32,1134,0,1232,732,0,63,0,0,x1000
2018/2019,Parliament,"House of Commons",386081,42328,10935,27967,19422,5841,11142,0,14415,1042,0,863,5183,27440,x1000
2018/2019,Parliament,"Library of Parliament",38523,691,583,3358,730,123,3616,0,791,0,0,-19,867,0,x1000
2018/2019,Parliament,"Office of the Conflict of Interest and Ethics Commissioner",5458,61,8,812,8,8,56,0,105,0,0,2,0,0,x1000
2018/2019,Parliament,"Office of the Parliamentary Budget Officer",3873,81,35,1231,60,2,94,0,45,0,0,10,0,0,x1000
2018/2019,Parliament,"Office of the Senate Ethics Officer",808,11,0,305,4,0,7,0,6,0,0,0,0,0,x1000
2018/2019,Parliament,"Parliamentary Protective Service",53885,270,91,19801,561,2255,552,0,6929,0,0,112,31,580,x1000
2018/2019,Parliament,"Secretariat of the National Security and Intelligence Committee of Parliamentarians",1363,50,41,703,47,1310,9,0,109,0,0,0,0,0,x1000
2018/2019,Parliament,Senate,77527,9269,543,4078,1129,748,897,0,1318,492,0,89,0,0,x1000
2018/2019,"Privy Council","Privy Council Office",134387,8727,15864,34096,3025,3631,1199,0,5680,7431,0,1197,65,895,x1000
2018/2019,"Privy Council","Canadian Intergovernmental Conference Secretariat",2602,732,29,1100,598,22,24,0,163,0,0,0,0,0,x1000
2018/2019,"Privy Council","Canadian Transportation Accident Investigation and Safety Board",26082,1610,163,1778,398,397,272,0,1416,0,0,5,0,0,x1000
2018/2019,"Privy Council","Office of the Commissioner of Official Languages",17317,560,128,2330,325,271,91,0,692,0,0,189,0,0,x1000
2018/2019,"Privy Council","Public Service Commission",78527,1076,274,10536,1333,144,271,0,2725,0,0,1049,135,9234,x1000
2018/2019,"Privy Council","Security Intelligence Review Committee",3279,384,31,567,83,19,36,0,580,0,0,13,0,0,x1000
2018/2019,"Public Safety and Emergency Preparedness","Department of Public Safety and Emergency Preparedness",118086,4258,5587,21929,5384,2971,633,60,4960,564277,0,1610,560,1594,x1000
2018/2019,"Public Safety and Emergency Preparedness","Canada Border Services Agency",1652501,52451,1555,308314,12758,29789,13292,49995,50030,0,0,8374,24121,0,x1000
2018/2019,"Public Safety and Emergency Preparedness","Canadian Security Intelligence Service",376044,0,0,0,0,0,0,0,0,0,0,210564,0,0,x1000
2018/2019,"Public Safety and Emergency Preparedness","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police",7017,366,160,1311,389,2,100,0,248,0,0,292,0,0,x1000
2018/2019,"Public Safety and Emergency Preparedness","Correctional Service of Canada",1757110,29735,774,368635,26986,37838,162491,143730,80335,1869,0,94081,5190,109074,x1000
2018/2019,"Public Safety and Emergency Preparedness","Office of the Correctional Investigator of Canada",4184,279,62,332,21,8,13,0,24,0,0,278,0,0,x1000
2018/2019,"Public Safety and Emergency Preparedness","Parole Board of Canada",47704,2621,61,2380,162,65,180,724,667,0,0,151,4961,0,x1000
2018/2019,"Public Safety and Emergency Preparedness","Royal Canadian Mounted Police",3429089,214721,2671,520003,177642,100222,158087,104838,297469,297685,746,150366,1647822,16488,x1000
2018/2019,"Public Safety and Emergency Preparedness","Royal Canadian Mounted Police External Review Committee",1641,39,8,427,5,0,30,0,20,0,0,141,0,0,x1000
2018/2019,"Public Services and Procurement","Department of Public Works and Government Services",1425863,90907,17719,2041181,1203113,1263632,254765,580235,162778,-3227,129069,378571,381664,3283865,x1000
2018/2019,"Public Services and Procurement","Canada Post Corporation",0,0,0,0,0,0,0,0,0,0,0,22210,0,0,x1000
2018/2019,"Public Services and Procurement","Shared Services Canada",702955,551415,1315,271957,388444,168711,7726,8956,421258,0,4181,3855,4335,678629,x1000
2018/2019,Science,"Natural Sciences and Engineering Research Council",42918,3518,1225,5398,1076,114,127,229,1519,1273975,0,51,0,0,x1000
2018/2019,Science,"Social Sciences and Humanities Research Council",27172,1498,1188,3680,604,64,62,145,1057,837621,0,39,0,0,x1000
2018/2019,Transport,"Department of Transport",604390,36767,5904,180868,9930,14001,17436,97217,48323,276102,0,14281,42762,33526,x1000
2018/2019,Transport,"Canadian Air Transport Security Authority",0,0,0,0,0,0,0,0,0,0,0,817771,0,0,x1000
2018/2019,Transport,"Canadian Transportation Agency",27752,789,626,1619,805,128,143,0,1219,0,0,63,0,0,x1000
2018/2019,Transport,"Marine Atlantic Inc.",0,0,0,0,0,0,0,0,0,0,0,125945,0,0,x1000
2018/2019,Transport,"The Federal Bridge Corporation Limited",0,0,0,0,0,0,0,0,0,0,0,3464,0,0,x1000
2018/2019,Transport,"VIA Rail Canada Inc.",0,0,0,0,0,0,0,0,0,0,0,496247,0,0,x1000
2018/2019,"Treasury Board","Treasury Board Secretariat",6687892,3428,634,123660,4853,1297,756,0,8421,1183,0,-6874,493788,175605,x1000
2018/2019,"Treasury Board","Canada School of Public Service",65236,2374,1208,13071,1076,257,372,673,4291,0,0,-3323,0,0,x1000
2018/2019,"Treasury Board","Office of the Commissioner of Lobbying",3157,73,18,1301,48,4,17,395,300,0,0,-3,0,0,x1000
2018/2019,"Treasury Board","Office of the Public Sector Integrity Commissioner",3732,106,34,875,35,1,5,734,59,30,0,10,0,0,x1000
2018/2019,"Veterans Affairs","Department of Veterans Affairs",257606,44314,4556,485980,9109,6980,219005,478,4874,3655865,0,1696,0,0,x1000
2018/2019,"Veterans Affairs","Veterans Review and Appeal Board",8264,687,4,550,36,84,95,0,160,0,0,26,0,0,x1000
2018/2019,"Women and Gender Equality","Department for Women and Gender Equality",11389,909,282,9901,243,21,87,0,505,14318,0,-166,0,0,x1000
2018/2019,"Women and Gender Equality","Office of the Co-ordinator, Status of Women",11638,830,161,5964,283,10,24,0,505,14956,0,286,0,0,x1000
