Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2022/2023,2021/2022-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Principaux paiements de transfert",2270,2319,x1000000
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Autres paiements de transfert",8295,8610,x1000000
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Autres charges",1125,898,x1000000
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Frais de la dette publique",43,43,x1000000
"Portefeuilles ministériels","Affaires mondiales","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",7090,6185,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges",3180,2943,x1000000
"Portefeuilles ministériels","Affaires mondiales","Frais de la dette publique",0,0,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Principaux paiements de transfert",0,0,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Autres paiements de transfert",343,225,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Autres charges",67,68,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",2300,2223,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges",1052,1061,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",48,43,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges",408,391,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges",26,24,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges",4897,11698,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Autres paiements de transfert",3,1,x1000000
"Portefeuilles ministériels","Conseil privé","Autres charges",393,326,x1000000
"Portefeuilles ministériels","Conseil privé","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",1332,314,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges",31255,28829,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",66,67,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'œuvre et Inclusion des personnes en situation de handicap","Principaux paiements de transfert",92174,118230,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'œuvre et Inclusion des personnes en situation de handicap","Autres paiements de transfert",11851,12257,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'œuvre et Inclusion des personnes en situation de handicap","Autres charges",5908,5387,x1000000
"Portefeuilles ministériels","Emploi, Développement de la main-d'œuvre et Inclusion des personnes en situation de handicap","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres paiements de transfert",736,648,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres charges",2471,2085,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Femmes, Égalité des genres et Jeunesse","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Femmes, Égalité des genres et Jeunesse","Autres paiements de transfert",259,177,x1000000
"Portefeuilles ministériels","Femmes, Égalité des genres et Jeunesse","Autres charges",63,52,x1000000
"Portefeuilles ministériels","Femmes, Égalité des genres et Jeunesse","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",82826,80619,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",6118,785,x1000000
"Portefeuilles ministériels",Finances,"Autres charges",927,945,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",34678,24204,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres paiements de transfert",2795,1770,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres charges",2906,2003,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Industrie","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Industrie","Autres paiements de transfert",6747,5635,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Industrie","Autres charges",3591,3518,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Industrie","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Justice,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",595,518,x1000000
"Portefeuilles ministériels",Justice,"Autres charges",1621,1548,x1000000
"Portefeuilles ministériels",Justice,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",2,2,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges",811,748,x1000000
"Portefeuilles ministériels",Parlement,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres paiements de transfert",1999,1735,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres charges",3986,4031,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Frais de la dette publique",12,8,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres paiements de transfert",393,618,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres charges",2693,2178,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Autres paiements de transfert",17001,7766,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Autres charges",9700,6415,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones et Affaires du Nord","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres paiements de transfert",1606,1306,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres charges",1510,2716,x1000000
"Portefeuilles ministériels","Ressources naturelles","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Revenu national","Principaux paiements de transfert",24294,48514,x1000000
"Portefeuilles ministériels","Revenu national","Autres paiements de transfert",14886,16622,x1000000
"Portefeuilles ministériels","Revenu national","Autres charges",10927,10523,x1000000
"Portefeuilles ministériels","Revenu national","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Santé,"Principaux paiements de transfert",1200,2500,x1000000
"Portefeuilles ministériels",Santé,"Autres paiements de transfert",2762,2588,x1000000
"Portefeuilles ministériels",Santé,"Autres charges",8184,13050,x1000000
"Portefeuilles ministériels",Santé,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique","Autres paiements de transfert",477,5557,x1000000
"Portefeuilles ministériels","Sécurité publique","Autres charges",14289,14625,x1000000
"Portefeuilles ministériels","Sécurité publique","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres paiements de transfert",17695,15916,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres charges",6141,6811,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres paiements de transfert",-4,5,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres charges",6279,6045,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Frais de la dette publique",119,124,x1000000
"Portefeuilles ministériels",Transports,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Transports,"Autres paiements de transfert",1066,1010,x1000000
"Portefeuilles ministériels",Transports,"Autres charges",3649,2860,x1000000
"Portefeuilles ministériels",Transports,"Frais de la dette publique",47,44,x1000000
"Provision pour évaluation et autres éléments",,"Principaux paiements de transfert",0,0,x1000000
"Provision pour évaluation et autres éléments",,"Autres paiements de transfert",-201,-225,x1000000
"Provision pour évaluation et autres éléments",,"Autres charges",1537,-7333,x1000000
"Provision pour évaluation et autres éléments",,"Frais de la dette publique",-12,-5,x1000000
"Pertes actuarielles nettes",,"Principaux paiements de transfert",0,0,x1000000
"Pertes actuarielles nettes",,"Autres paiements de transfert",0,0,x1000000
"Pertes actuarielles nettes",,"Autres charges",9627,10186,x1000000
"Pertes actuarielles nettes",,"Frais de la dette publique",0,0,x1000000
