Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2016/2017,2015/2016-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires autochtones et du Nord","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires autochtones et du Nord","Autres paiements de transfert",9474,7843,x1000000
"Portefeuilles ministériels","Affaires autochtones et du Nord","Autres charges",2961,1408,x1000000
"Portefeuilles ministériels","Affaires autochtones et du Nord","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",4183,4367,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges",4557,4972,x1000000
"Portefeuilles ministériels","Affaires mondiales","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",1567,1289,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges",1436,951,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",24,18,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges",929,911,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges",22,21,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",1,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges",3139,4214,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Autres paiements de transfert",1,105,x1000000
"Portefeuilles ministériels","Conseil privé","Autres charges",307,566,x1000000
"Portefeuilles ministériels","Conseil privé","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",153,152,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges",25576,28519,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",84,88,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres paiements de transfert",170,135,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres charges",1632,1506,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Frais de la dette publique",1,1,x1000000
