Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2019/2020,"Affaires mondiales","Ministère des Affaires étrangères, du Commerce et du Développement",1315481,151129,22552,330792,199952,30762,45615,26319,73478,4925247,0,94299,37499,1224,x1000
2019/2020,"Affaires mondiales","Exportation et développement Canada (Compte du Canada)",0,0,0,8590,0,0,0,0,0,0,0,0,0,0,x1000
2019/2020,"Affaires mondiales","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,142907,0,0,x1000
2019/2020,"Affaires mondiales","Commission mixte internationale (section canadienne)",4524,600,110,2896,564,6,23,0,192,0,0,17,0,0,x1000
2019/2020,"Affaires mondiales","Investir au Canada",6576,1296,6868,8319,812,13,131,760,1287,0,0,34,0,0,x1000
2019/2020,"Agriculture et Agroalimentaire","Ministère de l'Agriculture et de l'Agroalimentaire",506976,13062,10245,107802,8539,12692,34417,16455,42234,1857133,0,9609,31267,19966,x1000
2019/2020,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,3967,0,0,x1000
2019/2020,"Agriculture et Agroalimentaire","Commission canadienne des grains",45055,2652,254,2973,5940,2775,1279,0,3037,0,0,106,60689,677,x1000
2019/2020,"Anciens Combattants","Ministère des Anciens Combattants",288385,42675,5663,506513,6964,8919,224460,1259,4851,3648780,0,93905,0,0,x1000
2019/2020,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",9120,765,6,413,58,46,99,0,180,0,0,10,0,0,x1000
2019/2020,"Bureau du secrétaire du gouverneur général","Bureau du secrétaire du gouverneur général",16284,1362,759,2013,509,57,891,0,382,747,0,177,0,0,x1000
2019/2020,"Conseil du Trésor","Secrétariat du Conseil du Trésor",3558144,2434,756,139794,7623,1023,771,0,6425,1178,0,-5518,540727,197596,x1000
2019/2020,"Conseil du Trésor","École de la fonction publique du Canada",69323,2431,881,11522,1097,44,317,239,1164,0,0,-5638,0,0,x1000
2019/2020,"Conseil du Trésor","Commissariat au lobbying",3064,74,20,1275,31,5,19,228,116,0,0,-3,0,0,x1000
2019/2020,"Conseil du Trésor","Commissariat à l'intégrité du secteur public",3808,176,34,840,55,4,24,179,187,22,0,70,0,0,x1000
2019/2020,"Conseil privé","Bureau du Conseil privé",134517,5455,11363,21765,3085,3968,1160,0,3538,1734,0,860,93,2002,x1000
2019/2020,"Conseil privé","Secrétariat des conférences intergouvernementales canadiennes",2897,646,30,1083,599,1,16,0,157,0,0,-3,0,0,x1000
2019/2020,"Conseil privé","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports",29365,1676,135,2566,460,392,224,5,848,0,0,29,0,0,x1000
2019/2020,"Conseil privé","Commission des débats des chefs",869,78,1717,1051,0,0,0,0,0,0,0,18,0,0,x1000
2019/2020,"Conseil privé","Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement",3629,225,95,1360,61,115,41,0,87,0,0,12,0,0,x1000
2019/2020,"Conseil privé","Bureau du directeur général des élections",278198,47911,29873,51648,73305,606,3361,2121,3656,79779,4,434,0,0,x1000
2019/2020,"Conseil privé","Commissariat aux langues officielles",17340,570,143,2083,236,386,83,0,911,0,0,-121,0,0,x1000
2019/2020,"Conseil privé","Bureau du commissaire au renseignement",1130,40,10,245,225,1,13,0,4,0,0,0,0,0,x1000
2019/2020,"Conseil privé","Commission de la fonction publique",87104,807,261,10321,1446,210,286,0,1038,0,0,1580,11,9430,x1000
2019/2020,"Conseil privé","Comité de surveillance des activités de renseignement de sécurité",1018,26,4,144,31,4,4,0,28,0,0,37,0,0,x1000
2019/2020,"Défense nationale","Ministère de la Défense nationale",10544667,773825,19055,3721271,554207,1719280,1155423,464384,3724899,223882,3844,292672,343269,14702,x1000
2019/2020,"Défense nationale","Centre de la sécurité des télécommunications",331546,0,0,0,0,0,0,10605,0,0,65736,367241,363,13670,x1000
2019/2020,"Défense nationale","Comité externe d'examen des griefs militaires",5247,30,56,360,521,10,14,30,103,0,0,5,0,0,x1000
2019/2020,"Défense nationale","Commission d'examen des plaintes concernant la police militaire",3419,118,51,708,374,4,15,0,45,0,0,-3,0,0,x1000
2019/2020,"Défense nationale","Bureau du commissaire du Centre de la sécurité des télécommunications",237,6,12,105,76,0,3,0,1,0,0,0,0,0,x1000
2019/2020,"Environnement et Changement climatique","Ministère de l'Environnement",777564,39723,7120,195532,28097,16115,35955,1630,32682,481634,461,6894,53526,24217,x1000
2019/2020,"Environnement et Changement climatique","Agence canadienne d'évaluation d'impact",44372,2103,699,9623,739,9,210,0,863,7388,0,144,2703,0,x1000
2019/2020,"Environnement et Changement climatique","Agence Parcs Canada",466164,23660,9570,182935,18955,24239,58624,564345,34015,45736,112,51920,0,0,x1000
2019/2020,"Famille, Enfants et Développement social","Ministère de l'Emploi et du Développement social",2293629,92439,71709,678084,224211,10695,7832,0,68741,68188117,0,59242,387497,1478439,x1000
2019/2020,"Famille, Enfants et Développement social","Société canadienne d'hypothèques et de logement",0,0,0,0,0,0,0,0,0,0,0,2215672,0,0,x1000
2019/2020,"Famille, Enfants et Développement social","Organisation canadienne d'élaboration de normes d'accessibilité",821,96,61,1366,112,0,6,0,10,1488,0,1,0,0,x1000
2019/2020,"Famille, Enfants et Développement social","Centre canadien d'hygiène et de sécurité au travail",9094,281,82,1114,23,268,135,0,184,0,0,0,0,0,x1000
2019/2020,"Femme et Égalité des genres","Ministère des Femmes et de l'Égalité des genres",31268,1204,2863,10440,935,27,109,0,1623,65837,0,241,0,0,x1000
2019/2020,"Gouvernement numérique","Services partagés Canada",756670,509899,3306,300926,402285,226873,7809,16394,469553,0,7785,3594,4128,727370,x1000
2019/2020,Finances,"Ministère des Finances",100711,2695,1374,10626,1342,456,86628,2,879,74049499,23788859,799610,0,0,x1000
2019/2020,Finances,"Agence de la consommation en matière financière du Canada",19872,495,1493,4802,1646,412,164,0,1325,0,0,122,0,0,x1000
2019/2020,Finances,"Centre d'analyse des opérations et déclarations financières du Canada",41394,1224,428,3854,6047,909,360,0,1060,0,0,7,0,0,x1000
2019/2020,Finances,"Bureau du vérificateur général",74462,3775,798,6814,1278,208,216,0,1461,0,0,18,1376,0,x1000
2019/2020,Finances,"Bureau du surintendant des institutions financières",142158,4733,1721,24210,13102,1060,592,1585,4392,0,0,81,0,0,x1000
2019/2020,"Immigration, Réfugiés et Citoyenneté","Ministère de la Citoyenneté et de l'Immigration",714876,43718,8043,660244,27048,6251,28839,0,10422,1827665,0,17403,280016,3893,x1000
2019/2020,"Immigration, Réfugiés et Citoyenneté","Commission de l'immigration et du statut de réfugié",154429,6256,430,25349,2189,2552,719,0,7043,0,0,1440,0,0,x1000
2019/2020,"Infrastructure et Collectivités","Bureau de l'infrastructure du Canada",70696,1451,556,56241,2639,8887,163,1181510,490,7616738,0,9496,0,0,x1000
2019/2020,"Infrastructure et Collectivités","Les Ponts Jacques-Cartier et Champlain Inc.",0,0,0,0,0,0,0,0,0,0,0,155647,0,0,x1000
2019/2020,"Infrastructure et Collectivités","Autorité du pont Windsor-Détroit",0,0,0,0,0,0,0,0,0,0,0,570550,0,0,x1000
2019/2020,"Innovation, Sciences et Développement économique","Ministère de l'Industrie",582403,15094,10972,179645,24564,6521,5373,0,9988,1823970,0,7220,238445,41197,x1000
2019/2020,"Innovation, Sciences et Développement économique","Agence de promotion économique du CanadaCanada atlantique",65243,2863,602,3326,1927,259,283,0,902,274953,0,1302,0,0,x1000
2019/2020,"Innovation, Sciences et Développement économique","Agence canadienne de développement économique du Nord",13543,1219,105,2863,1780,120,154,0,173,46756,0,449,0,0,x1000
2019/2020,"Innovation, Sciences et Développement économique","Agence spatiale canadienne",81665,6063,2810,111593,3855,1674,2754,0,51751,59583,0,2688,0,0,x1000
2019/2020,"Innovation, Sciences et Développement économique","Commission canadienne du tourisme",0,0,0,0,0,0,0,0,0,0,0,100666,0,0,x1000
2019/2020,"Innovation, Sciences et Développement économique","Commission du droit d'auteur",2944,73,132,547,86,239,14,0,23,0,0,12,0,0,x1000
2019/2020,"Innovation, Sciences et Développement économique","Ministère de la Diversification de l'économie de l'Ouest canadien",36924,1449,535,6565,885,109,149,0,1314,261120,0,30,0,0,x1000
