Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Bureau de l'infrastructure du Canada",113322,1940,581,44671,3126,16726,52,6710,3571,8727610,43093,679,0,0,x1000
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Société canadienne d'hypothèques et de logement",0,0,0,0,0,0,0,0,0,0,0,4042530,0,0,x1000
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Secrétariat des conférences intergouvernementales canadiennes",2984,168,22,1345,297,0,17,0,59,0,0,2,0,0,x1000
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Commission des débats des chefs",590,4,1834,764,5,0,0,0,0,0,0,9,0,0,x1000
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Bureau du directeur général des élections",339012,47953,30611,46472,92049,846,2239,47,2131,65405,2,521,0,0,x1000
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Commissariat aux langues officielles",18999,196,329,2729,197,69,44,0,524,0,0,27,0,0,x1000
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Les Ponts Jacques-Cartier et Champlain Inc.",0,0,0,0,0,0,0,0,0,0,0,235144,0,0,x1000
2021/2022,"Affaires intergouvernementales, Infrastructure et Collectivités","Autorité du pont Windsor-Détroit",0,0,0,0,0,0,0,0,0,0,0,481288,0,0,x1000
2021/2022,"Affaires mondiales","Ministère des Affaires étrangères, du Commerce et du Développement",1391537,117288,24532,334881,195337,34035,38263,45922,47569,5848864,0,41963,45034,946,x1000
2021/2022,"Affaires mondiales","Exportation et développement Canada (Compte du Canada)",0,0,0,238560,0,0,0,0,0,0,0,1017083,0,0,x1000
2021/2022,"Affaires mondiales","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,155251,0,0,x1000
2021/2022,"Affaires mondiales","Commission mixte internationale (section canadienne)",4802,121,348,2277,492,1,21,0,193,0,0,63,0,0,x1000
2021/2022,"Affaires mondiales","Investir au Canada",9435,354,18959,4425,819,1,65,0,433,0,0,-4,0,0,x1000
2021/2022,"Affaires mondiales","Agence de développement économique du Pacifique Canada",8753,109,16,2337,99,0,17,0,636,156737,0,2,0,0,x1000
2021/2022,"Agence de développement économique du Canada pour les régions du Québec","Agence de développement économique du Canada pour les régions du Québec",44178,293,465,4762,1457,33,62,0,1419,391137,0,32,0,0,x1000
2021/2022,"Agriculture et Agroalimentaire","Ministère de l'Agriculture et de l'Agroalimentaire",546033,3477,11099,116111,8639,11085,35312,20255,37767,2711520,0,9572,25236,23709,x1000
2021/2022,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,4291,0,0,x1000
2021/2022,"Agriculture et Agroalimentaire","Commission canadienne des grains",48598,1578,184,3556,6285,962,1306,0,3862,0,0,73,49825,533,x1000
2021/2022,"Anciens Combattants","Ministère des Anciens Combattants",348625,22356,4868,507423,23481,6079,282728,0,2059,4194786,0,13987,0,0,x1000
2021/2022,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",10577,34,7,293,17,0,50,0,109,0,0,17,0,0,x1000
2021/2022,"Bureau du secrétaire du gouverneur général","Bureau du secrétaire du gouverneur général",17354,582,479,2015,523,199,817,0,620,925,0,340,0,0,x1000
2021/2022,"Conseil du Trésor","Secrétariat du Conseil du Trésor",11774159,883,934,135772,12581,454,194,0,4507,854,0,-15674,560741,285993,x1000
2021/2022,"Conseil du Trésor","École de la fonction publique du Canada",70021,151,903,9498,6178,130,88,0,1010,0,0,-6643,0,0,x1000
2021/2022,"Conseil du Trésor","Commissariat au lobbying",3053,57,24,1203,60,16,12,0,224,0,0,5,0,0,x1000
