Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2019/2020,2018/2019-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires mondiales","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",4769,4679,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges",2455,2406,x1000000
"Portefeuilles ministériels","Affaires mondiales","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",1774,1397,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges",1133,1175,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",56,21,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges",1093,1120,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges",24,22,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges",3581,6720,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Autres paiements de transfert",81,3,x1000000
"Portefeuilles ministériels","Conseil privé","Autres charges",832,528,x1000000
"Portefeuilles ministériels","Conseil privé","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",224,209,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges",27320,26613,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",69,74,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres paiements de transfert",532,429,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres charges",1947,1946,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Frais de la dette publique",1,0,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Principaux paiements de transfert",82725,72272,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres paiements de transfert",9664,8899,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres charges",3927,3135,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Autres paiements de transfert",66,29,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Autres charges",46,42,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",75905,70734,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",386,1012,x1000000
"Portefeuilles ministériels",Finances,"Autres charges",585,539,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",24183,23012,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Autres charges",1848,1792,x1000000
"Portefeuilles ministériels","Gouvernement numérique","Frais de la dette publique",15,4,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres paiements de transfert",1825,1434,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres charges",1666,1455,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Principaux paiements de transfert",2170,4341,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres paiements de transfert",3214,3330,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres charges",496,539,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Frais de la dette publique",9,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres paiements de transfert",5495,4742,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres charges",3009,2725,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Justice,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",431,400,x1000000
"Portefeuilles ministériels",Justice,"Autres charges",1481,1425,x1000000
"Portefeuilles ministériels",Justice,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges",765,730,x1000000
"Portefeuilles ministériels",Parlement,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres paiements de transfert",1317,1187,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres charges",3156,3209,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Frais de la dette publique",3,3,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres paiements de transfert",272,182,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres charges",2554,2402,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Frais de la dette publique",0,0,x1000000
