Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2017/2018,"Affaires autochtones et du Nord","Ministère des Affaires indiennes et du Nord canadien",421923,21853,6405,270189,19896,3151,3907,19925,7688,7157581,0,99274,0,2370,x1000
2017/2018,"Affaires autochtones et du Nord","Station canadienne de recherche dans l'Extrême-Arctique",6251,1819,179,1158,1063,5,290,0,48,10709,0,6,0,0,x1000
2017/2018,"Affaires mondiales","Ministère des Affaires étrangères, du Commerce et du Développement",1174392,125965,19398,272681,187603,27773,46437,64076,71543,4539007,0,81699,35142,1145,x1000
2017/2018,"Affaires mondiales","Corporation commerciale canadienne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,x1000
2017/2018,"Affaires mondiales","Exportation et développement Canada (Compte du Canada)",0,0,0,5588,0,0,0,0,0,0,0,45610,0,0,x1000
2017/2018,"Affaires mondiales","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,139952,0,0,x1000
2017/2018,"Affaires mondiales","Commission mixte internationale (section canadienne)",4211,473,142,1761,443,8,64,0,312,0,0,5,0,0,x1000
2017/2018,"Affaires mondiales","Investir au Canada",284,14,769,483,321,0,0,0,162,0,0,0,0,0,x1000
2017/2018,"Agriculture et Agroalimentaire","Ministère de l'Agriculture et de l'Agroalimentaire",495273,17290,7834,106725,7717,12869,34926,32225,45359,1269798,0,12006,39105,18019,x1000
2017/2018,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,3924,0,0,x1000
2017/2018,"Agriculture et Agroalimentaire","Commission canadienne des grains",45030,3233,300,3093,5649,2430,1297,0,4760,0,0,201,68368,589,x1000
2017/2018,"Anciens Combattants","Ministère des Anciens Combattants",259687,32711,3006,454962,6573,4295,193407,0,1779,3814670,0,2801,0,0,x1000
2017/2018,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",8972,880,8,459,42,117,96,0,243,0,0,35,0,0,x1000
2017/2018,"Bureau du secrétaire du gouverneur général","Bureau du secrétaire du gouverneur général",16711,1591,537,1967,433,21,919,0,614,647,0,17,0,0,x1000
2017/2018,"Conseil du Trésor","Secrétariat du Conseil du Trésor",4340899,2633,1843,119381,3692,4948,676,0,6666,1076,0,-3836,12633,658443,x1000
2017/2018,"Conseil du Trésor","École de la fonction publique du Canada",56069,2061,793,12186,739,347,373,1215,1128,0,0,1379,0,0,x1000
2017/2018,"Conseil du Trésor","Commissariat au lobbying",2907,81,48,1417,32,4,18,0,252,0,0,13,0,0,x1000
2017/2018,"Conseil du Trésor","Commissariat à l'intégrité du secteur public",3647,103,71,945,41,2,18,0,61,48,0,14,0,0,x1000
2017/2018,"Conseil privé","Bureau du Conseil privé",126735,7853,7730,44508,2184,4837,983,0,7515,110,0,486,0,0,x1000
