Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2013/2014,"Affaires étrangères, Commerce et Développement","Ministère Affaires étrangères, Commerce et Développement",1100059,115439,11088,255994,190860,32723,54775,65075,49373,3152180,0,152317,-111255,-3350,x1000
2013/2014,"Affaires étrangères, Commerce et Développement","Corporation commerciale canadienne",0,0,0,0,0,0,0,0,0,0,0,15656,0,0,x1000
2013/2014,"Affaires étrangères, Commerce et Développement","Agence canadienne de développement international",40240,1215,5,1538,522,326,53,0,15,619300,0,29252,0,0,x1000
2013/2014,"Affaires étrangères, Commerce et Développement","Exportation et développement Canada (Compte du Canada)",0,0,0,5505,0,0,0,0,0,116863,0,28,0,0,x1000
2013/2014,"Affaires étrangères, Commerce et Développement","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,202416,0,0,x1000
2013/2014,"Affaires étrangères, Commerce et Développement","Commission mixte internationale (section canadienne)",4609,646,121,852,349,34,38,0,46,0,0,-25,0,0,x1000
2013/2014,"Affaires étrangères, Commerce et Développement","Commission de la capitale nationale",0,0,0,0,0,0,0,0,0,0,0,106161,0,0,x1000
2013/2014,"Affaires indiennes et du Nord canadien","Ministère Affaires indiennes et du Nord canadien",489586,25859,12785,323297,12837,2417,5173,594,17225,6602425,0,547984,0,-690,x1000
2013/2014,"Affaires indiennes et du Nord canadien","Commission canadienne des affaires polaires",1026,117,65,148,109,0,7,0,22,1096,0,0,0,0,x1000
2013/2014,"Affaires indiennes et du Nord canadien","Commission de vérité et de réconciliation relative aux pensionnats indiens",3173,688,902,1176,887,12,10,0,11,0,0,2,0,0,x1000
2013/2014,"Affaires indiennes et du Nord canadien","Greffe du Tribunal des revendications particulières",1140,270,0,326,341,11,15,0,39,0,0,0,0,0,x1000
2013/2014,"Agence canadienne de développement économique du Nord","Agence canadienne de développement économique du Nord",10140,711,74,2230,742,191,162,0,30,36499,0,0,0,0,x1000
2013/2014,"Agence de développement économique du Canada pour les régions du Québec","Agence de développement économique du Canada pour les régions du Québec",36707,635,414,4596,491,37,151,0,325,225935,0,15,0,0,x1000
2013/2014,"Agence de promotion économique du Canada atlantique","Ministère Agence de promotion économique du Canada atlantique",62202,2549,346,8764,1942,604,388,0,823,236733,0,-193,0,0,x1000
2013/2014,"Agence de promotion économique du Canada atlantique","Société d'expansion du Cap-Breton",0,0,0,0,0,0,0,0,0,0,0,50844,0,0,x1000
2013/2014,"Agence du revenu du Canada","Agence du revenu du Canada",3225318,116504,8847,347373,311086,66386,20231,0,18635,277749,0,1296,-147772,-182794,x1000
2013/2014,"Agriculture et Agroalimentaire","Ministère Agriculture et Agroalimentaire",580348,12970,6443,115819,4490,21737,41408,4823,46196,1573312,0,38266,-43976,-14937,x1000
2013/2014,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,4456,0,0,x1000
2013/2014,"Agriculture et Agroalimentaire","Commission canadienne des grains",62492,3458,259,2227,5519,667,723,0,3182,0,0,5,-53178,0,x1000
2013/2014,"Anciens Combattants","Ministère Anciens Combattants",294389,25317,4975,365390,6464,6860,167506,470,2369,2635521,0,4312,0,0,x1000
2013/2014,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",9979,774,28,367,19,56,56,0,179,0,0,0,0,0,x1000
2013/2014,"Bureau de l'infrastructure du Canada","Ministère Bureau de l'infrastructure du Canada",32319,169,209,15732,1754,13,66,0,313,3463223,0,27,0,0,x1000
2013/2014,"Bureau de l'infrastructure du Canada","Les Ponts Jacques-Cartier et Champlain Inc.",0,0,0,0,0,0,0,0,0,0,0,37609,0,0,x1000
2013/2014,"Bureau du Conseil privé","Ministère Bureau du Conseil privé",101564,2988,2431,12317,1237,1347,781,0,3760,0,0,35,0,-75,x1000
2013/2014,"Bureau du Conseil privé","Secrétariat des conférences intergouvernementales canadiennes",2987,699,9,1382,449,4,35,0,297,0,0,3,0,0,x1000
2013/2014,"Bureau du Conseil privé","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports",27519,1614,121,2482,376,389,218,165,368,0,0,51,0,0,x1000
2013/2014,"Bureau du Conseil privé","Bureau du directeur général des élections",49987,4558,3357,26596,7135,991,345,6442,3603,16454,0,760,0,0,x1000
2013/2014,"Bureau du Conseil privé","Commissariat aux langues officielles",16678,813,444,3369,256,72,107,1642,806,0,0,1,0,0,x1000
2013/2014,"Bureau du Conseil privé","Comité de surveillance des activités de renseignement de sécurité",2165,216,41,287,19,3,21,0,30,0,0,0,0,0,x1000
2013/2014,"Citoyenneté et Immigration","Ministère Citoyenneté et Immigration",476187,46495,5797,247650,17007,3651,30576,0,17109,956179,0,46949,-463552,-5353,x1000
2013/2014,"Citoyenneté et Immigration","Commission de l'immigration et du statut de réfugié",98811,2005,214,17667,872,269,497,0,1524,0,0,61,0,0,x1000
2013/2014,"Conseil du Trésor","Conseil du Trésor Secrétariat",3209500,1869,438,93900,3330,539,623,0,2948,589,0,1507,-7335,-415387,x1000
2013/2014,"Conseil du Trésor","École de la fonction publique du Canada",63358,1807,636,15091,1874,399,460,20,927,0,0,190,0,0,x1000
2013/2014,"Conseil du Trésor","Commissariat au lobbying",3141,60,44,1018,53,45,14,0,88,0,0,0,0,0,x1000
2013/2014,"Conseil du Trésor","Commissariat à l'intégrité du secteur public",3814,74,64,1240,182,5,16,52,61,35,0,0,0,0,x1000
2013/2014,"Défense nationale","Ministère Défense nationale",9502410,746536,12504,3021223,335863,1217745,965610,548372,1973913,168275,0,689103,-395061,-22118,x1000
2013/2014,"Défense nationale","Centre de la sécurité des télécommunications",239352,0,0,0,0,0,0,0,0,0,0,204927,-34,-572,x1000
2013/2014,"Défense nationale","Comité externe d'examen des griefs militaires",4404,99,60,671,605,44,17,0,81,0,0,0,0,0,x1000
2013/2014,"Défense nationale","Commission d'examen des plaintes concernant la police militaire",2525,163,19,2280,374,1,51,0,103,0,0,4,0,0,x1000
2013/2014,"Défense nationale","Bureau du commissaire du Centre de la sécurité des télécommunications",1159,16,13,351,329,3,16,0,55,0,0,1,0,0,x1000
2013/2014,"Diversification de l'économie de l'Ouest canadien","Diversification de l'économie de l'Ouest canadien",37420,1104,321,4392,1360,27,188,0,510,143006,0,0,0,0,x1000
2013/2014,"Emploi et Développement social","Ministère Emploi et Développement social",1863496,57991,53919,633014,225440,12437,8722,0,23912,48613757,0,16205,-404224,-1457756,x1000
2013/2014,"Emploi et Développement social","Conseil canadien des relations industrielles",10711,702,53,847,237,55,153,0,218,0,0,281,0,0,x1000
2013/2014,"Emploi et Développement social","Société canadienne d'hypothèques et de logement",0,0,0,0,0,0,0,0,0,0,0,2084850,0,0,x1000
2013/2014,"Emploi et Développement social","Centre canadien d'hygiène et de sécurité au travail",7749,172,50,1075,30,143,156,0,0,0,0,0,-3708,-420,x1000
2013/2014,"Emploi et Développement social","Bureau de la coordonnatrice de la situation de la femme",9610,547,98,1169,134,46,34,0,751,19033,0,0,0,0,x1000
2013/2014,Environnement,"Ministère Environnement",684266,35821,3490,133092,26852,20558,39211,1194,45072,79206,0,4628,-68040,-26400,x1000
2013/2014,Environnement,"Agence canadienne d'évaluation environnementale",26159,1423,437,5990,366,16,114,0,225,2764,0,0,-4363,-503,x1000
2013/2014,Environnement,"Agence Parcs Canada",362794,14430,8057,104123,13336,66041,46244,12486,24511,13573,0,25346,0,0,x1000
2013/2014,Finances,"Ministère Finances",88216,2841,12282,16389,1422,82,106671,8518,4310,60185446,25011766,141011,0,-82,x1000
2013/2014,Finances,"Tribunal canadien du commerce extérieur",9276,219,34,656,146,106,96,0,364,0,0,-1,0,0,x1000
2013/2014,Finances,"Agence de la consommation en matière financière du Canada",9357,199,111,3645,813,5,71,6,469,0,0,44,0,0,x1000
