Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2020/2021,"Affaires mondiales","Ministère des Affaires étrangères, du Commerce et du Développement",1383764,90245,23388,328941,194388,31302,39191,18751,73516,7021170,0,181135,43117,967,x1000
2020/2021,"Affaires mondiales","Exportation et développement Canada (Compte du Canada)",0,0,0,149547,0,0,0,0,0,0,0,103471,0,0,x1000
2020/2021,"Affaires mondiales","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,145653,0,0,x1000
2020/2021,"Affaires mondiales","Commission mixte internationale (section canadienne)",5312,109,202,2671,512,0,3,0,161,0,0,5,0,0,x1000
2020/2021,"Affaires mondiales","Investir au Canada",8151,111,12471,7491,249,4,30,11,1106,0,0,-2,0,0,x1000
2020/2021,"Agriculture et Agroalimentaire","Ministère de l'Agriculture et de l'Agroalimentaire",543371,2626,8560,115853,7623,11130,29280,21418,32917,2303265,0,10302,21483,27247,x1000
2020/2021,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,4577,0,0,x1000
2020/2021,"Agriculture et Agroalimentaire","Commission canadienne des grains",49134,1879,326,2773,5974,724,1452,0,4706,0,0,201,78642,373,x1000
2020/2021,"Anciens Combattants","Ministère des Anciens Combattants",343940,18533,4378,479156,6965,8685,254076,17,3672,3687766,0,29445,0,0,x1000
2020/2021,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",9630,104,10,193,96,0,90,0,359,0,0,24,0,0,x1000
2020/2021,"Bureau du secrétaire du gouverneur général","Bureau du secrétaire du gouverneur général",18075,480,413,2413,495,64,472,0,947,790,0,528,0,0,x1000
2020/2021,"Conseil du Trésor","Secrétariat du Conseil du Trésor",3848107,375,632,130992,12231,656,300,0,5336,902,0,-18254,538820,211677,x1000
2020/2021,"Conseil du Trésor","École de la fonction publique du Canada",72470,133,439,10569,2355,15,73,2641,814,0,0,-7226,0,0,x1000
2020/2021,"Conseil du Trésor","Commissariat au lobbying",3554,62,22,1145,39,31,8,0,21,0,0,6,0,0,x1000
2020/2021,"Conseil du Trésor","Commissariat à l'intégrité du secteur public",4030,79,15,933,52,5,3,0,172,18,0,85,0,0,x1000
2020/2021,"Conseil privé","Bureau du Conseil privé",149503,1679,5338,20604,6386,4126,714,0,14991,0,0,348,94,1302,x1000
2020/2021,"Conseil privé","Secrétariat des conférences intergouvernementales canadiennes",3011,97,36,1015,457,1,7,0,39,0,0,2,0,0,x1000
