Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2022/2023,"Agriculture and Agri-Food","Department of Agriculture and Agri-Food",553872,9048,11274,122387,11123,13886,42056,23988,35254,2832755,0,9719,31367,27450,x1000
2022/2023,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,4543,0,0,x1000
2022/2023,"Agriculture and Agri-Food","Canadian Grain Commission",48992,2508,513,3227,5851,1990,1152,0,2833,0,0,-21,43474,483,x1000
2022/2023,"Canadian Heritage","Department of Canadian Heritage",235189,3107,2691,34587,5610,1367,1903,0,877,2005767,0,20625,7749,3419,x1000
2022/2023,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,423423,0,0,x1000
2022/2023,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1287297,0,0,x1000
2022/2023,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,30817,0,0,x1000
2022/2023,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,77559,0,0,x1000
2022/2023,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,8957,0,0,x1000
2022/2023,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,33006,0,0,x1000
2022/2023,"Canadian Heritage","Canadian Race Relations Foundation",0,0,0,0,0,0,0,0,0,0,0,5116,0,0,x1000
2022/2023,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",65452,898,1721,5000,1897,417,168,0,1294,0,0,215,62037,0,x1000
2022/2023,"Canadian Heritage","Library and Archives of Canada",91631,490,131,20966,4350,808,2920,59315,3653,2520,5108,11060,135,2316,x1000
2022/2023,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,66219,0,0,x1000
2022/2023,"Canadian Heritage","National Film Board",44723,2934,1506,13591,11178,438,241,0,1904,0,3,65,4135,0,x1000
2022/2023,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,50373,0,0,x1000
2022/2023,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,39737,0,0,x1000
2022/2023,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,171050,0,0,x1000
2022/2023,"Canadian Heritage","The National Battlefields Commission",5475,157,416,2278,155,692,828,0,1004,0,0,2855,0,0,x1000
2022/2023,"Crown-Indigenous Relations and Northern Affairs","Department of Crown-Indigenous Relations and Northern Affairs",239977,5586,726,402475,6121,394,678,3803,823,7113284,0,1392556,0,33842,x1000
2022/2023,"Crown-Indigenous Relations and Northern Affairs","Canadian High Arctic Research Station",11400,2458,967,3424,1314,3013,2189,153,1201,7783,0,233,0,0,x1000
2022/2023,"Economic Development Agency of Canada forthe Regions of Quebec","Economic Development Agency of Canada for the Regions of Quebec",43566,685,308,5172,1779,43,126,0,774,491563,0,99,0,0,x1000
2022/2023,"Employment, Workforce Development and Disability Inclusion","Department of Employment and Social Development",3454322,82005,112237,963191,289335,4307,5329,0,38408,85450042,0,371668,483926,2134681,x1000
2022/2023,"Employment, Workforce Development and Disability Inclusion","Canadian Accessibility Standards Development Organization",6290,273,246,3358,257,0,7,0,13,8498,0,125,0,0,x1000
2022/2023,"Employment, Workforce Development and Disability Inclusion","Canadian Centre for Occupational Health and Safety",10910,241,36,1131,521,22,60,0,234,0,0,0,0,0,x1000
2022/2023,"Environment and Climate Change","Department of the Environment",903175,37364,31556,224358,40842,16176,41685,1359,43425,653153,311,4674,44264,24132,x1000
2022/2023,"Environment and Climate Change","Impact Assessment Agency of Canada",49225,1020,445,6319,105,27,117,0,1486,14690,0,504,1432,0,x1000
2022/2023,"Environment and Climate Change","Parks Canada Agency",538151,21585,9888,159885,27341,22685,61059,124293,34488,75020,61,82153,0,0,x1000
2022/2023,Finance,"Department of Finance",124283,2477,4790,15866,1787,428,87526,0,1959,84882269,31588323,605282,0,0,x1000
2022/2023,Finance,"Financial Consumer Agency of Canada",29677,373,1616,10222,3035,4,66,5735,3047,0,0,177,0,0,x1000
2022/2023,Finance,"Financial Transactions and Reports Analysis Centre of Canada",60993,3177,1693,9268,8721,1248,270,0,2776,0,0,7,0,0,x1000
2022/2023,Finance,"Office of the Auditor General",111211,2250,1126,9743,1994,437,152,0,1550,0,0,28,635,0,x1000
2022/2023,Finance,"Office of the Superintendent of Financial Institutions",187667,2733,2274,23954,16101,807,192,1447,4335,0,0,236,0,0,x1000
2022/2023,"Fisheries, Oceans and the Canadian Coast Guard","Department of Fisheries and Oceans",1506244,103825,10829,809229,68912,154129,186371,174584,371775,402101,125,35755,47051,0,x1000
2022/2023,"Global Affairs","Department of Foreign Affairs, Trade and Development",1483735,151646,26870,360268,233149,30199,44314,39653,60674,6750387,0,123856,49751,796,x1000
2022/2023,"Global Affairs","Canadian Commercial Corporation",0,0,0,0,0,0,0,0,0,0,0,13000,0,0,x1000
2022/2023,"Global Affairs","Export Development Canada (Canada Account)",0,0,0,252880,0,0,0,0,0,0,0,1353551,0,0,x1000
2022/2023,"Global Affairs","International Development Research Centre",0,0,0,0,0,0,0,0,0,0,0,159036,0,0,x1000
2022/2023,"Global Affairs","International Joint Commission (Canadian Section)",5083,555,229,2266,572,5,23,0,201,0,0,19,0,0,x1000
2022/2023,"Global Affairs","Invest in Canada Hub",10233,1231,15808,4165,960,1,33,0,597,0,0,-4,0,0,x1000
2022/2023,"Global Affairs","Pacific Economic Development Agency of Canada",19342,797,754,5356,521,0,49,0,412,194740,0,112,0,0,x1000
2022/2023,Health,"Department of Health",1104803,11552,39861,303373,35008,19311,1007235,6,46184,1963225,0,4727,180010,32967,x1000
2022/2023,Health,"Canadian Food Inspection Agency",701194,18207,5303,90873,11362,11056,26464,0,18653,120801,0,4532,0,0,x1000
2022/2023,Health,"Canadian Institutes of Health Research",69174,517,789,4715,2125,168,218,0,527,1258419,0,260,0,0,x1000
2022/2023,Health,"Patented Medicine Prices Review Board",9721,129,814,1003,189,9,6,0,125,0,0,26,0,0,x1000
2022/2023,Health,"Public Health Agency of Canada",502685,16288,62810,611192,47237,7413,3838508,403,37772,645308,0,17063,844,57,x1000
2022/2023,"Immigration, Refugees and Citizenship","Department of Citizenship and Immigration",1056045,78277,16783,1333039,218743,2564,72920,0,19135,2800540,0,23885,408970,3844,x1000
2022/2023,"Immigration, Refugees and Citizenship","Immigration and Refugee Board",227898,1483,655,35255,6876,9902,346,0,2612,0,0,451,0,0,x1000
2022/2023,"Indigenous Services","Department of Indigenous Services",783894,469606,10512,876099,21372,6620,650214,29,59482,17706871,0,2020108,6336,42109,x1000
2022/2023,"Indigenous Services","Federal Economic Development Agency for Northern Ontario",10349,256,110,1672,26,955,24,0,80,117738,0,868,0,0,x1000
2022/2023,"Innovation, Science and Industry","Department of Industry",712731,12770,16340,213765,35195,11564,4339,0,23551,2916654,0,3604,271532,35309,x1000
2022/2023,"Innovation, Science and Industry","Atlantic Canada OpportunitiesAgency",72222,1590,615,3446,1944,109,249,0,785,351386,0,780,0,0,x1000
2022/2023,"Innovation, Science and Industry","Canadian Northern Economic Development Agency",15883,1494,19,2920,2262,139,77,0,91,82081,0,111,0,0,x1000
2022/2023,"Innovation, Science and Industry","Canadian Space Agency",101644,8857,2532,278175,5817,4910,1639,1203,5853,85065,0,2541,0,0,x1000
2022/2023,"Innovation, Science and Industry","Canadian Tourism Commission",0,0,0,0,0,0,0,0,0,0,0,156225,0,0,x1000
2022/2023,"Innovation, Science and Industry","Copyright Board",3235,39,46,510,70,17,6,0,74,0,0,-1,0,0,x1000
2022/2023,"Innovation, Science and Industry","Department of Western Economic Diversification",43704,1042,1087,6121,1200,646,135,0,1439,446260,0,5,0,2231,x1000
2022/2023,"Innovation, Science and Industry","Federal Economic Development Agency for Southern Ontario",39464,369,547,4724,217,19,58,0,507,553087,0,195,0,0,x1000
2022/2023,"Innovation, Science and Industry","National Research Council ofCanada",533533,10352,1227,84677,15858,25351,48880,52456,65317,612326,0,20780,0,0,x1000
2022/2023,"Innovation, Science and Industry","Natural Sciences and Engineering Research Council",55484,674,1114,5432,1352,116,56,0,1731,1315534,0,36,0,0,x1000
2022/2023,"Innovation, Science and Industry","Social Sciences and Humanities Research Council",38726,447,1314,5200,836,76,42,0,1136,1014866,0,58,0,0,x1000
2022/2023,"Innovation, Science and Industry","Standards Council of Canada",0,0,0,0,0,0,0,0,0,0,0,17968,0,0,x1000
2022/2023,"Innovation, Science and Industry","Statistics Canada",750385,16438,7988,39565,17151,724,665,522,6500,0,0,2090,23026,136323,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","Office of Infrastructure of Canada",142572,1376,740,57878,3187,19076,167,7151,3704,6549862,42627,619,0,0,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","Canada Mortgage and Housing Corporation",0,0,0,0,0,0,0,0,0,0,0,4162705,0,0,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","Canadian Intergovernmental  Conference Secretariat",3453,806,21,1282,515,0,51,0,157,0,0,15,0,0,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","Leaders' Debates Commission",508,4,13,173,1,0,0,0,0,0,0,0,0,0,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","Office of the Chief Electoral Officer",110810,6612,10361,48991,21392,654,5221,-1,1419,7350,0,324,0,0,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","Office of the Commissioner of Official Languages",19074,261,184,1657,235,95,50,0,861,0,0,16,0,0,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","The Jacques-Cartier and Champlain Bridges Inc.",0,0,0,0,0,0,0,0,0,0,0,205278,0,0,x1000
2022/2023,"Intergovernmental Affairs, Infrastructure and  Communities","Windsor-Detroit Bridge Authority",0,0,0,0,0,0,0,0,0,0,0,793291,0,0,x1000
2022/2023,Justice,"Department of Justice",738137,6284,4114,45988,9853,2348,2397,0,8336,602352,0,1436,1215,436707,x1000
2022/2023,Justice,"Administrative Tribunals Support Service of Canada",92836,1815,1400,9927,3099,1658,346,0,951,0,0,42,15994,13485,x1000
2022/2023,Justice,"Canadian Human Rights Commission",33868,361,354,4736,642,37,99,55,1178,0,0,62,0,2040,x1000
2022/2023,Justice,"Courts Administration Service",74380,3565,773,16317,5209,914,2699,1103,2963,0,0,132,0,0,x1000
2022/2023,Justice,"Office of the Commissioner for Federal Judicial Affairs",664421,18316,107,19322,1623,116,28,0,125,0,0,8129,0,25,x1000
2022/2023,Justice,"Office of the Director of PublicProsecutions",160417,7430,415,44430,2756,2212,1518,0,2028,0,0,3821,65,16236,x1000
2022/2023,Justice,"Offices of the Information and Privacy Commissioners ofCanada",40223,541,403,3767,994,116,46,0,871,499,0,95,0,209,x1000
2022/2023,Justice,"Registrar of the Supreme Courtof Canada",34440,1511,381,2763,1276,227,1291,0,1656,0,0,9,0,0,x1000
2022/2023,"National Defence","Department of National Defence",11441686,808379,27423,4792313,685691,1833408,1274270,557077,3831979,1324750,2737,701296,338000,12849,x1000
2022/2023,"National Defence","Communications Security Establishment",403837,0,0,0,0,0,0,13456,0,0,62885,467770,645,16055,x1000
2022/2023,"National Defence","Military Grievances External Review Committee",6066,20,11,338,577,32,13,0,32,0,0,0,0,0,x1000
2022/2023,"National Defence","Military Police Complaints Commission",3520,46,50,535,401,6,7,0,95,0,0,-1,0,0,x1000
2022/2023,"National Revenue","Canada Revenue Agency",5133394,88112,21597,491730,290292,69719,15502,0,64678,7364933,0,12084,0,440567,x1000
2022/2023,"Natural Resources","Department of Natural Resources",580511,15156,18491,175183,20118,6361,27780,7829,46033,1654422,0,12891,18128,6520,x1000
2022/2023,"Natural Resources","Atomic Energy of Canada Limited",0,0,0,0,0,0,0,0,0,0,0,1083200,0,0,x1000
2022/2023,"Natural Resources","Canadian Energy Regulator",90134,2436,219,14676,1366,1173,320,0,818,1264,0,11,0,0,x1000
2022/2023,"Natural Resources","Canadian Nuclear Safety Commission",116793,5033,1073,17561,4261,1342,423,0,2070,4328,0,82,0,0,x1000
2022/2023,"Natural Resources","Northern Pipeline Agency",53,0,0,236,10,0,0,0,0,0,0,0,0,0,x1000
2022/2023,"Office of the Governor General's Secretary","Office of the Governor General's Secretary",19077,1087,660,1447,591,26,794,0,531,956,0,71,0,0,x1000
2022/2023,Parliament,"House of Commons",425653,43976,12962,26191,20972,10178,11909,0,29197,1425,0,791,4296,26406,x1000
2022/2023,Parliament,"Library of Parliament",44726,221,2242,1430,476,41,3352,0,410,0,0,7,551,0,x1000
2022/2023,Parliament,"Office of the Conflict of Interest and Ethics Commissioner",6237,75,115,585,47,0,41,0,478,0,0,2,0,0,x1000
2022/2023,Parliament,"Office of the Parliamentary Budget Officer",5260,79,80,387,298,0,276,0,115,0,0,1,0,0,x1000
2022/2023,Parliament,"Office of the Senate Ethics Officer",819,19,0,117,1,0,6,0,1,0,0,3,0,0,x1000
2022/2023,Parliament,"Parliamentary Protective Service",86245,361,64,9860,512,1398,1069,0,2902,0,0,369,109,1059,x1000
2022/2023,Parliament,"Secretariat of the National Security and Intelligence Committee of Parliamentarians",1644,39,8,1051,98,0,5,0,4,0,0,2,0,0,x1000
2022/2023,Parliament,Senate,87663,7939,1039,2855,2082,1076,523,0,1019,622,0,82,0,0,x1000
2022/2023,"Privy Council","Privy Council Office",173777,5970,6873,38910,8645,1952,743,0,10354,2836,0,245,396,6972,x1000
2022/2023,"Privy Council","Canadian Transportation Accident Investigation and Safety Board",30531,1355,171,2722,761,423,210,0,622,0,0,19,0,0,x1000
2022/2023,"Privy Council","National Security and Intelligence Review",10251,364,17,3677,240,3643,39,0,48,0,0,10,0,0,x1000
2022/2023,"Privy Council","Office of the Intelligence Commissioner",1360,23,48,617,316,92,17,0,12,0,0,0,0,0,x1000
2022/2023,"Privy Council","Public Service Commission",94582,155,236,9425,1284,94,228,0,1996,0,0,588,74,9640,x1000
2022/2023,"Public Safety","Department of Public Safety and Emergency Preparedness",170159,3029,7009,31878,5811,23595,396,0,4378,3045103,0,22758,462,2081,x1000
2022/2023,"Public Safety","Canada Border Services Agency",1850874,60039,2895,512249,11668,45094,20361,34061,71845,0,0,12554,27098,0,x1000
2022/2023,"Public Safety","Canadian Security Intelligence Service",415819,0,0,0,0,0,0,0,0,0,0,256628,0,0,x1000
2022/2023,"Public Safety","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police",10206,150,33,754,279,4,61,0,630,0,0,363,0,0,x1000
2022/2023,"Public Safety","Correctional Service of Canada",2066941,27347,732,477941,32672,37525,177532,123377,56206,4962,0,128771,7330,111239,x1000
2022/2023,"Public Safety","Office of the Correctional Investigator of Canada",4673,235,59,499,50,0,12,0,50,0,0,184,0,0,x1000
2022/2023,"Public Safety","Parole Board of Canada",57827,1641,152,8457,359,58,149,0,763,0,0,25,655,0,x1000
2022/2023,"Public Safety","Royal Canadian Mounted Police",5433325,228248,3996,672093,173890,92675,187003,86626,303588,530747,583,113714,2017471,1578,x1000
2022/2023,"Public Safety","Royal Canadian Mounted Police External Review Committee",3781,75,20,596,30,8,44,0,77,0,0,247,0,0,x1000
2022/2023,"Public Services and Procurement","Department of Public Works and Government Services",1812915,70644,33677,2252157,1296532,1508813,354502,662171,153428,-54740,110416,371309,465404,3656629,x1000
2022/2023,"Public Services and Procurement","Canada Post Corporation",0,0,0,0,0,0,0,0,0,0,0,22210,0,0,x1000
2022/2023,"Public Services and Procurement","National Capital Commission",0,0,0,0,0,0,0,0,0,0,0,194228,0,0,x1000
2022/2023,"Public Services and Procurement","Shared Services Canada",986599,660834,3920,477340,617399,291396,6650,16786,360126,0,8177,2471,5204,888393,x1000
2022/2023,Transport,"Department of Transport",737265,24636,7480,227181,19001,18521,20570,87759,70892,1138784,0,17142,39426,50154,x1000
2022/2023,Transport,"Canadian Air Transport Security Authority",0,0,0,0,0,0,0,0,0,0,0,865964,0,0,x1000
2022/2023,Transport,"Canadian Transportation Agency",35063,420,433,2610,1827,104,40,0,626,0,0,7,0,0,x1000
2022/2023,Transport,"Marine Atlantic Inc.",0,0,0,0,0,0,0,0,0,0,0,132121,0,0,x1000
2022/2023,Transport,"The Federal Bridge Corporation Limited",0,0,0,0,0,0,0,0,0,0,0,4423,0,0,x1000
2022/2023,Transport,"VIA Rail Canada Inc.",0,0,0,0,0,0,0,0,0,0,0,689628,0,0,x1000
2022/2023,"Treasury Board","Treasury Board Secretariat",4840116,1309,1194,158529,36496,707,273,0,3887,892,0,5190,578354,308048,x1000
2022/2023,"Treasury Board","Canada School of Public Service",76359,519,1093,8758,7089,226,69,0,2933,0,0,-8183,0,0,x1000
2022/2023,"Treasury Board","Office of the Commissioner of Lobbying",3577,70,49,1325,83,6,8,0,93,0,0,9,0,0,x1000
2022/2023,"Treasury Board","Office of the Public Sector Integrity Commissioner",4356,95,42,913,67,2,13,0,248,45,0,13,0,0,x1000
2022/2023,"Veterans Affairs","Department of Veterans Affairs",343553,28534,4630,525587,22498,8443,304196,302,5881,4177857,0,864,0,0,x1000
2022/2023,"Veterans Affairs","Veterans Review and AppealBoard",12400,378,7,496,99,0,171,0,37,0,0,32,0,0,x1000
2022/2023,"Women, Gender Equality","Department for Women and Gender Equality",49493,757,4446,6611,938,35,64,196,968,259383,0,218,0,0,x1000
