Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2023/2024,"Agriculture and Agri-Food","Agriculture et Agroalimentaire","Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",625346,10037,11048,134460,12359,15892,37940,23398,44830,3277275,0,19974,23949,25169,x1000
2023/2024,"Agriculture and Agri-Food","Agriculture et Agroalimentaire","Canadian Dairy Commission","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,5376,0,0,x1000
2023/2024,"Agriculture and Agri-Food","Agriculture et Agroalimentaire","Canadian Grain Commission","Commission canadienne des grains",57109,2680,146,3276,6158,2526,1079,0,3368,0,0,-30,50621,371,x1000
2023/2024,"Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique","Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique",73343,1394,906,2139,1750,88,127,0,927,396799,0,958,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Department of Canadian Heritage","Ministère du Patrimoine canadien",244863,3758,2420,31917,5835,1724,2066,0,2749,1866813,0,743,7284,3142,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canada Council for the Arts","Conseil des Arts du Canada",0,0,0,0,0,0,0,0,0,0,0,369339,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canadian Broadcasting Corporation","Société Radio-Canada",0,0,0,0,0,0,0,0,0,0,0,1454160,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canadian Museum for Human Rights","Musée canadien des droits de la personne",0,0,0,0,0,0,0,0,0,0,0,28794,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canadian Museum of History","Musée canadien de l'histoire",0,0,0,0,0,0,0,0,0,0,0,85564,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canadian Museum of Immigration at Pier 21","Musée canadien de l'immigration du Quai 21",0,0,0,0,0,0,0,0,0,0,0,10061,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canadian Museum of Nature","Musée canadien de la nature",0,0,0,0,0,0,0,0,0,0,0,32316,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canadian Race Relations Foundation","Fondation canadienne des relations raciales",0,0,0,0,0,0,0,0,0,0,0,9000,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Canadian Radio-television and Telecommunications Commission","Conseil de la radiodiffusion et des télécommunications canadiennes",78118,1302,2071,5368,2639,672,156,0,1989,0,0,266,72675,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Library and Archives of Canada","Bibliothèque et Archives du Canada",123921,757,139,23677,6016,883,4247,36380,6127,3266,5478,8500,118,2394,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","National Arts Centre Corporation","Société du Centre national des Arts",0,0,0,0,0,0,0,0,0,0,0,66359,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","National Film Board","Office national du film",45015,2514,1855,12064,11457,340,387,0,2710,0,1,110,4846,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","National Gallery of Canada","Musée des beaux-arts du Canada",0,0,0,0,0,0,0,0,0,0,0,50727,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","National Museum of Science and Technology","Musée national des sciences et de la technologie",0,0,0,0,0,0,0,0,0,0,0,40360,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","Telefilm Canada","Téléfilm Canada",0,0,0,0,0,0,0,0,0,0,0,155276,0,0,x1000
2023/2024,"Canadian Heritage","Patrimoine canadien","The National Battlefields Commission","Commission des champs de bataille nationaux",6143,203,649,3182,146,4323,1422,262,1117,0,0,2697,0,0,x1000
2023/2024,"Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Department of Crown-Indigenous Relations and Northern Affairs","Ministère des Relations Couronne-Autochtones et des Affaires du Nord",279969,7844,766,586578,2968,1175,849,0,1168,6227622,0,9278152,0,36485,x1000
2023/2024,"Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord","Canadian High Arctic Research Station","Station canadienne de recherche dans l'Extrême-Arctique",13168,2805,160,4992,1425,3129,2232,0,1578,7746,0,197,0,0,x1000
2023/2024,"Economic Development Agency of Canada for the Regions of Quebec","Agence de développement économique du Canada pour les régions du Québec","Economic Development Agency of Canada for the Regions of Quebec","Agence de développement économique du Canada pour les régions du Québec",47876,873,398,4820,1637,217,95,0,809,507176,0,-718,0,0,x1000
2023/2024,"Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Department of Employment and Social Development","Ministère de l'Emploi et du Développement social",3993213,87068,95152,1015706,312038,2684,4729,0,47183,91495670,0,192741,550390,2252413,x1000
2023/2024,"Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Canadian Accessibility Standards Development Organization","Organisation canadienne d'élaboration de normes d'accessibilité",8014,253,362,4139,240,21,10,0,22,8500,0,28,0,0,x1000
2023/2024,"Employment and Workforce Development","Emploi et Développement de la main-d'œuvre","Canadian Centre for Occupational Health and Safety","Centre canadien d'hygiène et de sécurité au travail",12542,390,52,1296,626,9,29,0,68,0,0,0,0,0,x1000
2023/2024,"Environment and Climate Change","Environnement et Changement climatique","Department of the Environment","Ministère de l'Environnement",1057450,36758,18254,237728,40895,21459,39204,4718,43790,930317,256,6568,49195,26072,x1000
2023/2024,"Environment and Climate Change","Environnement et Changement climatique","Impact Assessment Agency of Canada","Agence canadienne d'évaluation d'impact",64878,1174,535,8321,99,275,253,0,1200,21354,0,143,687,0,x1000
2023/2024,"Environment and Climate Change","Environnement et Changement climatique","Parks Canada Agency","Agence Parcs Canada",657362,20700,9667,192882,51084,27396,68095,180187,48946,87958,46,108225,0,0,x1000
2023/2024,Finance,Finances,"Department of Finance","Ministère des Finances",135524,2621,2300,14603,2070,283,82728,0,1521,91164254,42474118,1631429,0,0,x1000
2023/2024,Finance,Finances,"Financial Consumer Agency of Canada","Agence de la consommation en matière financière du Canada",34817,559,3474,8550,3539,19,76,613,1390,0,0,330,0,0,x1000
2023/2024,Finance,Finances,"Financial Transactions and Reports Analysis Centre of Canada","Centre d'analyse des opérations et déclarations financières du Canada",71892,1464,1290,9337,8286,1014,266,0,4948,0,0,126,0,0,x1000
2023/2024,Finance,Finances,"Office of the Auditor General","Bureau du vérificateur général",117248,2730,999,10735,2087,923,147,0,1798,0,0,68,1805,0,x1000
2023/2024,Finance,Finances,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières",247470,2810,3400,31011,17824,995,382,2476,5017,0,0,87,0,0,x1000
2023/2024,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne","Department of Fisheries and Oceans","Ministère des Pêches et des Océans",1806117,97337,11982,1024235,83456,166715,158543,240820,393677,591513,174,17803,46310,0,x1000
2023/2024,"Global Affairs","Affaires mondiales","Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",1684222,154374,24972,385653,241136,28457,47489,32242,52495,5818928,0,43353,54519,723,x1000
2023/2024,"Global Affairs","Affaires mondiales","Canadian Commercial Corporation","Corporation commerciale canadienne",0,0,0,0,0,0,0,0,0,0,0,13962,0,0,x1000
2023/2024,"Global Affairs","Affaires mondiales","Export Development Canada (Canada Account)","Exportation et développement Canada (Compte du Canada)",0,0,0,216037,0,0,0,0,0,0,0,10306710,0,0,x1000
2023/2024,"Global Affairs","Affaires mondiales","International Development Research Centre","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,164606,0,0,x1000
2023/2024,"Global Affairs","Affaires mondiales","International Joint Commission (Canadian Section)","Commission mixte internationale (section canadienne)",5395,566,195,2279,647,45,20,0,41,0,0,4,0,0,x1000
2023/2024,"Global Affairs","Affaires mondiales","Invest in Canada Hub","Investir au Canada",10344,1091,18843,2908,768,1,31,0,309,0,0,-23,0,0,x1000
2023/2024,Health,Santé,"Department of Health","Ministère de la Santé",1262352,11713,37153,400185,37909,21520,20459,747,44318,5244396,0,5080,212589,30950,x1000
2023/2024,Health,Santé,"Canadian Food Inspection Agency","Agence canadienne d'inspection des aliments",753870,13843,4916,122186,11700,11283,21372,0,23237,112730,0,4185,0,0,x1000
2023/2024,Health,Santé,"Canadian Institutes of Health Research","Instituts de recherche en santé du Canada",81450,625,261,4284,3253,218,11,0,191,1258382,0,-219,0,0,x1000
2023/2024,Health,Santé,"Patented Medicine Prices Review Board","Conseil d'examen du prix des médicaments brevetés",11192,140,916,907,194,7,10,0,178,0,0,500,0,0,x1000
2023/2024,Health,Santé,"Public Health Agency of Canada","Agence de la santé publique du Canada",527469,8391,50581,246855,10642,7525,2996860,325,25380,560029,0,-4633,836,57,x1000
2023/2024,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté","Department of Citizenship and Immigration","Ministère de la Citoyenneté et de l'Immigration",1371547,81571,12638,1629815,434041,2376,42638,27,18849,2993638,0,23355,613454,2785,x1000
2023/2024,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté","Immigration and Refugee Board","Commission de l'immigration et du statut de réfugié",283714,1976,585,39870,8423,199,463,2518,2778,0,0,730,0,0,x1000
2023/2024,"Indigenous Services","Services aux Autochtones","Department of Indigenous Services","Ministère des Services aux Autochtones",962877,544097,10932,1033632,18926,5209,699027,2,74436,19654862,0,23528284,5980,49062,x1000
