Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2023/2024,"Indigenous Services","Services aux Autochtones","Federal Economic Development Agency for Northern Ontario","Agence fédérale de développement économique pour le Nord de l'Ontario",11594,340,111,2453,30,113,19,0,356,56475,0,285,0,0,x1000
2023/2024,"Infrastructure and Communities","Infrastructure et Collectivités","Office of Infrastructure of Canada","Bureau de l'infrastructure du Canada",196302,1848,2996,44639,3267,21414,145,7561,725,7298586,42217,25,0,0,x1000
2023/2024,"Infrastructure and Communities","Infrastructure et Collectivités","Canada Mortgage and Housing Corporation","Société canadienne d'hypothèques et de logement",0,0,0,0,0,0,0,0,0,0,0,5430271,0,0,x1000
2023/2024,"Infrastructure and Communities","Infrastructure et Collectivités","The Jacques-Cartier and Champlain Bridges Inc.","Les Ponts Jacques-Cartier et Champlain Inc.",0,0,0,0,0,0,0,0,0,0,0,156303,0,0,x1000
2023/2024,"Infrastructure and Communities","Infrastructure et Collectivités","Windsor-Detroit Bridge Authority","Autorité du pont Windsor-Détroit",0,0,0,0,0,0,0,0,0,0,0,1289463,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Department of Industry","Ministère de l'Industrie",804217,12647,18407,212278,32111,13776,3924,16,23565,3535512,0,15964,285237,38933,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Canadian Space Agency","Agence spatiale canadienne",121772,8244,3022,219233,7437,6190,1799,0,7431,72895,0,2724,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Canadian Tourism Commission","Commission canadienne du tourisme",0,0,0,0,0,0,0,0,0,0,0,122662,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Copyright Board","Commission du droit d'auteur",3221,41,45,612,85,27,11,0,26,0,0,7,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Federal Economic Development Agency for Southern  Ontario","Agence fédérale de développement économique pour le Sud de l'Ontario",39650,651,506,4334,881,6,65,0,206,415654,0,79,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","National Research Council of Canada","Conseil national de recherches du Canada",566480,16058,1639,96554,16289,25042,45324,33008,84567,625013,0,16007,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Natural Sciences and Engineering Research Council","Conseil de recherches en sciences naturelles et en génie",64490,788,479,4740,1559,123,48,5,1289,1309710,0,28,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Social Sciences and Humanities Research Council","Conseil de recherches en sciences humaines",42960,797,928,3792,878,99,48,4,778,1109989,0,62,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Standards Council of Canada","Conseil canadien des normes",0,0,0,0,0,0,0,0,0,0,0,20420,0,0,x1000
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie","Statistics Canada","Statistique Canada",764797,17638,9465,33117,36472,938,1888,114,8454,0,0,826,27274,105726,x1000
2023/2024,Justice,Justice,"Department of Justice","Ministère de la Justice",809647,9168,4662,49527,8695,2032,2394,0,10466,681511,0,2986,891,470211,x1000
2023/2024,Justice,Justice,"Administrative Tribunals Support Service of Canada","Service canadien d'appui aux tribunaux administratifs",100865,2021,1424,10314,3342,918,449,0,2802,0,0,75,16787,16730,x1000
2023/2024,Justice,Justice,"Canadian Human Rights Commission","Commission canadienne des droits de la personne",38766,424,535,5057,888,57,112,34,1035,0,0,74,0,2104,x1000
2023/2024,Justice,Justice,"Courts Administration Service","Commission du droit du Canada",90513,3353,834,18441,5631,644,2820,448,2269,0,0,175,0,0,x1000
2023/2024,Justice,Justice,"Law Commission of Canada","Service administratif des tribunaux judiciaires",1208,61,39,459,0,9,8,0,1,0,0,1,0,0,x1000
2023/2024,Justice,Justice,"Office of the Commissioner for Federal Judicial Affairs","Bureau du commissaire à la magistrature fédérale",698688,23322,103,19142,718,46,34,0,362,0,0,10305,0,0,x1000
2023/2024,Justice,Justice,"Office of the Director of Public Prosecutions","Bureau du directeur des poursuites pénales",171719,7825,687,43770,3023,757,1274,0,1999,0,0,7368,276,15018,x1000
2023/2024,Justice,Justice,"Offices of the Information and Privacy Commissioners of  Canada","Commissariats à l'information et à la protection de la vie privée du Canada",43607,670,631,5105,1126,116,55,70,1105,496,0,18,0,238,x1000
2023/2024,Justice,Justice,"Registrar of the Supreme Court of Canada","Registraire de la Cour suprême du Canada",39170,1330,582,3046,1437,335,1327,0,1073,0,0,62,0,0,x1000
2023/2024,"National Defence","Défense nationale","Department of National Defence","Ministère de la Défense nationale",15741423,923426,27486,5601585,714766,2001986,1255867,720779,5071734,1125459,2652,618421,324272,11835,x1000
2023/2024,"National Defence","Défense nationale","Communications Security Establishment","Centre de la sécurité des télécommunications",483990,0,0,0,0,0,0,14567,0,0,61774,468869,651,17753,x1000
2023/2024,"National Defence","Défense nationale","Military Grievances External Review Committee","Comité externe d'examen des griefs militaires",6542,26,15,421,616,27,8,21,82,0,0,4,0,0,x1000
2023/2024,"National Defence","Défense nationale","Military Police Complaints Commission","Commission d'examen des plaintes concernant la police militaire",4351,81,50,696,409,6,6,0,37,0,0,-2,0,0,x1000
2023/2024,"National Revenue","Revenu national","Canada Revenue Agency","Agence du revenu du Canada",5895203,104201,27780,647165,303908,56688,15873,0,46147,10177964,0,18964,0,491963,x1000
2023/2024,"Natural Resources","Ressources naturelles","Department of Natural Resources","Ministère des Ressources naturelles",702807,17782,22766,183765,19426,7145,31544,10673,43044,2442523,0,7238,17319,4784,x1000
2023/2024,"Natural Resources","Ressources naturelles","Atomic Energy of Canada Limited","Énergie atomique du Canada, Limitée",0,0,0,0,0,0,0,0,0,0,0,1344720,0,0,x1000
2023/2024,"Natural Resources","Ressources naturelles","Canadian Energy Regulator","Régie canadienne de l'énergie",90385,2463,163,12574,1600,954,483,0,2150,2844,0,52,0,0,x1000
2023/2024,"Natural Resources","Ressources naturelles","Canadian Nuclear Safety Commission","Commission canadienne de sûreté nucléaire",127899,5801,975,18640,2775,3592,562,0,3772,5806,0,223,0,0,x1000
2023/2024,"Natural Resources","Ressources naturelles","Northern Pipeline Agency","Administration du pipe-line du Nord",40,0,0,291,5,0,0,0,0,0,0,0,0,0,x1000
2023/2024,"Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général","Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général",20639,1086,462,1375,501,10,932,0,428,952,0,31,0,0,x1000
2023/2024,Parliament,Parlement,"House of Commons","Chambre des communes",501952,49448,14994,28976,20621,10787,11553,0,28776,1417,0,700,5277,26030,x1000
2023/2024,Parliament,Parlement,"Library of Parliament","Bibliothèque du Parlement",53757,302,2202,1148,550,49,3515,0,484,0,0,-14,717,0,x1000
2023/2024,Parliament,Parlement,"Office of the Conflict of Interest and Ethics Commissioner","Bureau du commissaire aux conflits d'intérêts et à l'éthique",6369,85,112,926,59,1,14,1,145,0,0,1,0,0,x1000
2023/2024,Parliament,Parlement,"Office of the Parliamentary Budget Officer","Bureau du directeur parlementaire du budget",5479,73,114,390,319,0,165,0,28,0,0,13,0,0,x1000
2023/2024,Parliament,Parlement,"Office of the Senate Ethics Officer","Bureau du conseiller sénatorial en éthique",817,12,0,104,2,5,7,0,5,0,0,0,0,0,x1000
2023/2024,Parliament,Parlement,"Parliamentary Protective Service","Service de protection parlementaire",84072,446,181,5021,797,872,1404,0,3301,0,0,335,202,1260,x1000
2023/2024,Parliament,Parlement,"Secretariat of the National Security and Intelligence Committee of Parliamentarians","Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement",1723,30,12,1110,103,4,13,0,33,0,0,1,0,0,x1000
2023/2024,Parliament,Parlement,Senate,Sénat,95830,9414,1118,3764,2171,1349,545,0,2629,481,0,680,0,0,x1000
2023/2024,"Prairies and Canadian Northern Economic Development","Développement économique des Prairies et du Nord  canadien","Department of Western Economic Diversification","Ministère de la Diversification de l'économie de l'Ouest  canadien",44179,909,908,5472,944,114,95,0,1011,327446,0,13,0,3483,x1000
2023/2024,"Prairies and Canadian Northern Economic Development","Développement économique des Prairies et du Nord  canadien","Canadian Northern Economic Development Agency","Agence canadienne de développement économique du Nord",17590,1307,32,2970,2361,124,84,500,199,62130,0,61,0,0,x1000
2023/2024,"Privy Council","Conseil privé","Privy Council Office","Bureau du Conseil privé",192382,6473,4417,31558,7111,1818,1053,0,6034,518,0,188,312,7268,x1000
2023/2024,"Privy Council","Conseil privé","Canadian Transportation Accident Investigation and Safety Board","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports",33709,1584,204,4589,879,623,225,0,1704,0,0,12,0,0,x1000
2023/2024,"Privy Council","Conseil privé","National Security and Intelligence Review Agency Secretariat","Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement",12050,418,10,3810,240,2855,52,0,148,0,0,63,0,0,x1000
2023/2024,"Privy Council","Conseil privé","Office of the Intelligence Commissioner","Bureau du commissaire au renseignement",1114,12,34,619,325,119,4,0,1,0,0,0,0,0,x1000
2023/2024,"Privy Council","Conseil privé","Pacific Economic Development Agency of Canada","Agence de développement économique du Pacifique Canada",24069,915,599,9045,888,0,100,0,1021,154065,0,8,0,0,x1000
2023/2024,"Privy Council","Conseil privé","Public Service Commission","Commission de la fonction publique",105428,150,151,6648,1632,65,197,0,341,0,0,381,12,8087,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Department of Public Safety and Emergency Preparedness","Ministère de la Sécurité publique et de la Protection civile",207377,3661,4234,35933,7497,9659,361,0,3134,1212785,0,2335,640,2212,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Canada Border Services Agency","Agence des services frontaliers du Canada",2007181,64880,4303,474892,10135,42723,20674,33515,54708,0,0,13272,32372,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Canadian Intergovernmental Conference Secretariat","Secrétariat des conférences intergouvernementales canadiennes",4447,781,28,1618,493,5,145,0,411,0,0,-5,0,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Canadian Security Intelligence Service","Service canadien du renseignement de sécurité",557902,0,0,0,0,0,0,0,0,0,0,270508,0,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Commission civile d'examen et de traitement des plaintes  relatives à la Gendarmerie royale du Canada",13037,225,30,1089,409,8,73,0,262,0,0,662,0,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Correctional Service of Canada","Service correctionnel du Canada",2278072,29625,782,527415,39485,45327,201103,179882,74078,5620,0,125438,4189,127676,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Leaders' Debates Commission","Commission des débats des chefs",471,3,14,155,1,0,0,0,0,0,0,0,0,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Office of the Chief Electoral Officer","Bureau du directeur général des élections",152693,4653,5297,58044,20235,582,953,0,3911,2274,0,424,0,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Office of the Commissioner of Official Languages","Commissariat aux langues officielles",21805,297,414,1599,221,241,72,0,420,0,0,17,0,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Office of the Correctional Investigator of Canada","Bureau de l'enquêteur correctionnel du Canada",4836,258,38,430,47,0,14,0,6,0,0,184,0,0,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Parole Board of Canada","Commission des libérations conditionnelles du Canada",66130,1939,118,8384,482,64,153,41,225,0,0,69,0,157,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Royal Canadian Mounted Police","Gendarmerie royale du Canada",4563980,243411,5164,747251,173225,108853,187562,79014,342599,708927,548,118379,2134310,1305,x1000
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales","Royal Canadian Mounted Police External Review Committee","Comité externe d'examen de la Gendarmerie royale du Canada",4365,25,26,567,28,1,49,0,62,0,0,249,0,0,x1000
2023/2024,"Public Services and Procurement","Services publics et Approvisionnement","Department of Public Works and Government Services","Ministère des Travaux publics et des Services gouvernementaux",2130709,77715,18203,2614511,1313248,1270596,109054,1277937,125834,51293,100856,425332,262176,3877831,x1000
2023/2024,"Public Services and Procurement","Services publics et Approvisionnement","Canada Post Corporation","Société canadienne des postes",0,0,0,0,0,0,0,0,0,0,0,22210,0,0,x1000
2023/2024,"Public Services and Procurement","Services publics et Approvisionnement","National Capital Commission","Commission de la capitale nationale",0,0,0,0,0,0,0,0,0,0,0,96902,0,0,x1000
2023/2024,"Public Services and Procurement","Services publics et Approvisionnement","Shared Services Canada","Services partagés Canada",1187577,633584,3403,436502,648442,342598,6977,3907,419939,0,6331,1965,2927,897509,x1000
2023/2024,Transport,Transports,"Department of Transport","Ministère des Transports",873402,29062,11374,274084,23260,22113,17877,116258,69760,1652903,0,27385,46939,51295,x1000
2023/2024,Transport,Transports,"Canadian Air Transport Security Authority","Administration canadienne de la sûreté du transport aérien",0,0,0,0,0,0,0,0,0,0,0,971163,0,0,x1000
2023/2024,Transport,Transports,"Canadian Transportation Agency","Office des transports du Canada",47719,492,553,3418,1979,119,51,0,871,0,0,74,0,0,x1000
2023/2024,Transport,Transports,"Marine Atlantic Inc.","Marine Atlantique S.C.C.",0,0,0,0,0,0,0,0,0,0,0,191685,0,0,x1000
2023/2024,Transport,Transports,"The Federal Bridge Corporation Limited",Transports,0,0,0,0,0,0,0,0,0,0,0,7045,0,0,x1000
2023/2024,Transport,Transports,"VIA HFR - VIA TGF Inc.",Transports,0,0,0,0,0,0,0,0,0,0,0,49503,0,0,x1000
2023/2024,Transport,Transports,"VIA Rail Canada Inc.",Transports,0,0,0,0,0,0,0,0,0,0,0,803950,0,0,x1000
2023/2024,"Treasury Board","Conseil du Trésor","Treasury Board Secretariat","Secrétariat du Conseil du Trésor",5006889,1488,3480,181610,34474,1358,373,0,1754,1018,0,-21100,596650,364360,x1000
2023/2024,"Treasury Board","Conseil du Trésor","Canada School of Public Service","École de la fonction publiquedu Canada",85677,803,575,7548,10066,184,77,0,2461,0,0,-12614,0,0,x1000
2023/2024,"Treasury Board","Conseil du Trésor","Office of the Commissioner of Lobbying","Commissariat au lobbying",4170,76,19,1327,74,7,9,0,63,0,0,22,0,0,x1000
2023/2024,"Treasury Board","Conseil du Trésor","Office of the Public Sector Integrity Commissioner","Commissariat à l'intégrité dusecteur public",5301,178,28,1005,93,4,14,0,129,21,0,4,0,0,x1000
2023/2024,"Veterans Affairs","Anciens Combattants","Department of Veterans Affairs","Ministère des Anciens Combattants",407690,36922,7978,583516,26278,5666,340188,1577,4861,4636714,0,1676,0,0,x1000
2023/2024,"Veterans Affairs","Anciens Combattants","Veterans Review and Appeal Board","Tribunal des anciens combattants (révision et appel)",16294,505,8,718,271,0,121,0,201,0,0,6,0,0,x1000
2023/2024,"Women, Gender Equality and Youth","Femmes, Égalité des genres et Jeunesse","Department for Women and Gender Equality","Ministère des Femmes et de l'Égalité des genres",59624,991,4030,4959,1069,44,46,50,688,249298,0,100,0,0,x1000
