Fin-stmt_Etat-consolide_eng,Fin-stmt_Etat-consolide_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,Section-lvl3_niv3_eng,Section-lvl3_niv3_fra,Section-lvl4_niv4_eng,Section-lvl4_niv4_fra,Type-detail_eng,Type-detail_fra,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Amt-units_Mnt-unite
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques","Loans and advances","Prêts et avances","Canadian Development Investment Corporation","Corporation de développement des investissements du Canada",,,0,0,0,0,-4790,-1465,-3725,-6290,138,-764,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques","Loans and advances","Prêts et avances",Other,Autres,,,-167,-11,-117,-18,9,17,-12,154,-26,-2,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques",Investments,Placements,"Share of annual loss (profit)","Quote-part des pertes (bénéfices) annuels",,,-8365,-7316,-4920,-6959,-5920,-3588,11638,-11535,-3878,660,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques",Investments,Placements,"Other comprehensive (income) loss","Autres éléments du résultat global",,,2360,2669,-1857,753,232,-3482,-343,-4465,-1628,221,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques",Investments,Placements,Dividends,Dividendes,,,2341,4002,2320,8058,6427,3618,13592,6050,1695,1423,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques",Investments,Placements,Capital,"Capitaux propres",,,1030,973,-125,-65,-125,-1816,-18470,-435,8717,-290,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques",Investments,Placements,"Equity adjustments and other","Ajustement de transition et autres",,,143,0,0,0,0,190,-24,2,-27,-13,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques",Investments,Placements,"Canada Mortgage Bonds","Obligations hypothécaires du Canada",,,0,0,0,0,0,0,0,0,0,-7580,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Enterprise Crown corporations and other government business enterprises","Sociétés d'État entreprises et autres entreprises publiques","Loans expected to be repaid from future appropriations","Prêts que l'on prévoit recouvrer au moyen de crédits ultérieurs",,,,,353,221,218,264,204,167,115,225,201,183,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances","Portfolio investments","Placements de portefeuille",,,,,119,351,286,1235,-616,-385,-165,390,-166,-247,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances","Capital subscriptions - International organizations","Souscriptions au capital - organisations internationales",,,,,0,0,0,-257,257,0,0,0,0,0,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances","Loans and advances","Prêts et avances","Canada Emergency Business Account","Compte d’urgence pour les entreprises canadiennes",,,0,0,0,0,0,0,-28789,344,3864,21016,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances","Loans and advances","Prêts et avances","Canada Student Loans and Canada Apprentice Loans","Prêts canadiens aux étudiants et prêts canadiens  aux apprentis",,,-1021,-694,-504,-913,-1156,-637,-1120,-115,-510,1683,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances","Loans and advances","Prêts et avances","Unconditionally repayable contributions","Contributions remboursables sans condition",,,-170,-1177,47,-139,-147,-389,-1619,-1098,-948,-622,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances","Loans and advances","Prêts et avances","Other loans and advances","Autres prêts et avances",,,-414,985,433,-943,1515,-240,-197,-3550,-984,-4229,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Pensions and other future benefits","Régimes de retraite et autres avantages futurs","Public sector pensions","Régimes de retraite du secteur public",,,,,,,1638,1061,505,-757,-2414,-2378,-1557,-3979,-5034,-8130,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Pensions and other future benefits","Régimes de retraite et autres avantages futurs","Other employee and veteran future benefits","Autres avantages futurs des employés et des anciens combattants",,,,,,,4181,9541,7887,11225,9069,12516,17808,15519,18244,18401,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other liabilities","Autres passifs","Canada Pension Plan Account","Compte du Régime de pensions du Canada",,,,,,,72,-177,71,-74,131,115,-139,-38,204,-146,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other liabilities","Autres passifs","Other liabilities","Autres passifs",,,,,,,16,-223,16,55,104,31,800,1034,-573,-230,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Non-financial assets","Actifs non financiers","Tangible capital assets","Immobilisations corporelles",,,,,,,-1405,-2491,-3838,-4159,-5107,-4740,-3901,-5202,-4552,-7214,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Non-financial assets","Actifs non financiers",Inventories,Stocks,,,,,,,66,29,379,163,78,430,-3593,738,-379,1191,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Non-financial assets","Actifs non financiers","Prepaid expenses","Charges payées d'avance",,,,,,,-31,96,-86,77,-12,-547,-2054,774,-44,-835,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other transactions","Autres opérations","Taxes receivable","Impôts à recevoir",,,,,,,-6010,-7349,-4666,-12521,-4526,6463,-20925,-25565,-13394,-22063,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other transactions","Autres opérations","Other accounts receivable","Autres créances",,,,,,,675,-7108,-177,-4064,2535,-3530,-2697,6430,-1890,-467,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other transactions","Autres opérations","Derivative assets","Actifs dérivés",,,,,,,-402,406,-885,670,-73,242,-2257,-1907,1714,332,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other transactions","Autres opérations","Provincial, Territorial and Indigenous Tax Agreements Account","Compte relatif aux conventions fiscales provinciales, territoriales et autochtones",,,,,,,951,2780,-1942,5034,-351,-4710,7691,16140,-20942,11285,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other transactions","Autres opérations","Amounts payable related to tax","Créditeurs fiscaux",,,,,,,3598,-2501,1380,6799,3324,-5014,11330,6947,6285,2990,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other transactions","Autres opérations","Derivative liabilities","Passifs dérivés",,,,,,,4536,1516,187,-633,-521,3066,-8086,-774,2218,-558,x1000000
"Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed","État consolidé des opérations non budgétaires et des actifs non financiers – détaillé","Other transactions","Autres opérations","Other liabilities","Autres passifs",,,,,,,5661,3262,3607,8941,8888,13863,24419,35845,11568,-9659,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Foreign exchange accounts Assets","Comptes d'opérations de change","International reserves held in the Exchange Fund Account","Réserves de liquidités internationales détenues dans le Compte du fonds des changes",,,,,,,-14596,-9418,-5289,1238,-1770,-4817,14427,-29510,-21767,-10549,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Foreign exchange accounts Assets","Comptes d'opérations de change","International Monetary Fund—Subscriptions","Fonds monétaire international - Souscriptions",,,,,,,-246,-9041,278,-755,198,-729,1546,581,-992,286,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Foreign exchange accounts Assets","Comptes d'opérations de change","International Monetary Fund—Loans","Fonds monétaire international - Prêts",,,,,,,312,75,153,350,229,178,171,65,65,67,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Foreign exchange accounts Assets","Comptes d'opérations de change","International Monetary Fund—Poverty Reduction and Growth Trust","Fonds monétaire international - Fonds fiduciaire pour  la réduction de la pauvreté et pour la croissance",,,,,,,0,0,0,0,0,0,0,0,0,-494,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Foreign exchange accounts Assets","Comptes d'opérations de change","International Monetary Fund—Loans","Fonds fiduciaire pour la résilience et la durabilité","Resilience  and Sustainability Trust",,,,,,0,0,0,0,0,0,0,0,-414,-60,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Foreign exchange accounts Liabilities","Comptes d'opérations de change","International Monetary Fund","Fonds monétaire international","Special drawing rights allocations","Allocations de droits de tirages spéciaux",,,,,-231,-493,150,-409,107,-396,840,-17945,-1489,430,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Foreign exchange accounts Liabilities","Comptes d'opérations de change","International Monetary Fund","Fonds monétaire international","Notes payable","Effets à payer",,,,,-1543,-9370,250,-617,1300,243,3023,490,-411,-385,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Unmatured debt","Dette non échue","Payable in Canadian currency","Payable en monnaie canadienne","Marketable bonds","Obligations négociables",,,,,15428,16553,32366,37119,-6373,27511,285498,154103,1757,42689,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Unmatured debt","Dette non échue","Payable in Canadian currency","Payable en monnaie canadienne","Treasury bills","Bons du Trésor",,,,,-17169,2533,-1430,-26200,23291,17730,67379,-31787,12022,64084,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Unmatured debt","Dette non échue","Payable in Canadian currency","Payable en monnaie canadienne","Retail debt","Titres au détail",,,,,-667,-584,-543,-1947,-1349,-740,-198,-299,0,0,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Unmatured debt","Dette non échue","Payable in foreign currencies","Payable en devises",,,,,,,4211,2221,-4872,-1537,-21,-86,-513,-996,1561,5212,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Unmatured debt","Dette non échue","Obligation related to capital leases","Obligation découlant de contrats de location-acquisition",,,,,,,107,-233,-251,-23,-310,20,-205,78,-240,-180,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Unmatured debt","Dette non échue","Obligation under public-private partnership","Obligation en vertu des partenariats public-privé",,,,,,,-174,565,629,194,1118,-921,-59,50,-17,-23,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Cash and cash equivalents at end of year","Trésorerie et équivalents de trésorerie à la fin de l'exercice","In Canadian currency","En monnaie canadienne",,,,,,,34716,36022,35353,34110,36840,36400,63685,100166,47891,73809,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé","Cash and cash equivalents at end of year","Trésorerie et équivalents de trésorerie à la fin de l'exercice","In foreign currencies","En devises",,,,,,,283,2548,1147,532,795,842,416,656,1115,1250,x1000000
