Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2018/2019,2017/2018-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires mondiales","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",4679,4300,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges",2406,2150,x1000000
"Portefeuilles ministériels","Affaires mondiales","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",1397,1258,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges",1175,1167,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",21,24,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges",1120,960,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges",22,24,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges",6720,3881,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Autres paiements de transfert",7,0,x1000000
"Portefeuilles ministériels","Conseil privé","Autres charges",348,342,x1000000
"Portefeuilles ministériels","Conseil privé","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",209,155,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges",31714,32077,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",74,79,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres paiements de transfert",429,222,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres charges",1946,1807,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Frais de la dette publique",0,1,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Principaux paiements de transfert",72272,70372,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres paiements de transfert",8899,9088,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres charges",3135,3232,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Autres paiements de transfert",29,21,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Autres charges",42,22,x1000000
"Portefeuilles ministériels","Femmes et de l'Égalité des genres","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",70734,68447,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",1012,411,x1000000
"Portefeuilles ministériels",Finances,"Autres charges",539,527,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",23012,21623,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres paiements de transfert",1434,1296,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres charges",1455,1338,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Principaux paiements de transfert",4341,2072,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres paiements de transfert",3330,1536,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres charges",539,540,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres paiements de transfert",2636,2851,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres charges",2632,2540,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Institutions démocratiques","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Institutions démocratiques","Autres paiements de transfert",1,2,x1000000
"Portefeuilles ministériels","Institutions démocratiques","Autres charges",178,123,x1000000
"Portefeuilles ministériels","Institutions démocratiques","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Justice,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",400,381,x1000000
"Portefeuilles ministériels",Justice,"Autres charges",1425,1352,x1000000
"Portefeuilles ministériels",Justice,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Principaux paiements de transfert",0,0,x1000000
