Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2018/2019,2017/2018-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",1,2,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges",730,723,x1000000
"Portefeuilles ministériels",Parlement,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien et Multiculturalisme","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien et Multiculturalisme","Autres paiements de transfert",1182,1257,x1000000
"Portefeuilles ministériels","Patrimoine canadien et Multiculturalisme","Autres charges",3090,3177,x1000000
"Portefeuilles ministériels","Patrimoine canadien et Multiculturalisme","Frais de la dette publique",3,3,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres paiements de transfert",182,127,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres charges",2402,1954,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones","Autres paiements de transfert",5543,6483,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones","Autres charges",2357,3226,x1000000
"Portefeuilles ministériels","Relations Couronne-Autochtones","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres paiements de transfert",1717,909,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres charges",2015,1649,x1000000
"Portefeuilles ministériels","Ressources naturelles","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Revenu national","Principaux paiements de transfert",23865,23419,x1000000
"Portefeuilles ministériels","Revenu national","Autres paiements de transfert",4401,3622,x1000000
"Portefeuilles ministériels","Revenu national","Autres charges",8529,7798,x1000000
"Portefeuilles ministériels","Revenu national","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Santé,"Principaux paiements de transfert",849,0,x1000000
"Portefeuilles ministériels",Santé,"Autres paiements de transfert",1930,1631,x1000000
"Portefeuilles ministériels",Santé,"Autres charges",2269,2223,x1000000
"Portefeuilles ministériels",Santé,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Sciences,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Sciences,"Autres paiements de transfert",2106,1917,x1000000
"Portefeuilles ministériels",Sciences,"Autres charges",93,83,x1000000
"Portefeuilles ministériels",Sciences,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres paiements de transfert",1132,918,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres charges",11995,11318,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres paiements de transfert",9731,8778,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres charges",1816,1868,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres paiements de transfert",0,-1,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres charges",4730,4918,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Frais de la dette publique",133,139,x1000000
"Portefeuilles ministériels",Transports,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Transports,"Autres paiements de transfert",212,213,x1000000
"Portefeuilles ministériels",Transports,"Autres charges",2932,2715,x1000000
"Portefeuilles ministériels",Transports,"Frais de la dette publique",42,42,x1000000
"Provision pour évaluation et autres éléments",,"Principaux paiements de transfert",0,0,x1000000
"Provision pour évaluation et autres éléments",,"Autres paiements de transfert",-204,-264,x1000000
"Provision pour évaluation et autres éléments",,"Autres charges",84,3106,x1000000
"Provision pour évaluation et autres éléments",,"Frais de la dette publique",0,0,x1000000
