Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2014/2015,2013/2014-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires étrangères, Commerce et Développement","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires étrangères, Commerce et Développement","Autres paiements de transfert",4039,3913,x1000000
"Portefeuilles ministériels","Affaires étrangères, Commerce et Développement","Autres charges de programmes",2087,2034,x1000000
"Portefeuilles ministériels","Affaires étrangères, Commerce et Développement","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Autres paiements de transfert",7576,6152,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Autres charges de programmes",1204,642,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Autres paiements de transfert",34,36,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Autres charges de programmes",15,13,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Autres paiements de transfert",105,137,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Autres charges de programmes",74,60,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Autres paiements de transfert",155,180,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Autres charges de programmes",82,73,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Principaux paiements de transfert",10372,10402,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Autres paiements de transfert",3350,3362,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Autres charges de programmes",8108,7841,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",1290,1536,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges de programmes",791,896,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",18,15,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges de programmes",1000,882,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Principaux paiements de transfert",1973,2106,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Autres paiements de transfert",983,1355,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Autres charges de programmes",64,50,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Autres paiements de transfert",9,16,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Autres charges de programmes",313,277,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges de programmes",20,20,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Autres paiements de transfert",984,953,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Autres charges de programmes",1061,1009,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges de programmes",3277,2947,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",136,159,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges de programmes",23669,21511,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",68,26,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Autres paiements de transfert",106,137,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Autres charges de programmes",41,45,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Emploi et Développement social Canada","Principaux paiements de transfert",66086,61820,x1000000
"Portefeuilles ministériels","Emploi et Développement social Canada","Autres paiements de transfert",6311,6322,x1000000
"Portefeuilles ministériels","Emploi et Développement social Canada","Autres charges de programmes",2646,3110,x1000000
"Portefeuilles ministériels","Emploi et Développement social Canada","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Environnement,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Environnement,"Autres paiements de transfert",116,94,x1000000
"Portefeuilles ministériels",Environnement,"Autres charges de programmes",1541,1549,x1000000
"Portefeuilles ministériels",Environnement,"Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",61136,58369,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",920,1100,x1000000
"Portefeuilles ministériels",Finances,"Autres charges de programmes",511,530,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",26325,27991,x1000000
"Portefeuilles ministériels",Industrie,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Industrie,"Autres paiements de transfert",2244,2605,x1000000
"Portefeuilles ministériels",Industrie,"Autres charges de programmes",2151,2054,x1000000
"Portefeuilles ministériels",Industrie,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Justice,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",345,339,x1000000
"Portefeuilles ministériels",Justice,"Autres charges de programmes",1280,1253,x1000000
"Portefeuilles ministériels",Justice,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges de programmes",542,534,x1000000
"Portefeuilles ministériels",Parlement,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres paiements de transfert",1267,1130,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres charges de programmes",527,506,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Pêches et Océans","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Pêches et Océans","Autres paiements de transfert",90,85,x1000000
"Portefeuilles ministériels","Pêches et Océans","Autres charges de programmes",1581,1670,x1000000
"Portefeuilles ministériels","Pêches et Océans","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres paiements de transfert",1184,1176,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres charges de programmes",1067,1010,x1000000
"Portefeuilles ministériels","Ressources naturelles","Frais de la dette publique",2,3,x1000000
"Portefeuilles ministériels",Santé,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Santé,"Autres paiements de transfert",2932,2818,x1000000
"Portefeuilles ministériels",Santé,"Autres charges de programmes",3313,3376,x1000000
"Portefeuilles ministériels",Santé,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres paiements de transfert",204,2097,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres charges de programmes",9831,9773,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels",Transports,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Transports,"Autres paiements de transfert",593,464,x1000000
"Portefeuilles ministériels",Transports,"Autres charges de programmes",919,844,x1000000
"Portefeuilles ministériels",Transports,"Frais de la dette publique",41,42,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Autres charges de programmes",4267,4181,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Frais de la dette publique",156,156,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Autres paiements de transfert",-353,0,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Autres charges de programmes",-604,2875,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Frais de la dette publique",0,0,x1000000
"Sociétés d'État et autres entités",,"Principaux paiements de transfert",0,0,x1000000
"Sociétés d'État et autres entités",,"Autres paiements de transfert",487,516,x1000000
"Sociétés d'État et autres entités",,"Autres charges de programmes",7770,7647,x1000000
"Sociétés d'État et autres entités",,"Frais de la dette publique",0,0,x1000000
