Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2015/2016,2014/2015-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires autochtones et du Nord","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires autochtones et du Nord","Autres paiements de transfert",7832,7576,x1000000
"Portefeuilles ministériels","Affaires autochtones et du Nord","Autres charges de programmes",1408,1204,x1000000
"Portefeuilles ministériels","Affaires autochtones et du Nord","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",4367,4039,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges de programmes",1857,2087,x1000000
"Portefeuilles ministériels","Affaires mondiales","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",1289,1290,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges de programmes",739,791,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",18,18,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges de programmes",911,1000,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges de programmes",21,20,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges de programmes",4214,3277,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Conseil privé","Autres paiements de transfert",105,9,x1000000
"Portefeuilles ministériels","Conseil privé","Autres charges de programmes",566,313,x1000000
"Portefeuilles ministériels","Conseil privé","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",152,136,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges de programmes",28519,23669,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",88,68,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres paiements de transfert",135,116,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres charges de programmes",1506,1541,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Principaux paiements de transfert",72396,66086,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres paiements de transfert",6465,6292,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres charges de programmes",2882,2635,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",63877,61136,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",512,920,x1000000
"Portefeuilles ministériels",Finances,"Autres charges de programmes",484,511,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",25303,26325,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres paiements de transfert",1083,984,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres charges de programmes",1138,1061,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Principaux paiements de transfert",1973,1973,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres paiements de transfert",1098,983,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres charges de programmes",64,64,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres paiements de transfert",1650,2644,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres charges de programmes",2351,2363,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Justice,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",340,345,x1000000
"Portefeuilles ministériels",Justice,"Autres charges de programmes",1275,1280,x1000000
"Portefeuilles ministériels",Justice,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges de programmes",570,542,x1000000
"Portefeuilles ministériels",Parlement,"Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres paiements de transfert",1056,1286,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres charges de programmes",442,455,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Frais de la dette publique",0,0,x1000000
