Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2013/2014,2012/2013-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Major transfer payments",,,x1000000
Ministries,"Agriculture and Agri-Food","Other transfer payments",1536,1848,x1000000
Ministries,"Agriculture and Agri-Food","Other program expenses",896,927,x1000000
Ministries,"Agriculture and Agri-Food","Public debt charges",,,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Major transfer payments",,,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Other transfer payments",180,158,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Other program expenses",73,102,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Public debt charges",,,x1000000
Ministries,"Canada Revenu Agency","Major transfer payments",10402,10266,x1000000
Ministries,"Canada Revenu Agency","Other transfer payments",3362,3527,x1000000
Ministries,"Canada Revenu Agency","Other program expenses",7841,7662,x1000000
Ministries,"Canada Revenu Agency","Public debt charges",,,x1000000
Ministries,"Canadian Heritage","Major transfer payments",,,x1000000
Ministries,"Canadian Heritage","Other transfer payments",1130,1040,x1000000
Ministries,"Canadian Heritage","Other program expenses",525,561,x1000000
Ministries,"Canadian Heritage","Public debt charges",,,x1000000
Ministries,"Canadian Northern Economic Development Agency","Major transfer payments",,,x1000000
Ministries,"Canadian Northern Economic Development Agency","Other transfer payments",36,37,x1000000
Ministries,"Canadian Northern Economic Development Agency","Other program expenses",13,13,x1000000
Ministries,"Canadian Northern Economic Development Agency","Public debt charges",,,x1000000
Ministries,"Citizenship and Immigration","Major transfer payments",,,x1000000
Ministries,"Citizenship and Immigration","Other transfer payments",953,936,x1000000
Ministries,"Citizenship and Immigration","Other program expenses",1009,1024,x1000000
Ministries,"Citizenship and Immigration","Public debt charges",,,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Major transfer payments",,,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Other transfer payments",137,172,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Other program expenses",60,61,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Public debt charges",,,x1000000
Ministries,"Employment and Social Development","Major transfer payments",61820,60063,x1000000
Ministries,"Employment and Social Development","Other transfer payments",6322,6098,x1000000
Ministries,"Employment and Social Development","Other program expenses",3147,3094,x1000000
Ministries,"Employment and Social Development","Public debt charges",,,x1000000
Ministries,Environment,"Major transfer payments",,,x1000000
Ministries,Environment,"Other transfer payments",94,119,x1000000
Ministries,Environment,"Other program expenses",1549,1522,x1000000
Ministries,Environment,"Public debt charges",1,1,x1000000
Ministries,Finance,"Major transfer payments",58369,56406,x1000000
Ministries,Finance,"Other transfer payments",1100,868,x1000000
Ministries,Finance,"Other program expenses",541,533,x1000000
Ministries,Finance,"Public debt charges",27991,28659,x1000000
Ministries,"Fisheries and Oceans","Major transfer payments",,,x1000000
Ministries,"Fisheries and Oceans","Other transfer payments",85,88,x1000000
Ministries,"Fisheries and Oceans","Other program expenses",1670,1597,x1000000
Ministries,"Fisheries and Oceans","Public debt charges",,,x1000000
Ministries,"Foreign Affairs, Trade and Development","Major transfer payments",,,x1000000
Ministries,"Foreign Affairs, Trade and Development","Other transfer payments",3913,3738,x1000000
Ministries,"Foreign Affairs, Trade and Development","Other program expenses",2034,1854,x1000000
Ministries,"Foreign Affairs, Trade and Development","Public debt charges",,,x1000000
Ministries,"Governor General","Major transfer payments",,,x1000000
Ministries,"Governor General","Other transfer payments",,,x1000000
Ministries,"Governor General","Other program expenses",20,21,x1000000
Ministries,"Governor General","Public debt charges",,,x1000000
Ministries,Health,"Major transfer payments",,,x1000000
Ministries,Health,"Other transfer payments",2818,2656,x1000000
Ministries,Health,"Other program expenses",3376,3441,x1000000
Ministries,Health,"Public debt charges",,,x1000000
Ministries,"Indian Affairs and Northern Development","Major transfer payments",,,x1000000
Ministries,"Indian Affairs and Northern Development","Other transfer payments",6152,6233,x1000000
Ministries,"Indian Affairs and Northern Development","Other program expenses",644,1686,x1000000
Ministries,"Indian Affairs and Northern Development","Public debt charges",,,x1000000
Ministries,Industry,"Major transfer payments",,,x1000000
Ministries,Industry,"Other transfer payments",2605,2297,x1000000
Ministries,Industry,"Other program expenses",2055,2166,x1000000
Ministries,Industry,"Public debt charges",,,x1000000
Ministries,Justice,"Major transfer payments",,,x1000000
Ministries,Justice,"Other transfer payments",339,378,x1000000
Ministries,Justice,"Other program expenses",1182,1148,x1000000
Ministries,Justice,"Public debt charges",,,x1000000
Ministries,"National Defence","Major transfer payments",,,x1000000
Ministries,"National Defence","Other transfer payments",159,181,x1000000
Ministries,"National Defence","Other program expenses",21511,22978,x1000000
Ministries,"National Defence","Public debt charges",26,29,x1000000
Ministries,"Natural Resources","Major transfer payments",,,x1000000
Ministries,"Natural Resources","Other transfer payments",1176,1076,x1000000
Ministries,"Natural Resources","Other program expenses",1010,1023,x1000000
Ministries,"Natural Resources","Public debt charges",3,3,x1000000
Ministries,"Office of Infrastructure of Canada","Major transfer payments",2106,1964,x1000000
Ministries,"Office of Infrastructure of Canada","Other transfer payments",1355,1737,x1000000
Ministries,"Office of Infrastructure of Canada","Other program expenses",50,46,x1000000
Ministries,"Office of Infrastructure of Canada","Public debt charges",,,x1000000
Ministries,Parliament,"Major transfer payments",,,x1000000
Ministries,Parliament,"Other transfer payments",1,1,x1000000
Ministries,Parliament,"Other program expenses",534,548,x1000000
Ministries,Parliament,"Public debt charges",,,x1000000
Ministries,"Privy Council Office","Major transfer payments",,,x1000000
Ministries,"Privy Council Office","Other transfer payments",16,24,x1000000
Ministries,"Privy Council Office","Other program expenses",277,282,x1000000
Ministries,"Privy Council Office","Public debt charges",,,x1000000
Ministries,"Public Safety and Emergency Preparedness","Major transfer payments",,,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other transfer payments",2097,275,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other program expenses",9773,9267,x1000000
Ministries,"Public Safety and Emergency Preparedness","Public debt charges",1,,x1000000
Ministries,"Public Works and Government Services","Major transfer payments",,,x1000000
Ministries,"Public Works and Government Services","Other transfer payments",,6,x1000000
Ministries,"Public Works and Government Services","Other program expenses",4181,3869,x1000000
Ministries,"Public Works and Government Services","Public debt charges",156,137,x1000000
Ministries,Transport,"Major transfer payments",,,x1000000
Ministries,Transport,"Other transfer payments",464,559,x1000000
Ministries,Transport,"Other program expenses",845,881,x1000000
Ministries,Transport,"Public debt charges",42,42,x1000000
Ministries,"Treasury Board","Major transfer payments",,,x1000000
Ministries,"Treasury Board","Other transfer payments",,,x1000000
Ministries,"Treasury Board","Other program expenses",2947,2870,x1000000
Ministries,"Treasury Board","Public debt charges",,,x1000000
Ministries,"Veterans Affairs","Major transfer payments",,,x1000000
Ministries,"Veterans Affairs","Other transfer payments",15,14,x1000000
Ministries,"Veterans Affairs","Other program expenses",882,889,x1000000
Ministries,"Veterans Affairs","Public debt charges",,,x1000000
Ministries,"Western Economic Diversification","Major transfer payments",,,x1000000
Ministries,"Western Economic Diversification","Other transfer payments",137,129,x1000000
Ministries,"Western Economic Diversification","Other program expenses",45,49,x1000000
Ministries,"Western Economic Diversification","Public debt charges",,,x1000000
Ministries,"Provision for valuation and other items","Major transfer payments",,,x1000000
Ministries,"Provision for valuation and other items","Other transfer payments",,,x1000000
Ministries,"Provision for valuation and other items","Other program expenses",2875,2821,x1000000
Ministries,"Provision for valuation and other items","Public debt charges",,,x1000000
"Crown corporations and other entities",,"Major transfer payments",,,x1000000
"Crown corporations and other entities",,"Other transfer payments",516,667,x1000000
"Crown corporations and other entities",,"Other program expenses",7647,9683,x1000000
"Crown corporations and other entities",,"Public debt charges",,,x1000000
