Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2015/2016,2014/2015-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Major transfer payments",0,0,x1000000
Ministries,"Agriculture and Agri-Food","Other transfer payments",1289,1290,x1000000
Ministries,"Agriculture and Agri-Food","Other program expenses",739,791,x1000000
Ministries,"Agriculture and Agri-Food","Public debt charges",0,0,x1000000
Ministries,"Canadian Heritage","Major transfer payments",0,0,x1000000
Ministries,"Canadian Heritage","Other transfer payments",1056,1286,x1000000
Ministries,"Canadian Heritage","Other program expenses",442,455,x1000000
Ministries,"Canadian Heritage","Public debt charges",0,0,x1000000
Ministries,"Environment and Climate Change","Major transfer payments",0,0,x1000000
Ministries,"Environment and Climate Change","Other transfer payments",135,116,x1000000
Ministries,"Environment and Climate Change","Other program expenses",1506,1541,x1000000
Ministries,"Environment and Climate Change","Public debt charges",1,1,x1000000
Ministries,"Families, Children and Social Development","Major transfer payments",72396,66086,x1000000
Ministries,"Families, Children and Social Development","Other transfer payments",6465,6292,x1000000
Ministries,"Families, Children and Social Development","Other program expenses",2882,2635,x1000000
Ministries,"Families, Children and Social Development","Public debt charges",0,0,x1000000
Ministries,Finance,"Major transfer payments",63877,61136,x1000000
Ministries,Finance,"Other transfer payments",512,920,x1000000
Ministries,Finance,"Other program expenses",484,511,x1000000
Ministries,Finance,"Public debt charges",25303,26325,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Major transfer payments",0,0,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other transfer payments",94,90,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other program expenses",1544,1581,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Public debt charges",0,0,x1000000
Ministries,"Global Affairs","Major transfer payments",0,0,x1000000
Ministries,"Global Affairs","Other transfer payments",4367,4039,x1000000
Ministries,"Global Affairs","Other program expenses",1857,2087,x1000000
Ministries,"Global Affairs","Public debt charges",0,0,x1000000
Ministries,Health,"Major transfer payments",0,0,x1000000
Ministries,Health,"Other transfer payments",2985,2932,x1000000
Ministries,Health,"Other program expenses",3340,3313,x1000000
Ministries,Health,"Public debt charges",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Major transfer payments",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other transfer payments",1083,984,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other program expenses",1138,1061,x1000000
Ministries,"Immigration, Refugees and Citizenship","Public debt charges",0,0,x1000000
Ministries,"Indigenous and Northern Affairs","Major transfer payments",0,0,x1000000
Ministries,"Indigenous and Northern Affairs","Other transfer payments",7832,7576,x1000000
Ministries,"Indigenous and Northern Affairs","Other program expenses",1408,1204,x1000000
Ministries,"Indigenous and Northern Affairs","Public debt charges",0,0,x1000000
Ministries,"Infrastructure and Communities","Major transfer payments",1973,1973,x1000000
Ministries,"Infrastructure and Communities","Other transfer payments",1098,983,x1000000
Ministries,"Infrastructure and Communities","Other program expenses",64,64,x1000000
Ministries,"Infrastructure and Communities","Public debt charges",0,0,x1000000
Ministries,"Innovation, Science and Economic Development","Major transfer payments",0,0,x1000000
Ministries,"Innovation, Science and Economic Development","Other transfer payments",1650,2644,x1000000
Ministries,"Innovation, Science and Economic Development","Other program expenses",2351,2363,x1000000
Ministries,"Innovation, Science and Economic Development","Public debt charges",0,0,x1000000
Ministries,Justice,"Major transfer payments",0,0,x1000000
