Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2014/2015,"Agriculture and Agri-Food","Agriculture and Agri-Food Department",461498,10337,4831,106082,3440,16405,39951,9577,39055,1346347,0,37704,-46583,-14653,x1000
2014/2015,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,3884,0,0,x1000
2014/2015,"Agriculture and Agri-Food","Canadian Grain Commission",41203,3247,246,1981,5752,1098,577,0,4008,0,0,1094,-76118,0,x1000
2014/2015,"Atlantic Canada Opportunities Agency","Atlantic Canada Opportunities Agency Department",60117,2383,426,5406,2062,909,352,0,685,231079,0,1854,0,0,x1000
2014/2015,"Atlantic Canada Opportunities Agency","Enterprise Cape Breton Corporation",0,0,0,0,0,0,0,0,0,0,0,9866,0,0,x1000
2014/2015,"Canada Revenue Agency","Canada Revenue Agency",3195454,127714,7990,354724,324970,35469,19390,0,18937,199643,0,92086,-141224,-174319,x1000
2014/2015,"Canadian Heritage","Canadian Heritage Department",166879,2662,11692,20337,4424,1653,4034,0,3786,1268513,0,6580,-6131,-2574,x1000
2014/2015,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,182224,0,0,x1000
2014/2015,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1038024,0,0,x1000
2014/2015,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,21700,0,0,x1000
2014/2015,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,68924,0,0,x1000
2014/2015,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,9900,0,0,x1000
2014/2015,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,26277,0,0,x1000
2014/2015,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",46665,1275,842,5119,634,274,286,0,1256,0,0,1417,-46322,0,x1000
2014/2015,"Canadian Heritage","Library and Archives of Canada",79617,1070,1931,9846,1183,1476,1602,1628,3401,38,0,2716,-130,-1784,x1000
2014/2015,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,35321,0,0,x1000
2014/2015,"Canadian Heritage","National Film Board",38012,2764,1045,11000,7272,1031,746,0,2064,88,0,2113,-3471,-101,x1000
2014/2015,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,44308,0,0,x1000
2014/2015,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,33370,0,0,x1000
2014/2015,"Canadian Heritage","Public Service Commission",73099,352,295,6548,1690,161,185,0,1434,0,0,2500,-15,-8651,x1000
2014/2015,"Canadian Heritage","Public Service Labour Relations Board",6357,271,29,654,288,12,73,0,134,0,0,249,0,-62,x1000
2014/2015,"Canadian Heritage","Public Service Staffing Tribunal",2393,57,7,300,75,0,10,0,13,0,0,119,0,0,x1000
2014/2015,"Canadian Heritage","Registry of the Public Servants Disclosure Protection Tribunal",586,27,85,175,48,0,13,0,5,0,0,26,0,0,x1000
2014/2015,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,95454,0,0,x1000
2014/2015,"Canadian Heritage","The National Battlefields Commission",3913,139,291,550,95,478,623,3435,122,0,0,2451,0,0,x1000
2014/2015,"Canadian Northern Economic Development Agency","Canadian Northern Economic Development Agency",10586,821,43,2239,844,115,70,0,9,34120,0,274,0,0,x1000
2014/2015,"Citizenship and Immigration","Citizenship and Immigration Department",510430,53584,10589,314744,22245,2957,44094,0,13964,989897,0,48433,-646649,-3537,x1000
2014/2015,"Citizenship and Immigration","Immigration and Refugee Board",90898,1699,321,19707,952,729,631,0,2038,0,0,2775,0,0,x1000
2014/2015,"Economic Development Agency of Canada for the Regions of Quebec","Economic Development Agency of Canada for the Regions of Quebec",33376,859,316,4737,492,23,138,0,810,212168,0,979,0,0,x1000
2014/2015,"Employment and Social Development","Employment and Social Development Department",1780384,53971,55527,626389,220153,7839,8161,0,23429,50921851,0,343561,-349111,-1487397,x1000
2014/2015,"Employment and Social Development","Canada Industrial Relations Board",5841,431,16,408,124,76,100,0,68,0,0,425,0,0,x1000
2014/2015,"Employment and Social Development","Canada Mortgage and Housing Corporation",0,0,0,0,0,0,0,0,0,0,0,2053213,0,0,x1000
2014/2015,"Employment and Social Development","Canadian Centre for Occupational Health and Safety",7498,224,71,879,28,88,150,0,236,0,0,241,-4098,-631,x1000
2014/2015,"Employment and Social Development","National Capital Commission",0,0,0,0,0,0,0,0,0,0,0,8285,0,0,x1000
2014/2015,"Employment and Social Development","Office of the Co-ordinator,Status of Women",9254,513,110,693,147,2,27,0,67,19033,0,280,0,0,x1000
2014/2015,Environment,"Environment Department",645002,33688,3744,127688,27160,16100,40696,1243,36305,102815,0,23798,-56903,-25149,x1000
2014/2015,Environment,"Canadian Environmental Assessment Agency",23066,813,236,4938,166,14,156,0,344,2315,0,703,-2678,-316,x1000
2014/2015,Environment,"Parks Canada Agency",338727,14736,8350,90357,18749,38662,48596,91224,28297,12033,0,32069,0,0,x1000
2014/2015,Finance,"Finance Department",86750,2834,10000,12945,1348,270,106185,3498,5851,61955648,23487916,10011,0,-101,x1000
2014/2015,Finance,"Canadian International Trade Tribunal",4845,119,24,330,44,11,30,0,79,0,0,243,0,0,x1000
2014/2015,Finance,"Financial Consumer Agency of Canada",9781,513,1886,3346,823,32,97,0,1084,0,0,328,0,0,x1000
2014/2015,Finance,"Financial Transactions and Reports Analysis Centre of Canada",36924,1054,289,3452,5924,761,319,0,1476,0,0,1205,0,0,x1000
2014/2015,Finance,"Office of the Auditor General",68737,3504,454,5800,1078,245,237,0,741,0,0,2196,-1129,0,x1000
2014/2015,Finance,"Office of the Superintendent of Financial Institutions",107497,4193,1235,16346,9952,503,505,466,2786,0,0,2826,0,0,x1000
2014/2015,Finance,"PPP Canada Inc.",0,0,0,0,0,0,0,0,0,0,0,209500,0,0,x1000
2014/2015,"Fisheries and Oceans","Fisheries and Oceans",918970,53514,1796,228950,13651,190858,108390,22544,107833,89710,0,42567,-41816,0,x1000
2014/2015,"Foreign Affairs,Trade and Development","Foreign Affairs,Trade and Development Department",1085608,105123,11012,252592,194452,35833,45256,126276,44347,3858024,0,213750,-32054,-875,x1000
2014/2015,"Foreign Affairs,Trade and Development","Canadian Commercial Corporation",0,0,0,0,0,0,0,0,0,0,0,14240,0,0,x1000
2014/2015,"Foreign Affairs,Trade and Development","Export Development Canada (Canada Account)",0,0,0,4106,0,0,0,0,0,0,0,-1509,0,0,x1000
2014/2015,"Foreign Affairs,Trade and Development","International Development Research Centre",0,0,0,0,0,0,0,0,0,0,0,190024,0,0,x1000
2014/2015,"Foreign Affairs,Trade and Development","International Joint Commission (Canadian Section)",3785,534,68,1338,407,14,24,0,478,0,0,117,0,0,x1000
2014/2015,"Foreign Affairs,Trade and Development","National Capital Commission",0,0,0,0,0,0,0,0,0,0,0,84161,0,0,x1000
2014/2015,Health,"Health Department",893752,231242,16735,458808,14800,25744,479070,11454,44797,1815080,0,43751,-205392,-15367,x1000
2014/2015,Health,"Canadian Food Inspection Agency",672985,15756,710,75945,12217,7453,18405,331,10648,13434,0,20609,0,0,x1000
2014/2015,Health,"Canadian Institutes of Health Research",44226,2989,693,5593,1394,61,135,0,920,959845,0,1424,0,0,x1000
2014/2015,Health,"Patented Medicine Prices Review Board",6083,125,322,777,83,8,175,0,166,0,0,191,0,0,x1000
2014/2015,Health,"Public Health Agency of Canada",216227,7930,14852,112482,1615,3245,16699,528,6900,249625,0,7557,-632,-59,x1000
2014/2015,"Indian Affairs and Northern Development","Indian Affairs and Northern Development Department",443595,27052,12059,310542,14965,3355,4045,26437,7296,6436034,0,409408,0,-3135,x1000
