Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2022/2023,2021/2022-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Major transfer payments",0,0,x1000000
Ministries,"Agriculture and Agri-Food","Other transfer payments",2300,2223,x1000000
Ministries,"Agriculture and Agri-Food","Other expenses",1052,1061,x1000000
Ministries,"Agriculture and Agri-Food","Public debt charges",0,0,x1000000
Ministries,"Canadian Heritage","Major transfer payments",0,0,x1000000
Ministries,"Canadian Heritage","Other transfer payments",1999,1735,x1000000
Ministries,"Canadian Heritage","Other expenses",3986,4031,x1000000
Ministries,"Canadian Heritage","Public debt charges",12,8,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Major transfer payments",0,0,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Other transfer payments",17001,7766,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Other expenses",9700,6415,x1000000
Ministries,"Crown-Indigenous Relations and Northern Affairs","Public debt charges",0,0,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Major transfer payments",0,0,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Other transfer payments",343,225,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Other expenses",67,68,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Québec","Public debt charges",0,0,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Major transfer payments",92174,118230,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Other transfer payments",11851,12257,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Other expenses",5908,5387,x1000000
Ministries,"Employment, Workforce Development and Disability Inclusion","Public debt charges",0,0,x1000000
Ministries,"Environment and Climate Change","Major transfer payments",0,0,x1000000
Ministries,"Environment and Climate Change","Other transfer payments",736,648,x1000000
Ministries,"Environment and Climate Change","Other expenses",2471,2085,x1000000
Ministries,"Environment and Climate Change","Public debt charges",0,0,x1000000
Ministries,Finance,"Major transfer payments",82826,80619,x1000000
Ministries,Finance,"Other transfer payments",6118,785,x1000000
Ministries,Finance,"Other expenses",927,945,x1000000
Ministries,Finance,"Public debt charges",34678,24204,x1000000
