Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Bureau de l'infrastructure du Canada",142572,1376,740,57878,3187,19076,167,7151,3704,6549862,42627,619,0,0,x1000
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Société canadienne d'hypothèques et de logement",0,0,0,0,0,0,0,0,0,0,0,4162705,0,0,x1000
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Secrétariat des conférences intergouvernementales canadiennes",3453,806,21,1282,515,0,51,0,157,0,0,15,0,0,x1000
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Commission des débats des chefs",508,4,13,173,1,0,0,0,0,0,0,0,0,0,x1000
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Bureau du directeur général des élections",110810,6612,10361,48991,21392,654,5221,-1,1419,7350,0,324,0,0,x1000
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Commissariat aux langues officielles",19074,261,184,1657,235,95,50,0,861,0,0,16,0,0,x1000
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Les Ponts Jacques-Cartier et Champlain Inc.",0,0,0,0,0,0,0,0,0,0,0,205278,0,0,x1000
2022/2023,"Affaires intergouvernementales, Infrastructure et Collectivités","Autorité du pont Windsor-Détroit",0,0,0,0,0,0,0,0,0,0,0,793291,0,0,x1000
2022/2023,"Affaires mondiales","Ministère des Affaires étrangères, du Commerce et du Développement",1483735,151646,26870,360268,233149,30199,44314,39653,60674,6750387,0,123856,49751,796,x1000
2022/2023,"Affaires mondiales","Corporation Commerciale Canadienne",0,0,0,0,0,0,0,0,0,0,0,13000,0,0,x1000
2022/2023,"Affaires mondiales","Exportation et développement Canada (Compte du Canada)",0,0,0,252880,0,0,0,0,0,0,0,1353551,0,0,x1000
2022/2023,"Affaires mondiales","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,159036,0,0,x1000
2022/2023,"Affaires mondiales","Commission mixte internationale (section canadienne)",5083,555,229,2266,572,5,23,0,201,0,0,19,0,0,x1000
2022/2023,"Affaires mondiales","Investir au Canada",10233,1231,15808,4165,960,1,33,0,597,0,0,-4,0,0,x1000
2022/2023,"Affaires mondiales","Agence de développement économique du Pacifique Canada",19342,797,754,5356,521,0,49,0,412,194740,0,112,0,0,x1000
2022/2023,"Agence de développement économique du Canada pour les régions du Québec","Agence de développement économique du Canada pour les régions du Québec",43566,685,308,5172,1779,43,126,0,774,491563,0,99,0,0,x1000
2022/2023,"Agriculture et Agroalimentaire","Ministère de l'Agriculture et de l'Agroalimentaire",553872,9048,11274,122387,11123,13886,42056,23988,35254,2832755,0,9719,31367,27450,x1000
2022/2023,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,4543,0,0,x1000
2022/2023,"Agriculture et Agroalimentaire","Commission canadienne des grains",48992,2508,513,3227,5851,1990,1152,0,2833,0,0,-21,43474,483,x1000
2022/2023,"Anciens Combattants","Ministère des Anciens Combattants",343553,28534,4630,525587,22498,8443,304196,302,5881,4177857,0,864,0,0,x1000
2022/2023,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",12400,378,7,496,99,0,171,0,37,0,0,32,0,0,x1000
2022/2023,"Bureau du secrétaire du gouverneur général","Bureau du secrétaire du gouverneur général",19077,1087,660,1447,591,26,794,0,531,956,0,71,0,0,x1000
2022/2023,"Conseil du Trésor","Secrétariat du Conseil du Trésor",4840116,1309,1194,158529,36496,707,273,0,3887,892,0,5190,578354,308048,x1000
2022/2023,"Conseil du Trésor","École de la fonction publiquedu Canada",76359,519,1093,8758,7089,226,69,0,2933,0,0,-8183,0,0,x1000
2022/2023,"Conseil du Trésor","Commissariat au lobbying",3577,70,49,1325,83,6,8,0,93,0,0,9,0,0,x1000
2022/2023,"Conseil du Trésor","Commissariat à l'intégrité dusecteur public",4356,95,42,913,67,2,13,0,248,45,0,13,0,0,x1000
2022/2023,"Conseil privé","Bureau du Conseil privé",173777,5970,6873,38910,8645,1952,743,0,10354,2836,0,245,396,6972,x1000
2022/2023,"Conseil privé","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports",30531,1355,171,2722,761,423,210,0,622,0,0,19,0,0,x1000
2022/2023,"Conseil privé","Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement",10251,364,17,3677,240,3643,39,0,48,0,0,10,0,0,x1000
2022/2023,"Conseil privé","Bureau du commissaire au renseignement",1360,23,48,617,316,92,17,0,12,0,0,0,0,0,x1000
2022/2023,"Conseil privé","Commission de la fonction publique",94582,155,236,9425,1284,94,228,0,1996,0,0,588,74,9640,x1000
2022/2023,"Défense nationale","Ministère de la Défense nationale",11441686,808379,27423,4792313,685691,1833408,1274270,557077,3831979,1324750,2737,701296,338000,12849,x1000
2022/2023,"Défense nationale","Centre de la sécurité des télécommunications",403837,0,0,0,0,0,0,13456,0,0,62885,467770,645,16055,x1000
2022/2023,"Défense nationale","Comité externe d'examen des griefs militaires",6066,20,11,338,577,32,13,0,32,0,0,0,0,0,x1000
2022/2023,"Défense nationale","Commission d'examen des plaintes concernant la police militaire",3520,46,50,535,401,6,7,0,95,0,0,-1,0,0,x1000
2022/2023,"Environnement et Changement climatique","Ministère de l'Environnement",903175,37364,31556,224358,40842,16176,41685,1359,43425,653153,311,4674,44264,24132,x1000
2022/2023,"Environnement et Changement climatique","Agence canadienne d'évaluation d'impact",49225,1020,445,6319,105,27,117,0,1486,14690,0,504,1432,0,x1000
