Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2022/2023,"Environnement et Changement climatique","Agence Parcs Canada",538151,21585,9888,159885,27341,22685,61059,124293,34488,75020,61,82153,0,0,x1000
2022/2023,"Emploi, Développement de la main-d'œuvre et Inclusion des personnes en situation de handicap","Ministère de l'Emploi et du Développement social",3454322,82005,112237,963191,289335,4307,5329,0,38408,85450042,0,371668,483926,2134681,x1000
2022/2023,"Emploi, Développement de la main-d'œuvre et Inclusion des personnes en situation de handicap","Organisation canadienne d'élaboration de normes d'accessibilité",6290,273,246,3358,257,0,7,0,13,8498,0,125,0,0,x1000
2022/2023,"Emploi, Développement de la main-d'œuvre et Inclusion des personnes en situation de handicap","Centre canadien d'hygiène et de sécurité au travail",10910,241,36,1131,521,22,60,0,234,0,0,0,0,0,x1000
2022/2023,"Femme, Égalité des genres","Ministère des Femmes et de l'Égalité des genres",49493,757,4446,6611,938,35,64,196,968,259383,0,218,0,0,x1000
2022/2023,Finances,"Ministère des Finances",124283,2477,4790,15866,1787,428,87526,0,1959,84882269,31588323,605282,0,0,x1000
2022/2023,Finances,"Agence de la consommation en matière financière du Canada",29677,373,1616,10222,3035,4,66,5735,3047,0,0,177,0,0,x1000
2022/2023,Finances,"Centre d'analyse des opérations et déclarations financières du Canada",60993,3177,1693,9268,8721,1248,270,0,2776,0,0,7,0,0,x1000
2022/2023,Finances,"Bureau du vérificateur général",111211,2250,1126,9743,1994,437,152,0,1550,0,0,28,635,0,x1000
2022/2023,Finances,"Bureau du surintendant des institutions financières",187667,2733,2274,23954,16101,807,192,1447,4335,0,0,236,0,0,x1000
2022/2023,"Immigration, Réfugiés et Citoyenneté","Ministère de la Citoyenneté et de l'Immigration",1056045,78277,16783,1333039,218743,2564,72920,0,19135,2800540,0,23885,408970,3844,x1000
2022/2023,"Immigration, Réfugiés et Citoyenneté","Commission de l'immigration et du statut de réfugié",227898,1483,655,35255,6876,9902,346,0,2612,0,0,451,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Ministère de l'Industrie",712731,12770,16340,213765,35195,11564,4339,0,23551,2916654,0,3604,271532,35309,x1000
2022/2023,"Innovation, Sciences et Industrie","Agence de promotion économique du Canada atlantique",72222,1590,615,3446,1944,109,249,0,785,351386,0,780,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Agence canadienne de développement économique du Nord",15883,1494,19,2920,2262,139,77,0,91,82081,0,111,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Agence spatiale canadienne",101644,8857,2532,278175,5817,4910,1639,1203,5853,85065,0,2541,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Commission canadienne du tourisme",0,0,0,0,0,0,0,0,0,0,0,156225,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Commission du droit d'auteur",3235,39,46,510,70,17,6,0,74,0,0,-1,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Ministère de la Diversification de l'économie de l'Ouest canadien",43704,1042,1087,6121,1200,646,135,0,1439,446260,0,5,0,2231,x1000
2022/2023,"Innovation, Sciences et Industrie","Agence fédérale de développement économique pour le Sud de l'Ontario",39464,369,547,4724,217,19,58,0,507,553087,0,195,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Conseil national de recherches du Canada",533533,10352,1227,84677,15858,25351,48880,52456,65317,612326,0,20780,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Conseil de recherches en sciences naturelles et en génie",55484,674,1114,5432,1352,116,56,0,1731,1315534,0,36,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Conseil de recherches en sciences humaines",38726,447,1314,5200,836,76,42,0,1136,1014866,0,58,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Conseil canadien des normes",0,0,0,0,0,0,0,0,0,0,0,17968,0,0,x1000
2022/2023,"Innovation, Sciences et Industrie","Statistique Canada",750385,16438,7988,39565,17151,724,665,522,6500,0,0,2090,23026,136323,x1000
2022/2023,Justice,"Ministère de la Justice",738137,6284,4114,45988,9853,2348,2397,0,8336,602352,0,1436,1215,436707,x1000
2022/2023,Justice,"Service canadien d'appui aux tribunaux administratifs",92836,1815,1400,9927,3099,1658,346,0,951,0,0,42,15994,13485,x1000
2022/2023,Justice,"Commission canadienne des droits de la personne",33868,361,354,4736,642,37,99,55,1178,0,0,62,0,2040,x1000
2022/2023,Justice,"Service administratif des tribunaux judiciaires",74380,3565,773,16317,5209,914,2699,1103,2963,0,0,132,0,0,x1000
2022/2023,Justice,"Bureau du commissaire à la magistrature fédérale",664421,18316,107,19322,1623,116,28,0,125,0,0,8129,0,25,x1000
2022/2023,Justice,"Bureau du directeur des poursuites pénales",160417,7430,415,44430,2756,2212,1518,0,2028,0,0,3821,65,16236,x1000
2022/2023,Justice,"Commissariats à l'information et à la protection de la vie privée du Canada",40223,541,403,3767,994,116,46,0,871,499,0,95,0,209,x1000
2022/2023,Justice,"Registraire de la Cour suprême du Canada",34440,1511,381,2763,1276,227,1291,0,1656,0,0,9,0,0,x1000
2022/2023,Parlement,"Chambre des communes",425653,43976,12962,26191,20972,10178,11909,0,29197,1425,0,791,4296,26406,x1000
2022/2023,Parlement,"Bibliothèque du Parlement",44726,221,2242,1430,476,41,3352,0,410,0,0,7,551,0,x1000
2022/2023,Parlement,"Bureau du commissaire auxl'éthique",6237,75,115,585,47,0,41,0,478,0,0,2,0,0,x1000
2022/2023,Parlement,"Bureau du directeur parlementaire du budget",5260,79,80,387,298,0,276,0,115,0,0,1,0,0,x1000
2022/2023,Parlement,"Bureau du conseiller sénatorial en éthique",819,19,0,117,1,0,6,0,1,0,0,3,0,0,x1000
2022/2023,Parlement,"Service de protection parlementaire",86245,361,64,9860,512,1398,1069,0,2902,0,0,369,109,1059,x1000
2022/2023,Parlement,"Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement",1644,39,8,1051,98,0,5,0,4,0,0,2,0,0,x1000
2022/2023,Parlement,Sénat,87663,7939,1039,2855,2082,1076,523,0,1019,622,0,82,0,0,x1000
2022/2023,"Patrimoine canadien","Ministère du Patrimoine canadien",235189,3107,2691,34587,5610,1367,1903,0,877,2005767,0,20625,7749,3419,x1000
2022/2023,"Patrimoine canadien","Conseil des Arts du Canada",0,0,0,0,0,0,0,0,0,0,0,423423,0,0,x1000
2022/2023,"Patrimoine canadien","Société Radio-Canada",0,0,0,0,0,0,0,0,0,0,0,1287297,0,0,x1000
2022/2023,"Patrimoine canadien","Musée canadien des droits de la personne",0,0,0,0,0,0,0,0,0,0,0,30817,0,0,x1000
2022/2023,"Patrimoine canadien","Musée canadien de l'histoire",0,0,0,0,0,0,0,0,0,0,0,77559,0,0,x1000
2022/2023,"Patrimoine canadien","Musée canadien de l'immigration du Quai 21",0,0,0,0,0,0,0,0,0,0,0,8957,0,0,x1000
2022/2023,"Patrimoine canadien","Musée canadien de la nature",0,0,0,0,0,0,0,0,0,0,0,33006,0,0,x1000
2022/2023,"Patrimoine canadien","Fondation canadienne des relations raciales",0,0,0,0,0,0,0,0,0,0,0,5116,0,0,x1000
2022/2023,"Patrimoine canadien","Conseil de la radiodiffusion et des télécommunications canadiennes",65452,898,1721,5000,1897,417,168,0,1294,0,0,215,62037,0,x1000
2022/2023,"Patrimoine canadien","Bibliothèque et Archives du Canada",91631,490,131,20966,4350,808,2920,59315,3653,2520,5108,11060,135,2316,x1000
2022/2023,"Patrimoine canadien","Société du Centre national des Arts",0,0,0,0,0,0,0,0,0,0,0,66219,0,0,x1000
2022/2023,"Patrimoine canadien","Office national du film",44723,2934,1506,13591,11178,438,241,0,1904,0,3,65,4135,0,x1000
2022/2023,"Patrimoine canadien","Musée des beaux-arts du Canada",0,0,0,0,0,0,0,0,0,0,0,50373,0,0,x1000
2022/2023,"Patrimoine canadien","Musée national des sciences et de la technologie",0,0,0,0,0,0,0,0,0,0,0,39737,0,0,x1000
2022/2023,"Patrimoine canadien","Téléfilm Canada",0,0,0,0,0,0,0,0,0,0,0,171050,0,0,x1000
2022/2023,"Patrimoine canadien","Commission des champs de bataille nationaux",5475,157,416,2278,155,692,828,0,1004,0,0,2855,0,0,x1000
2022/2023,"Pêches, Océans et Garde côtière canadienne","Ministère des Pêches et des Océans",1506244,103825,10829,809229,68912,154129,186371,174584,371775,402101,125,35755,47051,0,x1000
2022/2023,"Relations Couronne-Autochtones et Affaires du Nord","Ministère des Relations Couronne-Autochtones et des Affaires du Nord",239977,5586,726,402475,6121,394,678,3803,823,7113284,0,1392556,0,33842,x1000
2022/2023,"Relations Couronne-Autochtones et Affaires du Nord","Station canadienne de recherche dans l'Extrême‐Arctique",11400,2458,967,3424,1314,3013,2189,153,1201,7783,0,233,0,0,x1000
2022/2023,"Ressources naturelles","Ministère des Ressources naturelles",580511,15156,18491,175183,20118,6361,27780,7829,46033,1654422,0,12891,18128,6520,x1000
2022/2023,"Ressources naturelles","Énergie atomique du Canada, Limitée",0,0,0,0,0,0,0,0,0,0,0,1083200,0,0,x1000
2022/2023,"Ressources naturelles","Régie canadienne de l'énergie",90134,2436,219,14676,1366,1173,320,0,818,1264,0,11,0,0,x1000
2022/2023,"Ressources naturelles","Commission canadienne de sûreté nucléaire",116793,5033,1073,17561,4261,1342,423,0,2070,4328,0,82,0,0,x1000
2022/2023,"Ressources naturelles","Administration du pipe-line du Nord",53,0,0,236,10,0,0,0,0,0,0,0,0,0,x1000
2022/2023,"Revenu national","Agence du revenu du Canada",5133394,88112,21597,491730,290292,69719,15502,0,64678,7364933,0,12084,0,440567,x1000
2022/2023,Santé,"Ministère de la Santé",1104803,11552,39861,303373,35008,19311,1007235,6,46184,1963225,0,4727,180010,32967,x1000
2022/2023,Santé,"Agence canadienne d'inspection des aliments",701194,18207,5303,90873,11362,11056,26464,0,18653,120801,0,4532,0,0,x1000
2022/2023,Santé,"Instituts de recherche en santé du Canada",69174,517,789,4715,2125,168,218,0,527,1258419,0,260,0,0,x1000
2022/2023,Santé,"Conseil d'examen du prix des médicaments brevetés",9721,129,814,1003,189,9,6,0,125,0,0,26,0,0,x1000
2022/2023,Santé,"Agence de la santé publique du Canada",502685,16288,62810,611192,47237,7413,3838508,403,37772,645308,0,17063,844,57,x1000
2022/2023,"Sécurité publique","Ministère de la Sécurité publique et de la Protection civile",170159,3029,7009,31878,5811,23595,396,0,4378,3045103,0,22758,462,2081,x1000
2022/2023,"Sécurité publique","Agence des services frontaliers du Canada",1850874,60039,2895,512249,11668,45094,20361,34061,71845,0,0,12554,27098,0,x1000
2022/2023,"Sécurité publique","Service canadien du renseignement de sécurité",415819,0,0,0,0,0,0,0,0,0,0,256628,0,0,x1000
2022/2023,"Sécurité publique","Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada",10206,150,33,754,279,4,61,0,630,0,0,363,0,0,x1000
2022/2023,"Sécurité publique","Service correctionnel du Canada",2066941,27347,732,477941,32672,37525,177532,123377,56206,4962,0,128771,7330,111239,x1000
2022/2023,"Sécurité publique","Bureau de l'enquêteur correctionnel du Canada",4673,235,59,499,50,0,12,0,50,0,0,184,0,0,x1000
2022/2023,"Sécurité publique","Commission des libérations conditionnelles du Canada",57827,1641,152,8457,359,58,149,0,763,0,0,25,655,0,x1000
2022/2023,"Sécurité publique","Gendarmerie royale du Canada",5433325,228248,3996,672093,173890,92675,187003,86626,303588,530747,583,113714,2017471,1578,x1000
2022/2023,"Sécurité publique","Comité externe d'examen de la Gendarmerie royale du Canada",3781,75,20,596,30,8,44,0,77,0,0,247,0,0,x1000
2022/2023,"Services aux Autochtones","Ministère des Services aux Autochtones",783894,469606,10512,876099,21372,6620,650214,29,59482,17706871,0,2020108,6336,42109,x1000
2022/2023,"Services aux Autochtones","Agence fédérale de développement économique pour le Nord de l'Ontario",10349,256,110,1672,26,955,24,0,80,117738,0,868,0,0,x1000
2022/2023,"Services publics et Approvisionnement","Ministère des Travaux publics et des Services gouvernementaux",1812915,70644,33677,2252157,1296532,1508813,354502,662171,153428,-54740,110416,371309,465404,3656629,x1000
2022/2023,"Services publics et Approvisionnement","Société canadienne des postes",0,0,0,0,0,0,0,0,0,0,0,22210,0,0,x1000
2022/2023,"Services publics et Approvisionnement","Commission de la capitale nationale",0,0,0,0,0,0,0,0,0,0,0,194228,0,0,x1000
2022/2023,"Services publics et Approvisionnement","Services partagés Canada",986599,660834,3920,477340,617399,291396,6650,16786,360126,0,8177,2471,5204,888393,x1000
2022/2023,Transports,"Ministère des Transports",737265,24636,7480,227181,19001,18521,20570,87759,70892,1138784,0,17142,39426,50154,x1000
2022/2023,Transports,"Administration canadienne de la sûreté du transport aérien",0,0,0,0,0,0,0,0,0,0,0,865964,0,0,x1000
2022/2023,Transports,"Office des transports du Canada",35063,420,433,2610,1827,104,40,0,626,0,0,7,0,0,x1000
2022/2023,Transports,"Marine Atlantique S.C.C.",0,0,0,0,0,0,0,0,0,0,0,132121,0,0,x1000
2022/2023,Transports,"La Société des ponts fédéraux Limitée",0,0,0,0,0,0,0,0,0,0,0,4423,0,0,x1000
2022/2023,Transports,"VIA Rail Canada Inc.",0,0,0,0,0,0,0,0,0,0,0,689628,0,0,x1000
