Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2020/2021,"Agriculture and Agri-Food","Department of Agriculture and Agri-Food",543371,2626,8560,115853,7623,11130,29280,21418,32917,2303265,0,10302,21483,27247,x1000
2020/2021,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,4577,0,0,x1000
2020/2021,"Agriculture and Agri-Food","Canadian Grain Commission",49134,1879,326,2773,5974,724,1452,0,4706,0,0,201,78642,373,x1000
2020/2021,"Canadian Heritage","Department of Canadian Heritage",206863,786,2831,28389,3116,1325,2445,0,5597,1717426,0,837,5057,3015,x1000
2020/2021,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,428631,0,0,x1000
2020/2021,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1366916,0,0,x1000
2020/2021,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,29187,0,0,x1000
2020/2021,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,81526,0,0,x1000
2020/2021,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,10606,0,0,x1000
2020/2021,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,34903,0,0,x1000
2020/2021,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",61943,779,1717,4931,1062,313,135,0,1304,0,0,193,33042,0,x1000
2020/2021,"Canadian Heritage","Library and Archives of Canada",96735,127,83,14433,4634,639,2038,5991,686,2607,0,4358,76,1876,x1000
2020/2021,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,59238,0,0,x1000
2020/2021,"Canadian Heritage","National Film Board",42803,764,1749,12296,9752,576,459,0,6992,0,33,27,3701,0,x1000
2020/2021,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,54491,0,0,x1000
2020/2021,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,38545,0,0,x1000
2020/2021,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,132308,0,0,x1000
2020/2021,"Canadian Heritage","The National Battlefields Commission",3972,128,192,1211,42,425,627,0,160,0,0,2659,0,0,x1000
2020/2021,"Crown-Indigenous Relations and Northern Affairs","Department of Crown-Indigenous Relations and Northern Affairs",220133,1994,3202,253399,5438,992,1167,1680,945,3973914,0,959571,67,31326,x1000
2020/2021,"Crown-Indigenous Relations and Northern Affairs","Canadian High Arctic Research Station",9049,1327,198,1914,1204,2613,1503,0,189,4163,0,115,0,0,x1000
2020/2021,"Digital Government","Shared Services Canada",865448,579298,4080,386623,518607,277382,7343,3499,525584,0,6696,3119,4908,860574,x1000
2020/2021,"Employment, Workforce Development and Disability Inclusion","Department of Employment and Social Development",2859482,71173,66439,844148,275834,6086,9695,0,64106,160650309,0,244840,475579,1979226,x1000
2020/2021,"Employment, Workforce Development and Disability Inclusion","Canada Mortgage and Housing Corporation",0,0,0,0,0,0,0,0,0,0,0,5530500,0,0,x1000
2020/2021,"Employment, Workforce Development and Disability Inclusion","Canadian Accessibility Standards Development Organization",4392,18,92,1940,348,0,2,2394,144,5238,0,36,0,0,x1000
2020/2021,"Employment, Workforce Development and Disability Inclusion","Canadian Centre for Occupational Health and Safety",9851,141,193,896,388,10,136,0,90,0,0,0,0,0,x1000
2020/2021,"Environment and Climate Change","Department of the Environment",817495,13460,6648,175017,54662,17569,29938,1215,35988,654720,414,5456,44357,21438,x1000
2020/2021,"Environment and Climate Change","Impact Assessment Agency of Canada",50440,290,370,7123,758,9,134,0,463,18438,0,327,1469,0,x1000
2020/2021,"Environment and Climate Change","Parks Canada Agency",519622,8688,4734,147005,17423,16470,47666,442255,28417,30139,93,43058,0,0,x1000
2020/2021,Finance,"Department of Finance",109627,633,23339,11354,1182,113,85894,0,1959,96434730,20425561,565836,0,0,x1000
2020/2021,Finance,"Financial Consumer Agency of Canada",23008,212,2093,6220,2179,28,70,0,1194,0,0,32,0,0,x1000
2020/2021,Finance,"Financial Transactions and Reports Analysis Centre of Canada",46736,861,696,4751,6339,707,282,0,1322,0,0,17,0,0,x1000
2020/2021,Finance,"Office of the Auditor General",84021,544,960,11543,1656,129,161,0,2178,0,0,51,1114,0,x1000
2020/2021,Finance,"Office of the Superintendent of Financial Institutions",157249,1516,1728,20031,14389,673,381,463,3182,0,0,15,0,0,x1000
2020/2021,"Fisheries, Oceans and the Canadian Coast Guard","Department of Fisheries and Oceans",1399895,51005,3958,662681,51169,183576,118686,119607,340767,421263,125,35142,40887,0,x1000
2020/2021,"Global Affairs","Department of Foreign Affairs, Trade and Development",1383764,90245,23388,328941,194388,31302,39191,18751,73516,7021170,0,181135,43117,967,x1000
2020/2021,"Global Affairs","Export Development Canada (Canada Account)",0,0,0,149547,0,0,0,0,0,0,0,103471,0,0,x1000
2020/2021,"Global Affairs","International Development Research Centre",0,0,0,0,0,0,0,0,0,0,0,145653,0,0,x1000
