Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2013/2014,"Agriculture and Agri-Food","Agriculture and Agri-Food Department",580348,12970,6443,115819,4490,21737,41408,4823,46196,1573312,0,38266,-43976,-14937,x1000
2013/2014,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,4456,0,0,x1000
2013/2014,"Agriculture and Agri-Food","Canadian Grain Commission",62492,3458,259,2227,5519,667,723,0,3182,0,0,5,-53178,0,x1000
2013/2014,"Atlantic Canada Opportunities Agency","Atlantic Canada Opportunities Agency Department",62202,2549,346,8764,1942,604,388,0,823,236733,0,-193,0,0,x1000
2013/2014,"Atlantic Canada Opportunities Agency","Enterprise Cape Breton Corporation",0,0,0,0,0,0,0,0,0,0,0,50844,0,0,x1000
2013/2014,"Canada Revenue Agency","Canada Revenue Agency",3225318,116504,8847,347373,311086,66386,20231,0,18635,277749,0,1296,-147772,-182794,x1000
2013/2014,"Canadian Heritage","Canadian Heritage Department",171084,2786,5178,16565,3504,1315,2777,0,2646,1131859,0,736,-4594,-2285,x1000
2013/2014,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,181974,0,0,x1000
2013/2014,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1083474,0,0,x1000
2013/2014,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,32016,0,0,x1000
2013/2014,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,62851,0,0,x1000
2013/2014,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,18450,0,0,x1000
2013/2014,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,26771,0,0,x1000
2013/2014,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",47356,1610,790,5097,910,671,233,0,904,0,0,1,-47192,0,x1000
2013/2014,"Canadian Heritage","Library and Archives of Canada",78753,715,142,10628,1268,1080,2865,893,4586,37,0,73,-236,0,x1000
2013/2014,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,34648,0,0,x1000
2013/2014,"Canadian Heritage","National Film Board",40806,3149,1384,11569,8657,818,816,0,2390,80,0,1118,-3873,-48,x1000
2013/2014,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,44193,0,0,x1000
2013/2014,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,27003,0,0,x1000
2013/2014,"Canadian Heritage","Public Service Commission",82332,402,192,7572,1965,1454,307,0,535,0,0,71,-23,-9240,x1000
2013/2014,"Canadian Heritage","Public Service Labour Relations Board",9420,631,85,1855,496,42,139,0,116,0,0,29,0,-107,x1000
2013/2014,"Canadian Heritage","Public Service Staffing Tribunal",3805,86,11,759,73,0,17,0,18,0,0,0,0,0,x1000
2013/2014,"Canadian Heritage","Registry of the Public Servants Disclosure Protection Tribunal",905,16,4,171,83,0,23,0,27,0,0,0,0,0,x1000
2013/2014,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,99975,0,0,x1000
2013/2014,"Canadian Heritage","The National Battlefields Commission",4436,133,349,546,93,480,680,819,361,0,0,2258,0,0,x1000
2013/2014,"Canadian Northern Economic Development Agency","Canadian Northern Economic Development Agency",10140,711,74,2230,742,191,162,0,30,36499,0,0,0,0,x1000
2013/2014,"Citizenship and Immigration","Citizenship and Immigration Department",476187,46495,5797,247650,17007,3651,30576,0,17109,956179,0,46949,-463552,-5353,x1000
2013/2014,"Citizenship and Immigration","Immigration and Refugee Board",98811,2005,214,17667,872,269,497,0,1524,0,0,61,0,0,x1000
