Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2013/2014,2012/2013-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires étrangères, du Commerce et du Développement","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Affaires étrangères, du Commerce et du Développement","Autres paiements de transfert",3913,3738,x1000000
"Portefeuilles ministériels","Affaires étrangères, du Commerce et du Développement","Autres charges de programmes",2034,1854,x1000000
"Portefeuilles ministériels","Affaires étrangères, du Commerce et du Développement","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Autres paiements de transfert",6152,6233,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Autres charges de programmes",644,1686,x1000000
"Portefeuilles ministériels","Affaires indiennes et du Nord canadien","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Autres paiements de transfert",36,37,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Autres charges de programmes",13,13,x1000000
"Portefeuilles ministériels","Agence canadienne de développement économique du Nord","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Autres paiements de transfert",137,172,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Autres charges de programmes",60,61,x1000000
"Portefeuilles ministériels","Agence de développement économique du Canada pour les régions du Québec","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Autres paiements de transfert",180,158,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Autres charges de programmes",73,102,x1000000
"Portefeuilles ministériels","Agence de promotion économique du Canada atlantique","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Principaux paiements de transfert",10402,10266,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Autres paiements de transfert",3362,3527,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Autres charges de programmes",7841,7662,x1000000
"Portefeuilles ministériels","Agence du revenu du Canada","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",1536,1848,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges de programmes",896,927,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",15,14,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges de programmes",882,889,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Principaux paiements de transfert",2106,1964,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Autres paiements de transfert",1355,1737,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Autres charges de programmes",50,46,x1000000
"Portefeuilles ministériels","Bureau de l'infrastructure du Canada","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Autres paiements de transfert",16,24,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Autres charges de programmes",277,282,x1000000
"Portefeuilles ministériels","Bureau du Conseil privé","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Autres paiements de transfert",953,936,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Autres charges de programmes",1009,1024,x1000000
"Portefeuilles ministériels","Citoyenneté et Immigration","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",,,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges de programmes",2947,2870,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Défense nationale","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",159,181,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges de programmes",21511,22978,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",26,29,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Autres paiements de transfert",137,129,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Autres charges de programmes",45,49,x1000000
"Portefeuilles ministériels","Diversification de l'économie de l'Ouest canadien","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Emploi et Développement social","Principaux paiements de transfert",61820,60063,x1000000
"Portefeuilles ministériels","Emploi et Développement social","Autres paiements de transfert",6322,6098,x1000000
"Portefeuilles ministériels","Emploi et Développement social","Autres charges de programmes",3147,3094,x1000000
"Portefeuilles ministériels","Emploi et Développement social","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels",Environnement,"Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels",Environnement,"Autres paiements de transfert",94,119,x1000000
"Portefeuilles ministériels",Environnement,"Autres charges de programmes",1549,1522,x1000000
"Portefeuilles ministériels",Environnement,"Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",58369,56406,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",1100,868,x1000000
"Portefeuilles ministériels",Finances,"Autres charges de programmes",541,533,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",27991,28659,x1000000
"Portefeuilles ministériels","Gouverneur général","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Gouverneur général","Autres paiements de transfert",,,x1000000
"Portefeuilles ministériels","Gouverneur général","Autres charges de programmes",20,21,x1000000
"Portefeuilles ministériels","Gouverneur général","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels",Industrie,"Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels",Industrie,"Autres paiements de transfert",2605,2297,x1000000
"Portefeuilles ministériels",Industrie,"Autres charges de programmes",2055,2166,x1000000
"Portefeuilles ministériels",Industrie,"Frais de la dette publique",,,x1000000
"Portefeuilles ministériels",Justice,"Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",339,378,x1000000
"Portefeuilles ministériels",Justice,"Autres charges de programmes",1182,1148,x1000000
"Portefeuilles ministériels",Justice,"Frais de la dette publique",,,x1000000
"Portefeuilles ministériels",Parlement,"Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges de programmes",534,548,x1000000
"Portefeuilles ministériels",Parlement,"Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres paiements de transfert",1130,1040,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres charges de programmes",525,561,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Pêches et Océans","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Pêches et Océans","Autres paiements de transfert",85,88,x1000000
"Portefeuilles ministériels","Pêches et Océans","Autres charges de programmes",1670,1597,x1000000
"Portefeuilles ministériels","Pêches et Océans","Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Ressources naturelles","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres paiements de transfert",1176,1076,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres charges de programmes",1010,1023,x1000000
"Portefeuilles ministériels","Ressources naturelles","Frais de la dette publique",3,3,x1000000
"Portefeuilles ministériels",Santé,"Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels",Santé,"Autres paiements de transfert",2818,2656,x1000000
"Portefeuilles ministériels",Santé,"Autres charges de programmes",3376,3441,x1000000
"Portefeuilles ministériels",Santé,"Frais de la dette publique",,,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres paiements de transfert",2097,275,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres charges de programmes",9773,9267,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Frais de la dette publique",1,,x1000000
"Portefeuilles ministériels",Transports,"Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels",Transports,"Autres paiements de transfert",464,559,x1000000
"Portefeuilles ministériels",Transports,"Autres charges de programmes",845,881,x1000000
"Portefeuilles ministériels",Transports,"Frais de la dette publique",42,42,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Autres paiements de transfert",,6,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Autres charges de programmes",4181,3869,x1000000
"Portefeuilles ministériels","Travaux publics et Services gouvernementaux","Frais de la dette publique",156,137,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Principaux paiements de transfert",,,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Autres paiements de transfert",,,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Autres charges de programmes",2875,2821,x1000000
"Portefeuilles ministériels","Provision pour évaluation et autres éléments","Frais de la dette publique",,,x1000000
"Sociétés d'État et autres entités",,"Principaux paiements de transfert",,,x1000000
"Sociétés d'État et autres entités",,"Autres paiements de transfert",516,667,x1000000
"Sociétés d'État et autres entités",,"Autres charges de programmes",7647,9683,x1000000
"Sociétés d'État et autres entités",,"Frais de la dette publique",,,x1000000
