Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2021/2022,"Agriculture and Agri-Food","Department of Agriculture and Agri-Food",546033,3477,11099,116111,8639,11085,35312,20255,37767,2711520,0,9572,25236,23709,x1000
2021/2022,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,4291,0,0,x1000
2021/2022,"Agriculture and Agri-Food","Canadian Grain Commission",48598,1578,184,3556,6285,962,1306,0,3862,0,0,73,49825,533,x1000
2021/2022,"Canadian Heritage","Department of Canadian Heritage",215727,1772,4996,35891,4170,1563,2379,0,3292,1742352,0,1240,5831,1017,x1000
2021/2022,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,510389,0,0,x1000
2021/2022,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1250423,0,0,x1000
2021/2022,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,29337,0,0,x1000
2021/2022,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,84700,0,0,x1000
2021/2022,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,9547,0,0,x1000
2021/2022,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,35681,0,0,x1000
2021/2022,"Canadian Heritage","Canadian Race Relations Foundation",0,0,0,0,0,0,0,0,0,0,0,6180,0,0,x1000
2021/2022,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",63166,841,1748,5478,1153,128,93,0,550,0,0,190,59368,0,x1000
2021/2022,"Canadian Heritage","Library and Archives of Canada",84891,135,106,22557,3752,714,2476,10351,829,2215,0,6104,148,2179,x1000
2021/2022,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,59921,0,0,x1000
2021/2022,"Canadian Heritage","National Film Board",43420,1460,1678,15073,10515,142,385,0,2619,0,4,78,6037,0,x1000
2021/2022,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,52002,0,0,x1000
2021/2022,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,43173,0,0,x1000
2021/2022,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,151229,0,0,x1000
2021/2022,"Canadian Heritage","The National Battlefields Commission",5427,125,387,1841,75,545,901,0,1288,0,0,2613,0,0,x1000
2021/2022,"Crown-Indigenous Relations and Northern Affairs","Department of Crown-Indigenous Relations and Northern Affairs",223164,2005,3418,302897,5649,1231,757,724,567,2928150,0,1394534,0,30953,x1000
2021/2022,"Crown-Indigenous Relations and Northern Affairs","Canadian High Arctic Research Station",9796,1657,104,2236,1252,2930,1749,0,879,6725,0,7,0,0,x1000
2021/2022,"Economic Development Agency of Canada for the Regions of Quebec","Economic Development Agency of Canada for the Regions of Quebec",44178,293,465,4762,1457,33,62,0,1419,391137,0,32,0,0,x1000
2021/2022,"Employment, Workforce Development and Disability Inclusion","Department of Employment and Social Development",3090090,76434,88929,957851,281000,3889,3828,0,68084,93305561,0,474329,491731,2073400,x1000
2021/2022,"Employment, Workforce Development and Disability Inclusion","Canadian Accessibility Standards Development Organization",5335,8,176,1831,223,33,9,219,68,8500,0,99,0,0,x1000
2021/2022,"Employment, Workforce Development and Disability Inclusion","Canadian Centre for Occupational Health and Safety",11091,132,113,1100,360,10,70,0,217,0,0,0,0,0,x1000
2021/2022,"Environment and Climate Change","Department of the Environment",840409,19080,11890,204451,34542,14725,32085,1674,34906,577282,364,5470,41775,22215,x1000
2021/2022,"Environment and Climate Change","Impact Assessment Agency of Canada",48994,416,341,6909,94,18,89,0,365,17015,0,161,2401,0,x1000
2021/2022,"Environment and Climate Change","Parks Canada Agency",519438,10436,6932,132213,22720,18310,54636,216021,29897,78229,75,75052,0,0,x1000
2021/2022,Finance,"Department of Finance",111210,832,11516,10326,1548,211,84798,49,1377,82869367,22987970,308848,0,0,x1000
2021/2022,Finance,"Financial Consumer Agency of Canada",25369,183,1606,7729,2746,16,57,0,934,0,0,18,0,0,x1000
2021/2022,Finance,"Financial Transactions and Reports Analysis Centre of Canada",54962,1087,1057,9650,7572,850,281,0,1578,0,0,-9,0,0,x1000
2021/2022,Finance,"Office of the Auditor General",95282,699,1019,11672,2106,132,103,0,1268,0,0,37,947,0,x1000
2021/2022,Finance,"Office of the Superintendent of Financial Institutions",166769,1230,1823,18155,14822,883,126,311,3496,0,0,14,0,0,x1000
2021/2022,"Fisheries, Oceans and the Canadian Coast Guard","Department of Fisheries and Oceans",1446252,74420,7064,748894,58151,166312,134967,90918,371540,681289,114,19886,40940,0,x1000
2021/2022,"Global Affairs","Department of Foreign Affairs, Trade and Development",1391537,117288,24532,334881,195337,34035,38263,45922,47569,5848864,0,41963,45034,946,x1000
2021/2022,"Global Affairs","Export Development Canada (Canada account)",0,0,0,238560,0,0,0,0,0,0,0,1017083,0,0,x1000
2021/2022,"Global Affairs","International Development Research Centre",0,0,0,0,0,0,0,0,0,0,0,155251,0,0,x1000
2021/2022,"Global Affairs","International Joint Commission (Canadian Section)",4802,121,348,2277,492,1,21,0,193,0,0,63,0,0,x1000
2021/2022,"Global Affairs","Invest in Canada Hub",9435,354,18959,4425,819,1,65,0,433,0,0,-4,0,0,x1000
2021/2022,"Global Affairs","Pacific Economic Development Agency of Canada",8753,109,16,2337,99,0,17,0,636,156737,0,2,0,0,x1000
2021/2022,Health,"Department of Health",1068578,185371,84964,269768,30863,26649,1295123,480,36304,3250850,0,6502,177678,32989,x1000
2021/2022,Health,"Canadian Food Inspection Agency",661575,7112,5172,75525,10048,9470,20531,0,20638,4937,0,9441,0,0,x1000
2021/2022,Health,"Canadian Institutes of Health Research",62413,216,423,3448,1737,139,12,0,582,1315234,0,95,0,0,x1000
