Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2017/2018,2016/2017-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires autochtones et du Nord","Autres paiements de transfert",6483,3262,x1000000
"Portefeuilles ministériels","Affaires autochtones et du Nord","Autres charges",3226,2793,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",4300,4183,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges",4540,4557,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",1258,1567,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges",1167,1436,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",24,24,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges",960,929,x1000000
"Portefeuilles ministériels","Bureau du secrétaire du gouverneur général","Autres charges",24,22,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres paiements de transfert",1,1,x1000000
"Portefeuilles ministériels","Conseil du Trésor","Autres charges",3881,3139,x1000000
"Portefeuilles ministériels","Conseil privé","Autres paiements de transfert",2,1,x1000000
"Portefeuilles ministériels","Conseil privé","Autres charges",380,307,x1000000
"Portefeuilles ministériels","Défense nationale","Autres paiements de transfert",155,153,x1000000
"Portefeuilles ministériels","Défense nationale","Autres charges",32077,26854,x1000000
"Portefeuilles ministériels","Défense nationale","Frais de la dette publique",79,84,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres paiements de transfert",222,170,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Autres charges",1807,1632,x1000000
"Portefeuilles ministériels","Environnement et Changement climatique","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Principaux paiements de transfert",70372,70839,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres paiements de transfert",9088,8489,x1000000
"Portefeuilles ministériels","Famille, Enfants et Développement social","Autres charges",3232,2863,x1000000
"Portefeuilles ministériels",Finances,"Principaux paiements de transfert",68447,66550,x1000000
"Portefeuilles ministériels",Finances,"Autres paiements de transfert",411,495,x1000000
"Portefeuilles ministériels",Finances,"Autres charges",527,499,x1000000
"Portefeuilles ministériels",Finances,"Frais de la dette publique",21623,20956,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres paiements de transfert",1296,1177,x1000000
"Portefeuilles ministériels","Immigration, Réfugiés et Citoyenneté","Autres charges",1338,1127,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Principaux paiements de transfert",2072,2102,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres paiements de transfert",1536,1014,x1000000
"Portefeuilles ministériels","Infrastructure et Collectivités","Autres charges",540,512,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres paiements de transfert",4768,4702,x1000000
"Portefeuilles ministériels","Innovation, Sciences et Développement économique","Autres charges",2623,2687,x1000000
"Portefeuilles ministériels",Justice,"Autres paiements de transfert",381,366,x1000000
"Portefeuilles ministériels",Justice,"Autres charges",1352,1285,x1000000
"Portefeuilles ministériels",Parlement,"Autres paiements de transfert",2,1,x1000000
"Portefeuilles ministériels",Parlement,"Autres charges",723,627,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres paiements de transfert",1278,1204,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Autres charges",3199,2884,x1000000
"Portefeuilles ministériels","Patrimoine canadien","Frais de la dette publique",3,0,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres paiements de transfert",127,99,x1000000
"Portefeuilles ministériels","Pêches, Océans et Garde côtière canadienne","Autres charges",1954,1935,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres paiements de transfert",909,704,x1000000
"Portefeuilles ministériels","Ressources naturelles","Autres charges",1649,1305,x1000000
"Portefeuilles ministériels","Ressources naturelles","Frais de la dette publique",1,2,x1000000
"Portefeuilles ministériels","Revenu national","Principaux paiements de transfert",23419,20099,x1000000
"Portefeuilles ministériels","Revenu national","Autres paiements de transfert",3622,3540,x1000000
"Portefeuilles ministériels","Revenu national","Autres charges",7798,7165,x1000000
"Portefeuilles ministériels",Santé,"Autres paiements de transfert",1631,1589,x1000000
"Portefeuilles ministériels",Santé,"Autres charges",2223,2088,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres paiements de transfert",918,894,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Autres charges",11318,10574,x1000000
"Portefeuilles ministériels","Sécurité publique et Protection civile","Frais de la dette publique",1,1,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres paiements de transfert",8778,7852,x1000000
"Portefeuilles ministériels","Services aux Autochtones","Autres charges",1868,1599,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres paiements de transfert",-1,0,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Autres charges",5003,4269,x1000000
"Portefeuilles ministériels","Services publics et Approvisionnement","Frais de la dette publique",139,146,x1000000
"Portefeuilles ministériels",Transports,"Autres paiements de transfert",213,311,x1000000
"Portefeuilles ministériels",Transports,"Autres charges",2715,1922,x1000000
"Portefeuilles ministériels",Transports,"Frais de la dette publique",42,42,x1000000
"Provision pour évaluation et autres éléments",,"Autres paiements de transfert",-264,-218,x1000000
"Provision pour évaluation et autres éléments",,"Autres charges",3106,5040,x1000000
