Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2016/2017,"Agriculture and Agri-Food","Department of Agriculture and Agri-Food",440959,14190,7534,112947,7090,14326,37107,65545,39207,1573797,0,362983,42809,17966,x1000
2016/2017,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,3773,0,0,x1000
2016/2017,"Agriculture and Agri-Food","Canadian Grain Commission",40024,3363,330,2806,5966,2676,1072,0,2556,0,0,89,78786,669,x1000
2016/2017,"Canadian Heritage","Department of Canadian Heritage",166092,4112,8432,23255,4499,1061,3943,0,3889,1183587,0,4069,6932,2739,x1000
2016/2017,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,222574,0,0,x1000
2016/2017,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1113024,0,0,x1000
2016/2017,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,33604,0,0,x1000
2016/2017,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,77747,0,0,x1000
2016/2017,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,7900,0,0,x1000
2016/2017,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,29770,0,0,x1000
2016/2017,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",48072,1642,1050,4889,1011,330,252,0,1582,0,0,249,47685,0,x1000
