Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2018/2019,2017/2018-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Major transfer payments",0,0,x1000000
Ministries,"Agriculture and Agri-Food","Other transfer payments",1397,1258,x1000000
Ministries,"Agriculture and Agri-Food","Other expenses",1175,1167,x1000000
Ministries,"Agriculture and Agri-Food","Public debt charges",0,0,x1000000
Ministries,"Canadian Heritage and Multiculturalism","Major transfer payments",0,0,x1000000
Ministries,"Canadian Heritage and Multiculturalism","Other transfer payments",1182,1257,x1000000
Ministries,"Canadian Heritage and Multiculturalism","Other expenses",3090,3177,x1000000
Ministries,"Canadian Heritage and Multiculturalism","Public debt charges",3,3,x1000000
Ministries,"Crown-Indigenous Relations","Major transfer payments",0,0,x1000000
Ministries,"Crown-Indigenous Relations","Other transfer payments",5543,6483,x1000000
Ministries,"Crown-Indigenous Relations","Other expenses",2357,3226,x1000000
Ministries,"Crown-Indigenous Relations","Public debt charges",0,0,x1000000
Ministries,"Democratic Institutions","Major transfer payments",0,0,x1000000
Ministries,"Democratic Institutions","Other transfer payments",1,2,x1000000
Ministries,"Democratic Institutions","Other expenses",178,123,x1000000
Ministries,"Democratic Institutions","Public debt charges",0,0,x1000000
Ministries,"Environment and Climate Change","Major transfer payments",0,0,x1000000
Ministries,"Environment and Climate Change","Other transfer payments",429,222,x1000000
Ministries,"Environment and Climate Change","Other expenses",1946,1807,x1000000
Ministries,"Environment and Climate Change","Public debt charges",0,1,x1000000
Ministries,"Families, Children and Social Development","Major transfer payments",72272,70372,x1000000
Ministries,"Families, Children and Social Development","Other transfer payments",8899,9088,x1000000
Ministries,"Families, Children and Social Development","Other expenses",3135,3232,x1000000
Ministries,"Families, Children and Social Development","Public debt charges",0,0,x1000000
Ministries,Finance,"Major transfer payments",70734,68447,x1000000
Ministries,Finance,"Other transfer payments",1012,411,x1000000
Ministries,Finance,"Other expenses",539,527,x1000000
Ministries,Finance,"Public debt charges",23012,21623,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Major transfer payments",0,0,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other transfer payments",182,127,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other expenses",2402,1954,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Public debt charges",0,0,x1000000
Ministries,"Global Affairs","Major transfer payments",0,0,x1000000
Ministries,"Global Affairs","Other transfer payments",4679,4300,x1000000
Ministries,"Global Affairs","Other expenses",2406,2150,x1000000
Ministries,"Global Affairs","Public debt charges",0,0,x1000000
Ministries,Health,"Major transfer payments",849,0,x1000000
Ministries,Health,"Other transfer payments",1930,1631,x1000000
Ministries,Health,"Other expenses",2269,2223,x1000000
Ministries,Health,"Public debt charges",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Major transfer payments",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other transfer payments",1434,1296,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other expenses",1455,1338,x1000000
Ministries,"Immigration, Refugees and Citizenship","Public debt charges",0,0,x1000000
Ministries,"Indigenous Services","Major transfer payments",0,0,x1000000
Ministries,"Indigenous Services","Other transfer payments",9731,8778,x1000000
Ministries,"Indigenous Services","Other expenses",1816,1868,x1000000
Ministries,"Indigenous Services","Public debt charges",0,0,x1000000
Ministries,"Infrastructure and Communities","Major transfer payments",4341,2072,x1000000
Ministries,"Infrastructure and Communities","Other transfer payments",3330,1536,x1000000
Ministries,"Infrastructure and Communities","Other expenses",539,540,x1000000
Ministries,"Infrastructure and Communities","Public debt charges",0,0,x1000000
Ministries,"Innovation, Science and Economic Development","Major transfer payments",0,0,x1000000
Ministries,"Innovation, Science and Economic Development","Other transfer payments",2636,2851,x1000000
Ministries,"Innovation, Science and Economic Development","Other expenses",2632,2540,x1000000
Ministries,"Innovation, Science and Economic Development","Public debt charges",0,0,x1000000
Ministries,Justice,"Major transfer payments",0,0,x1000000
Ministries,Justice,"Other transfer payments",400,381,x1000000
Ministries,Justice,"Other expenses",1425,1352,x1000000
Ministries,Justice,"Public debt charges",0,0,x1000000
Ministries,"National Defence","Major transfer payments",0,0,x1000000
Ministries,"National Defence","Other transfer payments",209,155,x1000000
Ministries,"National Defence","Other expenses",31714,32077,x1000000
Ministries,"National Defence","Public debt charges",74,79,x1000000
Ministries,"National Revenue","Major transfer payments",23865,23419,x1000000
Ministries,"National Revenue","Other transfer payments",4401,3622,x1000000
Ministries,"National Revenue","Other expenses",8529,7798,x1000000
Ministries,"National Revenue","Public debt charges",0,0,x1000000
Ministries,"Natural Resources","Major transfer payments",0,0,x1000000
Ministries,"Natural Resources","Other transfer payments",1717,909,x1000000
Ministries,"Natural Resources","Other expenses",2015,1649,x1000000
Ministries,"Natural Resources","Public debt charges",1,1,x1000000
Ministries,"Office of the Governor General's Secretary","Major transfer payments",0,0,x1000000
Ministries,"Office of the Governor General's Secretary","Other transfer payments",0,0,x1000000
Ministries,"Office of the Governor General's Secretary","Other expenses",22,24,x1000000
Ministries,"Office of the Governor General's Secretary","Public debt charges",0,0,x1000000
Ministries,Parliament,"Major transfer payments",0,0,x1000000
Ministries,Parliament,"Other transfer payments",1,2,x1000000
Ministries,Parliament,"Other expenses",730,723,x1000000
Ministries,Parliament,"Public debt charges",0,0,x1000000
Ministries,"Privy Council","Major transfer payments",0,0,x1000000
Ministries,"Privy Council","Other transfer payments",7,0,x1000000
Ministries,"Privy Council","Other expenses",348,342,x1000000
Ministries,"Privy Council","Public debt charges",0,0,x1000000
Ministries,"Public Safety and Emergency Preparedness","Major transfer payments",0,0,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other transfer payments",1132,918,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other expenses",11995,11318,x1000000
Ministries,"Public Safety and Emergency Preparedness","Public debt charges",1,1,x1000000
Ministries,"Public Services and Procurement","Major transfer payments",0,0,x1000000
Ministries,"Public Services and Procurement","Other transfer payments",0,-1,x1000000
Ministries,"Public Services and Procurement","Other expenses",4730,4918,x1000000
Ministries,"Public Services and Procurement","Public debt charges",133,139,x1000000
Ministries,Science,"Major transfer payments",0,0,x1000000
Ministries,Science,"Other transfer payments",2106,1917,x1000000
Ministries,Science,"Other expenses",93,83,x1000000
Ministries,Science,"Public debt charges",0,0,x1000000
Ministries,Transport,"Major transfer payments",0,0,x1000000
Ministries,Transport,"Other transfer payments",212,213,x1000000
Ministries,Transport,"Other expenses",2932,2715,x1000000
Ministries,Transport,"Public debt charges",42,42,x1000000
Ministries,"Treasury Board","Major transfer payments",0,0,x1000000
Ministries,"Treasury Board","Other transfer payments",1,1,x1000000
Ministries,"Treasury Board","Other expenses",6720,3881,x1000000
Ministries,"Treasury Board","Public debt charges",0,0,x1000000
Ministries,"Veterans Affairs","Major transfer payments",0,0,x1000000
Ministries,"Veterans Affairs","Other transfer payments",21,24,x1000000
Ministries,"Veterans Affairs","Other expenses",1120,960,x1000000
Ministries,"Veterans Affairs","Public debt charges",0,0,x1000000
Ministries,"Women and Gender Equality","Major transfer payments",0,0,x1000000
Ministries,"Women and Gender Equality","Other transfer payments",29,21,x1000000
Ministries,"Women and Gender Equality","Other expenses",42,22,x1000000
Ministries,"Women and Gender Equality","Public debt charges",0,0,x1000000
"Provision for valuation and other items",,"Major transfer payments",0,0,x1000000
"Provision for valuation and other items",,"Other transfer payments",-204,-264,x1000000
"Provision for valuation and other items",,"Other expenses",84,3106,x1000000
"Provision for valuation and other items",,"Public debt charges",0,0,x1000000
