Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_fra,Dept-name_Nom-min_fra,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2014/2015,"Affaires étrangères, Commerce et Développement","Ministère Affaires étrangères, Commerce et Développement",1085608,105123,11012,252592,194452,35833,45256,126276,44347,3858024,0,213750,-32054,-875,x1000
2014/2015,"Affaires étrangères, Commerce et Développement","Corporation commerciale canadienne",0,0,0,0,0,0,0,0,0,0,0,14240,0,0,x1000
2014/2015,"Affaires étrangères, Commerce et Développement","Exportation et développement Canada (Compte du Canada)",0,0,0,4106,0,0,0,0,0,0,0,-1509,0,0,x1000
2014/2015,"Affaires étrangères, Commerce et Développement","Centre de recherches pour le développement international",0,0,0,0,0,0,0,0,0,0,0,190024,0,0,x1000
2014/2015,"Affaires étrangères, Commerce et Développement","Commission mixte internationale (section canadienne)",3785,534,68,1338,407,14,24,0,478,0,0,117,0,0,x1000
2014/2015,"Affaires étrangères, Commerce et Développement","Commission de la capitale nationale",0,0,0,0,0,0,0,0,0,0,0,84161,0,0,x1000
2014/2015,"Affaires indiennes et du Nord canadien","Ministère Affaires indiennes et du Nord canadien",443595,27052,12059,310542,14965,3355,4045,26437,7296,6436034,0,409408,0,-3135,x1000
2014/2015,"Affaires indiennes et du Nord canadien","Commission canadienne des affaires polaires",835,96,19,149,101,0,8,0,14,1096,0,37,0,0,x1000
2014/2015,"Affaires indiennes et du Nord canadien","Commission de vérité et de réconciliation relative aux pensionnats indiens",2164,617,756,1961,416,5,13,0,5,0,0,58,0,0,x1000
2014/2015,"Affaires indiennes et du Nord canadien","Greffe du Tribunal des revendications particulières",725,111,0,168,200,2,10,0,64,0,0,33,0,0,x1000
2014/2015,"Agence canadienne de développement économique du Nord","Agence canadienne de développement économique du Nord",10586,821,43,2239,844,115,70,0,9,34120,0,274,0,0,x1000
2014/2015,"Agence de développement économique du Canada pour les régions du Québec","Agence de développement économique du Canada pour les régions du Québec",33376,859,316,4737,492,23,138,0,810,212168,0,979,0,0,x1000
2014/2015,"Agence de promotion économique du Canada atlantique","Ministère Agence de promotion économique du Canada atlantique",60117,2383,426,5406,2062,909,352,0,685,231079,0,1854,0,0,x1000
2014/2015,"Agence de promotion économique du Canada atlantique","Société d'expansion du Cap-Breton",0,0,0,0,0,0,0,0,0,0,0,9866,0,0,x1000
2014/2015,"Agence du revenu du Canada","Agence du revenu du Canada",3195454,127714,7990,354724,324970,35469,19390,0,18937,199643,0,92086,-141224,-174319,x1000
2014/2015,"Agriculture et Agroalimentaire","Ministère Agriculture et Agroalimentaire",461498,10337,4831,106082,3440,16405,39951,9577,39055,1346347,0,37704,-46583,-14653,x1000
2014/2015,"Agriculture et Agroalimentaire","Commission canadienne du lait",0,0,0,0,0,0,0,0,0,0,0,3884,0,0,x1000
2014/2015,"Agriculture et Agroalimentaire","Commission canadienne des grains",41203,3247,246,1981,5752,1098,577,0,4008,0,0,1094,-76118,0,x1000
2014/2015,"Anciens Combattants","Ministère Anciens Combattants",261829,24896,8702,363660,6410,5861,157182,450,2247,2534086,0,11557,0,0,x1000
2014/2015,"Anciens Combattants","Tribunal des anciens combattants (révision et appel)",9635,817,7,432,21,41,66,0,110,0,0,294,0,0,x1000
2014/2015,"Bureau de l'infrastructure du Canada","Ministère Bureau de l'infrastructure du Canada",37042,584,248,35672,1586,27,115,10203,738,3008522,0,1145,0,0,x1000
2014/2015,"Bureau de l'infrastructure du Canada","Les Ponts Jacques-Cartier et Champlain Inc.",0,0,0,0,0,0,0,0,0,0,0,244958,0,0,x1000
2014/2015,"Bureau du Conseil privé","Ministère Bureau du Conseil privé",98463,3430,2418,10409,1352,1701,747,0,2081,0,0,2667,0,-74,x1000
2014/2015,"Bureau du Conseil privé","Secrétariat des conférences intergouvernementales canadiennes",2635,702,9,1311,370,8,21,0,43,0,0,71,0,0,x1000
2014/2015,"Bureau du Conseil privé","Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports",25696,1410,99,2308,505,388,191,0,898,0,0,724,0,0,x1000
2014/2015,"Bureau du Conseil privé","Bureau du directeur général des élections",63397,8417,9847,40329,10578,767,3195,311,3769,8793,0,1363,0,0,x1000
