Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2016/2017,2015/2016-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Major transfer payments",0,0,x1000000
Ministries,"Agriculture and Agri-Food","Other transfer payments",1567,1289,x1000000
Ministries,"Agriculture and Agri-Food","Other expenses",1436,951,x1000000
Ministries,"Agriculture and Agri-Food","Public debt charges",0,0,x1000000
Ministries,"Canadian Heritage","Major transfer payments",0,0,x1000000
Ministries,"Canadian Heritage","Other transfer payments",1204,1056,x1000000
Ministries,"Canadian Heritage","Other expenses",2884,2763,x1000000
Ministries,"Canadian Heritage","Public debt charges",0,-116,x1000000
Ministries,"Environment and Climate Change","Major transfer payments",0,0,x1000000
Ministries,"Environment and Climate Change","Other transfer payments",170,135,x1000000
Ministries,"Environment and Climate Change","Other expenses",1632,1506,x1000000
Ministries,"Environment and Climate Change","Public debt charges",1,1,x1000000
Ministries,"Families, Children and Social Development","Major transfer payments",70839,72396,x1000000
Ministries,"Families, Children and Social Development","Other transfer payments",8489,6465,x1000000
Ministries,"Families, Children and Social Development","Other expenses",2863,2882,x1000000
Ministries,"Families, Children and Social Development","Public debt charges",0,0,x1000000
Ministries,Finance,"Major transfer payments",66550,63877,x1000000
Ministries,Finance,"Other transfer payments",495,512,x1000000
Ministries,Finance,"Other expenses",499,484,x1000000
Ministries,Finance,"Public debt charges",23833,25303,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Major transfer payments",0,0,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other transfer payments",99,94,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other expenses",1935,1544,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Public debt charges",0,0,x1000000
Ministries,"Global Affairs","Major transfer payments",0,0,x1000000
Ministries,"Global Affairs","Other transfer payments",4183,4367,x1000000
Ministries,"Global Affairs","Other expenses",4557,4972,x1000000
Ministries,"Global Affairs","Public debt charges",0,0,x1000000
Ministries,Health,"Major transfer payments",0,0,x1000000
Ministries,Health,"Other transfer payments",3229,2985,x1000000
Ministries,Health,"Other expenses",3519,3340,x1000000
Ministries,Health,"Public debt charges",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Major transfer payments",0,0,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other transfer payments",1177,1083,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other expenses",1127,1138,x1000000
Ministries,"Immigration, Refugees and Citizenship","Public debt charges",0,0,x1000000
Ministries,"Indigenous and Northern Affairs","Major transfer payments",0,0,x1000000
Ministries,"Indigenous and Northern Affairs","Other transfer payments",9474,7843,x1000000
Ministries,"Indigenous and Northern Affairs","Other expenses",2961,1408,x1000000
Ministries,"Indigenous and Northern Affairs","Public debt charges",0,0,x1000000
Ministries,"Infrastructure and Communities","Major transfer payments",2102,1973,x1000000
Ministries,"Infrastructure and Communities","Other transfer payments",1014,1098,x1000000
Ministries,"Infrastructure and Communities","Other expenses",512,340,x1000000
Ministries,"Infrastructure and Communities","Public debt charges",0,0,x1000000
Ministries,"Innovation, Science and Economic Development","Major transfer payments",0,0,x1000000
Ministries,"Innovation, Science and Economic Development","Other transfer payments",4702,2125,x1000000
Ministries,"Innovation, Science and Economic Development","Other expenses",2687,2441,x1000000
Ministries,"Innovation, Science and Economic Development","Public debt charges",0,0,x1000000
Ministries,Justice,"Major transfer payments",0,0,x1000000
Ministries,Justice,"Other transfer payments",366,340,x1000000
Ministries,Justice,"Other expenses",1285,1275,x1000000
Ministries,Justice,"Public debt charges",0,0,x1000000
Ministries,"National Defence","Major transfer payments",0,0,x1000000
Ministries,"National Defence","Other transfer payments",153,152,x1000000
Ministries,"National Defence","Other expenses",25576,28519,x1000000
Ministries,"National Defence","Public debt charges",84,88,x1000000
Ministries,"National Revenue","Major transfer payments",20099,10509,x1000000
Ministries,"National Revenue","Other transfer payments",3540,3701,x1000000
Ministries,"National Revenue","Other expenses",7165,7989,x1000000
Ministries,"National Revenue","Public debt charges",0,0,x1000000
Ministries,"Natural Resources","Major transfer payments",0,0,x1000000
Ministries,"Natural Resources","Other transfer payments",704,577,x1000000
Ministries,"Natural Resources","Other expenses",1305,1907,x1000000
Ministries,"Natural Resources","Public debt charges",2,2,x1000000
Ministries,"Office of the Governor General's Secretary","Major transfer payments",0,0,x1000000
Ministries,"Office of the Governor General's Secretary","Other transfer payments",0,0,x1000000
Ministries,"Office of the Governor General's Secretary","Other expenses",22,21,x1000000
Ministries,"Office of the Governor General's Secretary","Public debt charges",0,0,x1000000
Ministries,Parliament,"Major transfer payments",0,0,x1000000
Ministries,Parliament,"Other transfer payments",1,1,x1000000
Ministries,Parliament,"Other expenses",627,570,x1000000
Ministries,Parliament,"Public debt charges",0,0,x1000000
Ministries,"Privy Council Office","Major transfer payments",0,0,x1000000
Ministries,"Privy Council Office","Other transfer payments",1,105,x1000000
Ministries,"Privy Council Office","Other expenses",307,566,x1000000
Ministries,"Privy Council Office","Public debt charges",0,0,x1000000
Ministries,"Public Safety and Emergency Preparedness","Major transfer payments",0,0,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other transfer payments",894,620,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other expenses",10574,10375,x1000000
Ministries,"Public Safety and Emergency Preparedness","Public debt charges",1,1,x1000000
Ministries,"Public Services and Procurement","Major transfer payments",0,0,x1000000
Ministries,"Public Services and Procurement","Other transfer payments",0,0,x1000000
Ministries,"Public Services and Procurement","Other expenses",4269,4186,x1000000
Ministries,"Public Services and Procurement","Public debt charges",146,158,x1000000
Ministries,Transport,"Major transfer payments",0,0,x1000000
Ministries,Transport,"Other transfer payments",311,529,x1000000
Ministries,Transport,"Other expenses",1922,2611,x1000000
Ministries,Transport,"Public debt charges",42,6,x1000000
Ministries,"Treasury Board","Major transfer payments",0,0,x1000000
Ministries,"Treasury Board","Other transfer payments",1,0,x1000000
Ministries,"Treasury Board","Other expenses",3139,4214,x1000000
Ministries,"Treasury Board","Public debt charges",0,0,x1000000
Ministries,"Veterans Affairs","Major transfer payments",0,0,x1000000
Ministries,"Veterans Affairs","Other transfer payments",24,18,x1000000
Ministries,"Veterans Affairs","Other expenses",929,911,x1000000
Ministries,"Veterans Affairs","Public debt charges",0,0,x1000000
Ministries,"Provision for valuation and other items","Major transfer payments",0,0,x1000000
Ministries,"Provision for valuation and other items","Other transfer payments",-218,-221,x1000000
Ministries,"Provision for valuation and other items","Other expenses",2254,455,x1000000
Ministries,"Provision for valuation and other items","Public debt charges",0,0,x1000000
