Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2019/2020,"Agriculture and Agri-Food","Department of Agriculture and Agri-Food",506976,13062,10245,107802,8539,12692,34417,16455,42234,1857133,0,9609,31267,19966,x1000
2019/2020,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,3967,0,0,x1000
2019/2020,"Agriculture and Agri-Food","Canadian Grain Commission",45055,2652,254,2973,5940,2775,1279,0,3037,0,0,106,60689,677,x1000
2019/2020,"Canadian Heritage","Department of Canadian Heritage",187573,4662,2716,29919,4018,1362,2902,0,2991,1321511,0,1928,6252,2755,x1000
2019/2020,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,327771,0,0,x1000
2019/2020,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1210798,0,0,x1000
2019/2020,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,26955,0,0,x1000
2019/2020,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,75729,0,0,x1000
2019/2020,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,7905,0,0,x1000
2019/2020,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,29197,0,0,x1000
2019/2020,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",57848,1636,1474,4650,1133,437,284,0,1617,0,0,470,57489,0,x1000
2019/2020,"Canadian Heritage","Library and Archives of Canada",96012,1122,296,15331,4239,971,2450,4829,2237,2715,0,4669,166,351,x1000
2019/2020,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,35270,0,0,x1000
2019/2020,"Canadian Heritage","National Capital Commission",0,0,0,0,0,0,0,0,0,0,0,94258,0,0,x1000
2019/2020,"Canadian Heritage","National Film Board",44017,2736,1655,12221,7820,2292,404,0,5466,0,0,4128,4829,0,x1000
2019/2020,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,47171,0,0,x1000
2019/2020,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,30937,0,0,x1000
2019/2020,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,109379,0,0,x1000
2019/2020,"Canadian Heritage","The National Battlefields Commission",4515,126,272,1361,67,561,600,0,166,0,0,2711,0,0,x1000
2019/2020,"Crown-Indigenous Relations and Northern Affairs","Department of Indian Affairs and Northern Development",76158,3487,793,13839,2329,93,247,0,360,659924,0,10135,0,0,x1000
2019/2020,"Crown-Indigenous Relations and Northern Affairs","Department of Crown-Indigenous Relations and Northern Affairs",143618,8670,5966,156807,4062,765,1353,2663,1987,2142887,0,3002214,0,404,x1000
