Segment_Secteur_fra,Min-portfolio_Portefeuille-min_fra,Type-detail_fra,2021/2022,2020/2021-COMP,Amt-units_Mnt-unite
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Principaux paiements de transfert",2319,4340,x1000000
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Autres paiements de transfert",8610,8137,x1000000
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Autres charges",898,1507,x1000000
"Portefeuilles ministériels","Affaires intergouvernementales, Infrastructure et Collectivités","Frais de la dette publique",43,52,x1000000
"Portefeuilles ministériels","Affaires mondiales","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres paiements de transfert",6185,22734,x1000000
"Portefeuilles ministériels","Affaires mondiales","Autres charges",2943,2052,x1000000
"Portefeuilles ministériels","Affaires mondiales","Frais de la dette publique",0,0,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Principaux paiements de transfert",0,0,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Autres paiements de transfert",225,322,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Autres charges",68,48,x1000000
Ministries,"Agence de développement économique du Canada pour les régions du Québec","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres paiements de transfert",2223,3208,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Autres charges",1060,1069,x1000000
"Portefeuilles ministériels","Agriculture et Agroalimentaire","Frais de la dette publique",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Principaux paiements de transfert",0,0,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres paiements de transfert",43,59,x1000000
"Portefeuilles ministériels","Anciens Combattants","Autres charges",391,428,x1000000
"Portefeuilles ministériels","Anciens Combattants","Frais de la dette publique",0,0,x1000000
