Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2014/2015,2013/2014-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Major transfer payments",0,0,x1000000
Ministries,"Agriculture and Agri-Food","Other transfer payments",1290,1536,x1000000
Ministries,"Agriculture and Agri-Food","Other program expenses",791,896,x1000000
Ministries,"Agriculture and Agri-Food","Public debt charges",0,0,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Major transfer payments",0,0,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Other transfer payments",155,180,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Other program expenses",82,73,x1000000
Ministries,"Atlantic Canada Opportunities Agency","Public debt charges",0,0,x1000000
Ministries,"Canada Revenu Agency","Major transfer payments",10372,10402,x1000000
Ministries,"Canada Revenu Agency","Other transfer payments",3350,3362,x1000000
Ministries,"Canada Revenu Agency","Other program expenses",8108,7841,x1000000
Ministries,"Canada Revenu Agency","Public debt charges",0,0,x1000000
Ministries,"Canadian Heritage","Major transfer payments",0,0,x1000000
Ministries,"Canadian Heritage","Other transfer payments",1267,1130,x1000000
Ministries,"Canadian Heritage","Other program expenses",527,506,x1000000
Ministries,"Canadian Heritage","Public debt charges",0,0,x1000000
Ministries,"Canadian Northern Economic Development Agency","Major transfer payments",0,0,x1000000
Ministries,"Canadian Northern Economic Development Agency","Other transfer payments",34,36,x1000000
Ministries,"Canadian Northern Economic Development Agency","Other program expenses",15,13,x1000000
Ministries,"Canadian Northern Economic Development Agency","Public debt charges",0,0,x1000000
Ministries,"Citizenship and Immigration","Major transfer payments",0,0,x1000000
Ministries,"Citizenship and Immigration","Other transfer payments",984,953,x1000000
Ministries,"Citizenship and Immigration","Other program expenses",1061,1009,x1000000
Ministries,"Citizenship and Immigration","Public debt charges",0,0,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Major transfer payments",0,0,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Other transfer payments",105,137,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Other program expenses",74,60,x1000000
Ministries,"Economic Development Agency of Canada for the Regions of Quebec","Public debt charges",0,0,x1000000
Ministries,"Employment and Social Development","Major transfer payments",66086,61820,x1000000
Ministries,"Employment and Social Development","Other transfer payments",6311,6322,x1000000
Ministries,"Employment and Social Development","Other program expenses",2646,3110,x1000000
Ministries,"Employment and Social Development","Public debt charges",0,0,x1000000
Ministries,Environment,"Major transfer payments",0,0,x1000000
Ministries,Environment,"Other transfer payments",116,94,x1000000
Ministries,Environment,"Other program expenses",1541,1549,x1000000
Ministries,Environment,"Public debt charges",1,1,x1000000
Ministries,Finance,"Major transfer payments",61136,58369,x1000000
Ministries,Finance,"Other transfer payments",920,1100,x1000000
Ministries,Finance,"Other program expenses",511,530,x1000000
Ministries,Finance,"Public debt charges",26325,27991,x1000000
Ministries,"Fisheries and Oceans","Major transfer payments",0,0,x1000000
Ministries,"Fisheries and Oceans","Other transfer payments",90,85,x1000000
Ministries,"Fisheries and Oceans","Other program expenses",1581,1670,x1000000
Ministries,"Fisheries and Oceans","Public debt charges",0,0,x1000000
Ministries,"Foreign Affairs, Trade and Development","Major transfer payments",0,0,x1000000
Ministries,"Foreign Affairs, Trade and Development","Other transfer payments",4039,3913,x1000000
