Segment_Secteur_eng,Min-portfolio_Portefeuille-min_eng,Type-detail_eng,2017/2018,2016/2017-COMP,Amt-units_Mnt-unite
Ministries,"Agriculture and Agri-Food","Other transfer payments",1258,1567,x1000000
Ministries,"Agriculture and Agri-Food","Other expenses",1167,1436,x1000000
Ministries,"Canadian Heritage","Other transfer payments",1278,1204,x1000000
Ministries,"Canadian Heritage","Other expenses",3199,2884,x1000000
Ministries,"Canadian Heritage","Public debt charges",3,0,x1000000
Ministries,"Environment and Climate Change","Other transfer payments",222,170,x1000000
Ministries,"Environment and Climate Change","Other expenses",1807,1632,x1000000
Ministries,"Environment and Climate Change","Public debt charges",1,1,x1000000
Ministries,"Families, Children and Social Development","Major transfer payments",70372,70839,x1000000
Ministries,"Families, Children and Social Development","Other transfer payments",9088,8489,x1000000
Ministries,"Families, Children and Social Development","Other expenses",3232,2863,x1000000
Ministries,Finance,"Major transfer payments",68447,66550,x1000000
Ministries,Finance,"Other transfer payments",411,495,x1000000
Ministries,Finance,"Other expenses",527,499,x1000000
Ministries,Finance,"Public debt charges",21623,20956,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other transfer payments",127,99,x1000000
Ministries,"Fisheries, Oceans and the Canadian Coast Guard","Other expenses",1954,1935,x1000000
Ministries,"Global Affairs","Other transfer payments",4300,4183,x1000000
Ministries,"Global Affairs","Other expenses",4540,4557,x1000000
Ministries,Health,"Other transfer payments",1631,1589,x1000000
Ministries,Health,"Other expenses",2223,2088,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other transfer payments",1296,1177,x1000000
Ministries,"Immigration, Refugees and Citizenship","Other expenses",1338,1127,x1000000
Ministries,"Indigenous and Northern Affairs","Other transfer payments",6483,3262,x1000000
Ministries,"Indigenous and Northern Affairs","Other expenses",3226,2793,x1000000
Ministries,"Indigenous Services","Other transfer payments",8778,7852,x1000000
Ministries,"Indigenous Services","Other expenses",1868,1599,x1000000
Ministries,"Infrastructure and Communities","Major transfer payments",2072,2102,x1000000
Ministries,"Infrastructure and Communities","Other transfer payments",1536,1014,x1000000
Ministries,"Infrastructure and Communities","Other expenses",540,512,x1000000
Ministries,"Innovation, Science and Economic Development","Other transfer payments",4768,4702,x1000000
Ministries,"Innovation, Science and Economic Development","Other expenses",2623,2687,x1000000
Ministries,Justice,"Other transfer payments",381,366,x1000000
Ministries,Justice,"Other expenses",1352,1285,x1000000
Ministries,"National Defence","Other transfer payments",155,153,x1000000
Ministries,"National Defence","Other expenses",32077,26854,x1000000
Ministries,"National Defence","Public debt charges",79,84,x1000000
Ministries,"National Revenue","Major transfer payments",23419,20099,x1000000
Ministries,"National Revenue","Other transfer payments",3622,3540,x1000000
Ministries,"National Revenue","Other expenses",7798,7165,x1000000
Ministries,"Natural Resources","Other transfer payments",909,704,x1000000
Ministries,"Natural Resources","Other expenses",1649,1305,x1000000
Ministries,"Natural Resources","Public debt charges",1,2,x1000000
Ministries,"Office of the Governor General's Secretary","Other expenses",24,22,x1000000
Ministries,Parliament,"Other transfer payments",2,1,x1000000
Ministries,Parliament,"Other expenses",723,627,x1000000
Ministries,"Privy Council","Other transfer payments",2,1,x1000000
Ministries,"Privy Council","Other expenses",380,307,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other transfer payments",918,894,x1000000
Ministries,"Public Safety and Emergency Preparedness","Other expenses",11318,10574,x1000000
Ministries,"Public Safety and Emergency Preparedness","Public debt charges",1,1,x1000000
Ministries,"Public Services and Procurement","Other transfer payments",-1,0,x1000000
Ministries,"Public Services and Procurement","Other expenses",5003,4269,x1000000
Ministries,"Public Services and Procurement","Public debt charges",139,146,x1000000
Ministries,Transport,"Other transfer payments",213,311,x1000000
Ministries,Transport,"Other expenses",2715,1922,x1000000
Ministries,Transport,"Public debt charges",42,42,x1000000
Ministries,"Treasury Board","Other transfer payments",1,1,x1000000
Ministries,"Treasury Board","Other expenses",3881,3139,x1000000
Ministries,"Veterans Affairs","Other transfer payments",24,24,x1000000
Ministries,"Veterans Affairs","Other expenses",960,929,x1000000
"Provision for valuation and other items",,"Other transfer payments",-264,-218,x1000000
"Provision for valuation and other items",,"Other expenses",3106,5040,x1000000
