Fscl-yr_Ex-fin,Min-portfolio_Portefeuille-min_eng,Dept-name_Nom-min_eng,Std-obj1_Art-crnt1,Std-obj2_Art-crnt2,Std-obj3_Art-crnt3,Std-obj4_Art-crnt4,Std-obj5_Art-crnt5,Std-obj6_Art-crnt6,Std-obj7_Art-crnt7,Std-obj8_Art-crnt8,Std-obj9_Art-crnt9,Std-obj10_Art-crnt10,Std-obj11_Art-crnt11,Std-obj12_Art-crnt12,External-revenues_Revenus-externes,Internal-revenues_Revenus-internes,Amt-units_Mnt-unite
2015/2016,"Agriculture and Agri-Food","Agriculture and Agri-Food",443071,12168,6442,108129,2793,17989,38248,33936,50776,1269908,0,8978,-47279,-16749,x1000
2015/2016,"Agriculture and Agri-Food","Canadian Dairy Commission",0,0,0,0,0,0,0,0,0,0,0,3723,0,0,x1000
2015/2016,"Agriculture and Agri-Food","Canadian Grain Commission",38701,3255,301,2876,5800,744,747,0,2852,0,0,31,-76516,0,x1000
2015/2016,"Canadian Heritage","Canadian Heritage",168250,2899,8116,20990,3275,1136,2880,0,2703,1038351,0,1352,-6417,-2588,x1000
2015/2016,"Canadian Heritage","Canada Council for the Arts",0,0,0,0,0,0,0,0,0,0,0,182224,0,0,x1000
2015/2016,"Canadian Heritage","Canadian Broadcasting Corporation",0,0,0,0,0,0,0,0,0,0,0,1038024,0,0,x1000
2015/2016,"Canadian Heritage","Canadian Museum for Human Rights",0,0,0,0,0,0,0,0,0,0,0,21700,0,0,x1000
2015/2016,"Canadian Heritage","Canadian Museum of History",0,0,0,0,0,0,0,0,0,0,0,83587,0,0,x1000
2015/2016,"Canadian Heritage","Canadian Museum of Immigration at Pier 21",0,0,0,0,0,0,0,0,0,0,0,7700,0,0,x1000
2015/2016,"Canadian Heritage","Canadian Museum of Nature",0,0,0,0,0,0,0,0,0,0,0,26452,0,0,x1000
2015/2016,"Canadian Heritage","Canadian Radio-television and Telecommunications Commission",47651,1338,1083,5524,713,202,251,0,899,0,0,44,-46706,0,x1000
2015/2016,"Canadian Heritage","Library and Archives of Canada",75335,981,255,7114,2326,1338,1395,0,2225,1524,0,124,-170,-996,x1000
2015/2016,"Canadian Heritage","National Arts Centre Corporation",0,0,0,0,0,0,0,0,0,0,0,54897,0,0,x1000
2015/2016,"Canadian Heritage","National Capital Commission",0,0,0,0,0,0,0,0,0,0,0,38863,0,0,x1000
2015/2016,"Canadian Heritage","National Film Board",36502,3115,1162,10779,6940,1362,49,0,1689,0,0,1479,-3028,-128,x1000
2015/2016,"Canadian Heritage","National Gallery of Canada",0,0,0,0,0,0,0,0,0,0,0,45777,0,0,x1000
2015/2016,"Canadian Heritage","National Museum of Science and Technology",0,0,0,0,0,0,0,0,0,0,0,59601,0,0,x1000
2015/2016,"Canadian Heritage","Office of the Co-ordinator,Status of Women",9338,461,123,1002,126,5,21,0,168,18285,0,13,0,0,x1000
2015/2016,"Canadian Heritage","Telefilm Canada",0,0,0,0,0,0,0,0,0,0,0,95454,0,0,x1000
