Nom_portefeuille;Fonds_speciaux;REGRP_Sommaire;REGRP_Nom;Montant
Ressources naturelles et Forêts;Fonds d'information sur le territoire;Investissements;Excédent à approuver;0
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Revenus;Transferts provenant des autres entités du périmètre comptable du gouvernement du Québec;123 095 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Revenus;Revenus divers;5 156 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Dépenses;Rémunération;1 807 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Dépenses;Fonctionnement;5 620 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Dépenses;Transferts;98 995 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Dépenses;Excédent à approuver;0
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;21 828 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;72 590 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;94 418 000
Santé et Services sociaux;Fonds de prévention et de recherche en matière de cannabis;Investissements;Excédent à approuver;0
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Revenus;Transferts provenant du ministère responsable;600 158 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Revenus;Revenus divers;62 947 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Revenus;Transferts du gouvernement fédéral;1 155 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Dépenses;Rémunération;44 445 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Dépenses;Fonctionnement;386 470 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Dépenses;Transferts;225 170 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Dépenses;Créances douteuses et autres provisions;2 293 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Dépenses;Service de la dette;5 481 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Dépenses;Excédent à approuver;49 919 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;402 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;100 578 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Surplus (déficit);Redressements des années antérieures - Revenus;104 138 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;205 117 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Investissements;Immobilisations en ressources informationnelles;143 431 000
Santé et Services sociaux;Fonds des ressources informationnelles du secteur de la santé et des services sociaux;Investissements;Excédent à approuver;1 274 000
Sécurité publique;Fonds des services de police;Revenus;Transferts provenant du ministère responsable;451 537 000
Sécurité publique;Fonds des services de police;Revenus;Revenus divers;427 444 000
Sécurité publique;Fonds des services de police;Dépenses;Rémunération;697 328 000
Sécurité publique;Fonds des services de police;Dépenses;Fonctionnement;181 374 000
Sécurité publique;Fonds des services de police;Dépenses;Créances douteuses et autres provisions;2 000
Sécurité publique;Fonds des services de police;Dépenses;Service de la dette;277 000
Sécurité publique;Fonds des services de police;Dépenses;Excédent à approuver;50 959 000
Sécurité publique;Fonds des services de police;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;0
Sécurité publique;Fonds des services de police;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;0
Sécurité publique;Fonds des services de police;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;0
Sécurité publique;Fonds des services de police;Investissements;Immobilisations autres qu'en ressources informationnelles;28 467 000
Sécurité publique;Fonds des services de police;Investissements;Immobilisations en ressources informationnelles;7 651 000
Sécurité publique;Fonds des services de police;Investissements;Excédent à approuver;13 142 000
Tourisme;Fonds de partenariat touristique;Revenus;Transferts provenant du ministère responsable;178 027 000
Tourisme;Fonds de partenariat touristique;Revenus;Taxes à la consommation;168 395 000
Tourisme;Fonds de partenariat touristique;Revenus;Droits, permis et redevances;3 251 000
Tourisme;Fonds de partenariat touristique;Revenus;Revenus divers;7 766 000
Tourisme;Fonds de partenariat touristique;Dépenses;Rémunération;24 973 000
Tourisme;Fonds de partenariat touristique;Dépenses;Fonctionnement;13 932 000
Tourisme;Fonds de partenariat touristique;Dépenses;Transferts;314 549 000
Tourisme;Fonds de partenariat touristique;Dépenses;Créances douteuses et autres provisions;1 669 000
Tourisme;Fonds de partenariat touristique;Dépenses;Excédent à approuver;0
Tourisme;Fonds de partenariat touristique;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;2 315 000
Tourisme;Fonds de partenariat touristique;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;17 104 000
Tourisme;Fonds de partenariat touristique;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;19 419 000
Tourisme;Fonds de partenariat touristique;Investissements;Immobilisations autres qu'en ressources informationnelles;1 000
Tourisme;Fonds de partenariat touristique;Investissements;Immobilisations en ressources informationnelles;61 000
Tourisme;Fonds de partenariat touristique;Investissements;Excédent à approuver;0
Transports et Mobilité durable;Fonds aérien;Revenus;Revenus divers;115 463 000
Transports et Mobilité durable;Fonds aérien;Dépenses;Rémunération;34 633 000
Transports et Mobilité durable;Fonds aérien;Dépenses;Fonctionnement;77 746 000
Transports et Mobilité durable;Fonds aérien;Dépenses;Service de la dette;547 000
Transports et Mobilité durable;Fonds aérien;Dépenses;Excédent à approuver;4 065 000
Transports et Mobilité durable;Fonds aérien;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;2 537 000
Transports et Mobilité durable;Fonds aérien;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;66 433 000
Transports et Mobilité durable;Fonds aérien;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;68 970 000
Transports et Mobilité durable;Fonds aérien;Investissements;Immobilisations autres qu'en ressources informationnelles;29 949 000
Transports et Mobilité durable;Fonds aérien;Investissements;Immobilisations en ressources informationnelles;1 112 000
Transports et Mobilité durable;Fonds aérien;Investissements;Prêts, placements, avances et autres coûts ;23 054 000
Transports et Mobilité durable;Fonds aérien;Investissements;Excédent à approuver;7 916 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Revenus;Transferts provenant des autres entités du périmètre comptable du gouvernement du Québec;1 715 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Revenus;Revenus divers;178 130 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Dépenses;Rémunération;41 304 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Dépenses;Fonctionnement;126 580 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Dépenses;Service de la dette;10 839 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Dépenses;Excédent à approuver;0
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;1 121 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;26 828 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;27 949 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Investissements;Immobilisations autres qu'en ressources informationnelles;91 976 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Investissements;Immobilisations en ressources informationnelles;328 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Investissements;Prêts, placements, avances et autres coûts ;8 117 000
Transports et Mobilité durable;Fonds de gestion de l'équipement roulant;Investissements;Excédent à approuver;0
Transports et Mobilité durable;Fonds de la sécurité routière;Revenus;Revenus divers;91 293 000
Transports et Mobilité durable;Fonds de la sécurité routière;Dépenses;Rémunération;17 353 000
Transports et Mobilité durable;Fonds de la sécurité routière;Dépenses;Fonctionnement;19 597 000
Transports et Mobilité durable;Fonds de la sécurité routière;Dépenses;Transferts;20 829 000
Transports et Mobilité durable;Fonds de la sécurité routière;Dépenses;Créances douteuses et autres provisions;594 000
Transports et Mobilité durable;Fonds de la sécurité routière;Dépenses;Excédent à approuver;0
Transports et Mobilité durable;Fonds de la sécurité routière;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;32 920 000
Transports et Mobilité durable;Fonds de la sécurité routière;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;99 352 000
Transports et Mobilité durable;Fonds de la sécurité routière;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;132 272 000
Transports et Mobilité durable;Fonds de la sécurité routière;Investissements;Immobilisations autres qu'en ressources informationnelles;251 000
Transports et Mobilité durable;Fonds de la sécurité routière;Investissements;Excédent à approuver;0
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Revenus;Transferts provenant du ministère responsable;2 436 378 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Revenus;Transferts provenant des autres entités du périmètre comptable du gouvernement du Québec;164 642 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Revenus;Taxes à la consommation;2 120 466 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Revenus;Droits, permis et redevances;1 631 477 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Revenus;Revenus divers;54 242 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Revenus;Transferts du gouvernement fédéral;359 247 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Dépenses;Rémunération;396 704 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Dépenses;Fonctionnement;2 304 742 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Dépenses;Transferts;3 162 451 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Dépenses;Créances douteuses et autres provisions;9 280 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Dépenses;Service de la dette;1 009 906 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Dépenses;Excédent à approuver;827 963 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;-116 630 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;2 081 813 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;1 965 183 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Investissements;Immobilisations autres qu'en ressources informationnelles;4 012 692 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Investissements;Immobilisations en ressources informationnelles;22 175 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Investissements;Prêts, placements, avances et autres coûts ;372 290 000
Transports et Mobilité durable;Fonds des réseaux de transport terrestre;Investissements;Excédent à approuver;742 433 000
Travail;Fonds du Tribunal administratif du travail;Revenus;Transferts provenant du ministère responsable;5 673 000
Travail;Fonds du Tribunal administratif du travail;Revenus;Revenus divers;93 047 000
Travail;Fonds du Tribunal administratif du travail;Dépenses;Rémunération;80 294 000
Travail;Fonds du Tribunal administratif du travail;Dépenses;Fonctionnement;18 178 000
Travail;Fonds du Tribunal administratif du travail;Dépenses;Créances douteuses et autres provisions;1 000
Travail;Fonds du Tribunal administratif du travail;Dépenses;Service de la dette;247 000
Travail;Fonds du Tribunal administratif du travail;Dépenses;Excédent à approuver;0
Travail;Fonds du Tribunal administratif du travail;Surplus (déficit);Surplus (déficit) de l'exercice lié aux activités;0
Travail;Fonds du Tribunal administratif du travail;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, au début;11 488 000
Travail;Fonds du Tribunal administratif du travail;Surplus (déficit);Surplus (déficit) cumulé lié aux activités, à la fin;11 488 000
Travail;Fonds du Tribunal administratif du travail;Investissements;Immobilisations autres qu'en ressources informationnelles;372 000
Travail;Fonds du Tribunal administratif du travail;Investissements;Immobilisations en ressources informationnelles;510 000
Travail;Fonds du Tribunal administratif du travail;Investissements;Excédent à approuver;0
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
