Portefeuille;Programme;Nom_programme;Element;Nom_element;Repartition;Supercategorie;Type_de_credits;Montant
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;01;Cabinet du premier ministre;Dépenses;Fonctionnement;Permanents;34 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;01;Cabinet du premier ministre;Dépenses;Transferts;Annuels;331 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;02;Secrétariat général et greffe du Conseil exécutif;Dépenses;Rémunération;Annuels;16 468 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;02;Secrétariat général et greffe du Conseil exécutif;Dépenses;Fonctionnement;Annuels;1 265 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;02;Secrétariat général et greffe du Conseil exécutif;Dépenses;Transferts;Annuels;135 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;03;Direction générale de la gouvernance et de l'administration;Dépenses;Rémunération;Annuels;26 005 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;03;Direction générale de la gouvernance et de l'administration;Dépenses;Fonctionnement;Annuels;11 104 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;03;Direction générale de la gouvernance et de l'administration;Dépenses;Créances douteuses et autres provisions;Permanents;2 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;03;Direction générale de la gouvernance et de l'administration;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;94 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;03;Direction générale de la gouvernance et de l'administration;Investissements;Immobilisations en ressources informationnelles;Annuels;2 813 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;03;Direction générale de la gouvernance et de l'administration;Dépenses;;Ne nécessitant pas de crédits;1 325 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;04;Indemnités de l'exécutif;Dépenses;Rémunération;Permanents;3 042 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;05;Secrétariat à la communication gouvernementale;Dépenses;Rémunération;Annuels;73 019 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;05;Secrétariat à la communication gouvernementale;Dépenses;Fonctionnement;Annuels;4 094 000
Conseil exécutif;02;Services de soutien auprès du premier ministre et du Conseil exécutif;05;Secrétariat à la communication gouvernementale;Dépenses;;Ne nécessitant pas de crédits;-7 000
Conseil exécutif;03;Relations canadiennes;01;Cabinet du ministre responsable des Relations canadiennes et de la Francophonie canadienne;Dépenses;Rémunération;Annuels;986 000
Conseil exécutif;03;Relations canadiennes;01;Cabinet du ministre responsable des Relations canadiennes et de la Francophonie canadienne;Dépenses;Fonctionnement;Annuels;245 000
Conseil exécutif;03;Relations canadiennes;01;Cabinet du ministre responsable des Relations canadiennes et de la Francophonie canadienne;Dépenses;Fonctionnement;Permanents;14 000
Conseil exécutif;03;Relations canadiennes;01;Cabinet du ministre responsable des Relations canadiennes et de la Francophonie canadienne;Dépenses;Transferts;Annuels;55 000
Conseil exécutif;03;Relations canadiennes;02;Secrétariat du Québec aux relations canadiennes;Dépenses;Rémunération;Annuels;4 857 000
Conseil exécutif;03;Relations canadiennes;02;Secrétariat du Québec aux relations canadiennes;Dépenses;Fonctionnement;Annuels;804 000
Conseil exécutif;03;Relations canadiennes;02;Secrétariat du Québec aux relations canadiennes;Dépenses;Transferts;Annuels;3 689 000
Conseil exécutif;03;Relations canadiennes;02;Secrétariat du Québec aux relations canadiennes;Dépenses;;Ne nécessitant pas de crédits;-139 000
Conseil exécutif;03;Relations canadiennes;03;Représentation du Québec au Canada;Dépenses;Rémunération;Annuels;1 556 000
Conseil exécutif;03;Relations canadiennes;03;Représentation du Québec au Canada;Dépenses;Fonctionnement;Annuels;560 000
Conseil exécutif;03;Relations canadiennes;03;Représentation du Québec au Canada;Investissements;Prêts, placements, avances et autres coûts;Annuels;5 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;01;Cabinet du ministre responsable des Relations avec les Premières Nations et les Inuit;Dépenses;Rémunération;Annuels;950 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;01;Cabinet du ministre responsable des Relations avec les Premières Nations et les Inuit;Dépenses;Fonctionnement;Annuels;481 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;01;Cabinet du ministre responsable des Relations avec les Premières Nations et les Inuit;Dépenses;Fonctionnement;Permanents;45 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;01;Cabinet du ministre responsable des Relations avec les Premières Nations et les Inuit;Dépenses;Transferts;Annuels;55 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;02;Secrétariat aux relations avec les Premières Nations et les Inuit;Dépenses;Rémunération;Annuels;6 269 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;02;Secrétariat aux relations avec les Premières Nations et les Inuit;Dépenses;Fonctionnement;Annuels;4 358 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;02;Secrétariat aux relations avec les Premières Nations et les Inuit;Dépenses;Créances douteuses et autres provisions;Annuels;31 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;02;Secrétariat aux relations avec les Premières Nations et les Inuit;Dépenses;Créances douteuses et autres provisions;Permanents;6 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;02;Secrétariat aux relations avec les Premières Nations et les Inuit;Dépenses;Transferts;Annuels;434 173 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;02;Secrétariat aux relations avec les Premières Nations et les Inuit;Investissements;Prêts, placements, avances et autres coûts;Annuels;6 000
Conseil exécutif;04;Relations avec les Premières Nations et les Inuit;02;Secrétariat aux relations avec les Premières Nations et les Inuit;Dépenses;;Ne nécessitant pas de crédits;-1 245 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;01;Cabinet du ministre responsable des Institutions démocratiques, cabinet du ministre responsable de l'Accès à l'information et de la Protection des renseignements personnels et cabinet du ministre responsable de la Laïcité;Dépenses;Transferts;Annuels;55 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;02;Commission d'accès à l'information;Dépenses;Rémunération;Annuels;11 416 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;02;Commission d'accès à l'information;Dépenses;Fonctionnement;Annuels;1 702 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;02;Commission d'accès à l'information;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;35 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;02;Commission d'accès à l'information;Investissements;Immobilisations en ressources informationnelles;Annuels;304 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;02;Commission d'accès à l'information;Dépenses;;Ne nécessitant pas de crédits;24 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;03;Institutions démocratiques;Dépenses;Rémunération;Annuels;1 324 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;03;Institutions démocratiques;Dépenses;Fonctionnement;Annuels;66 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;04;Accès à l'information et protection des renseignements personnels;Dépenses;Rémunération;Annuels;971 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;04;Accès à l'information et protection des renseignements personnels;Dépenses;Fonctionnement;Annuels;16 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;05;Laïcité de l'État;Dépenses;Rémunération;Annuels;474 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;05;Laïcité de l'État;Dépenses;Fonctionnement;Annuels;54 000
Conseil exécutif;05;Institutions démocratiques, accès à l'information et laïcité;05;Laïcité de l'État;Dépenses;Transferts;Annuels;49 000
Conseil exécutif;06;Internet haute vitesse et projets spéciaux de connectivité;01;Secrétariat à l'Internet haute vitesse et aux projets spéciaux de connectivité;Dépenses;Rémunération;Annuels;3 339 000
Conseil exécutif;06;Internet haute vitesse et projets spéciaux de connectivité;01;Secrétariat à l'Internet haute vitesse et aux projets spéciaux de connectivité;Dépenses;Fonctionnement;Annuels;11 926 000
Conseil exécutif;06;Internet haute vitesse et projets spéciaux de connectivité;01;Secrétariat à l'Internet haute vitesse et aux projets spéciaux de connectivité;Dépenses;Transferts;Annuels;96 927 000
Conseil exécutif;06;Internet haute vitesse et projets spéciaux de connectivité;01;Secrétariat à l'Internet haute vitesse et aux projets spéciaux de connectivité;Dépenses;;Ne nécessitant pas de crédits;-13 773 000
Culture et Communications;01;Direction, administration et soutien à la mission;01;Direction et administration;Dépenses;Rémunération;Annuels;14 870 000
Culture et Communications;01;Direction, administration et soutien à la mission;01;Direction et administration;Dépenses;Fonctionnement;Annuels;20 695 000
Culture et Communications;01;Direction, administration et soutien à la mission;01;Direction et administration;Dépenses;Fonctionnement;Permanents;10 000
Culture et Communications;01;Direction, administration et soutien à la mission;01;Direction et administration;Dépenses;Service de la dette;Annuels;3 536 000
Culture et Communications;01;Direction, administration et soutien à la mission;01;Direction et administration;Investissements;Immobilisations en ressources informationnelles;Annuels;3 425 000
Culture et Communications;01;Direction, administration et soutien à la mission;01;Direction et administration;Dépenses;;Ne nécessitant pas de crédits;4 085 000
Culture et Communications;01;Direction, administration et soutien à la mission;02;Soutien à la mission;Dépenses;Rémunération;Annuels;29 991 000
Culture et Communications;01;Direction, administration et soutien à la mission;02;Soutien à la mission;Dépenses;Fonctionnement;Annuels;8 055 000
Culture et Communications;01;Direction, administration et soutien à la mission;02;Soutien à la mission;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;35 000
Culture et Communications;01;Direction, administration et soutien à la mission;02;Soutien à la mission;Dépenses;;Ne nécessitant pas de crédits;45 000
Culture et Communications;01;Direction, administration et soutien à la mission;03;Conseil du patrimoine culturel du Québec;Dépenses;Rémunération;Annuels;677 000
Culture et Communications;01;Direction, administration et soutien à la mission;03;Conseil du patrimoine culturel du Québec;Dépenses;Fonctionnement;Annuels;121 000
Culture et Communications;01;Direction, administration et soutien à la mission;04;Modification comptable – Paiements de transfert;Dépenses;Transferts;Annuels;152 567 000
Culture et Communications;01;Direction, administration et soutien à la mission;04;Modification comptable – Paiements de transfert;Dépenses;Transferts;Permanents;29 164 000
Culture et Communications;01;Direction, administration et soutien à la mission;04;Modification comptable – Paiements de transfert;Dépenses;Affectation à un fonds spécial;Annuels;635 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;01;Actions en matière de développement culturel, de communications et de patrimoine;Dépenses;Transferts;Annuels;284 132 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;01;Actions en matière de développement culturel, de communications et de patrimoine;Dépenses;Affectation à un fonds spécial;Annuels;21 533 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;01;Actions en matière de développement culturel, de communications et de patrimoine;Dépenses;;Ne nécessitant pas de crédits;-619 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;02;Musées nationaux;Dépenses;Transferts;Annuels;96 279 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;02;Musées nationaux;Dépenses;Transferts;Permanents;29 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;03;Société de la Place des Arts de Montréal et Société du Grand Théâtre de Québec;Dépenses;Transferts;Annuels;35 222 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;03;Société de la Place des Arts de Montréal et Société du Grand Théâtre de Québec;Dépenses;;Ne nécessitant pas de crédits;-30 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;04;Société de développement des entreprises culturelles;Dépenses;Transferts;Annuels;134 479 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;05;Société de télédiffusion du Québec;Dépenses;Transferts;Annuels;118 488 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;05;Société de télédiffusion du Québec;Dépenses;Transferts;Permanents;165 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;06;Conseil des arts et des lettres du Québec;Dépenses;Transferts;Annuels;176 794 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;07;Bibliothèque et Archives nationales du Québec;Dépenses;Transferts;Annuels;89 600 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;07;Bibliothèque et Archives nationales du Québec;Dépenses;Transferts;Permanents;4 000
Culture et Communications;02;Soutien et développement de la culture, des communications et du patrimoine;08;Conservatoire de musique et d'art dramatique du Québec;Dépenses;Transferts;Annuels;36 911 000
Culture et Communications;03;Jeunesse;01;Secrétariat à la jeunesse;Dépenses;Rémunération;Annuels;2 379 000
Culture et Communications;03;Jeunesse;01;Secrétariat à la jeunesse;Dépenses;Fonctionnement;Annuels;422 000
Culture et Communications;03;Jeunesse;01;Secrétariat à la jeunesse;Dépenses;Transferts;Annuels;60 353 000
Culture et Communications;03;Jeunesse;01;Secrétariat à la jeunesse;Dépenses;;Ne nécessitant pas de crédits;-1 263 000
Cybersécurité et Numérique;01;Direction et administration;01;Direction et administration;Dépenses;Rémunération;Annuels;30 839 000
Cybersécurité et Numérique;01;Direction et administration;01;Direction et administration;Dépenses;Fonctionnement;Annuels;12 353 000
Cybersécurité et Numérique;01;Direction et administration;01;Direction et administration;Dépenses;Fonctionnement;Permanents;10 000
Cybersécurité et Numérique;01;Direction et administration;01;Direction et administration;Dépenses;Transferts;Annuels;120 000
Cybersécurité et Numérique;01;Direction et administration;01;Direction et administration;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;15 000
Cybersécurité et Numérique;01;Direction et administration;01;Direction et administration;Investissements;Immobilisations en ressources informationnelles;Annuels;176 000
Cybersécurité et Numérique;01;Direction et administration;01;Direction et administration;Dépenses;;Ne nécessitant pas de crédits;263 000
Cybersécurité et Numérique;01;Direction et administration;02;Cybersécurité;Dépenses;Rémunération;Annuels;8 401 000
Cybersécurité et Numérique;01;Direction et administration;02;Cybersécurité;Dépenses;Fonctionnement;Annuels;2 477 000
Cybersécurité et Numérique;01;Direction et administration;02;Cybersécurité;Dépenses;Affectation à un fonds spécial;Annuels;30 912 000
Cybersécurité et Numérique;01;Direction et administration;02;Cybersécurité;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;50 000
Cybersécurité et Numérique;01;Direction et administration;02;Cybersécurité;Dépenses;;Ne nécessitant pas de crédits;3 000
Cybersécurité et Numérique;01;Direction et administration;03;Transformation numérique;Dépenses;Rémunération;Annuels;9 896 000
Cybersécurité et Numérique;01;Direction et administration;03;Transformation numérique;Dépenses;Fonctionnement;Annuels;2 598 000
Cybersécurité et Numérique;01;Direction et administration;03;Transformation numérique;Dépenses;Affectation à un fonds spécial;Annuels;27 825 000
Cybersécurité et Numérique;01;Direction et administration;03;Transformation numérique;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;17 000
Cybersécurité et Numérique;01;Direction et administration;04;Services à la clientèle des solutions communes;Dépenses;Rémunération;Annuels;1 621 000
Cybersécurité et Numérique;01;Direction et administration;04;Services à la clientèle des solutions communes;Dépenses;Fonctionnement;Annuels;230 000
Cybersécurité et Numérique;01;Direction et administration;04;Services à la clientèle des solutions communes;Dépenses;Affectation à un fonds spécial;Annuels;9 080 000
Cybersécurité et Numérique;02;Gestion des ressources informationnelles spécifiques;01;Projets majeurs visant l'accélération de la transformation numérique de l'État;Dépenses;Affectation à un fonds spécial;Annuels;68 945 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Dépenses;Rémunération;Annuels;25 190 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Dépenses;Fonctionnement;Annuels;15 937 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Dépenses;Fonctionnement;Permanents;19 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Dépenses;Transferts;Annuels;447 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Investissements;Prêts, placements, avances et autres coûts;Annuels;1 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;709 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Investissements;Immobilisations en ressources informationnelles;Annuels;974 000
Économie, Innovation et Énergie;01;Direction et administration;01;Direction et administration;Dépenses;;Ne nécessitant pas de crédits;1 826 000
Économie, Innovation et Énergie;02;Développement de l'économie;01;Politiques économiques et affaires extérieures;Dépenses;Rémunération;Annuels;6 844 000
Économie, Innovation et Énergie;02;Développement de l'économie;01;Politiques économiques et affaires extérieures;Dépenses;Fonctionnement;Annuels;4 501 000
Économie, Innovation et Énergie;02;Développement de l'économie;01;Politiques économiques et affaires extérieures;Dépenses;Transferts;Annuels;29 217 000
Économie, Innovation et Énergie;02;Développement de l'économie;01;Politiques économiques et affaires extérieures;Dépenses;;Ne nécessitant pas de crédits;-2 636 000
Économie, Innovation et Énergie;02;Développement de l'économie;02;Industries stratégiques et projets économiques majeurs;Dépenses;Rémunération;Annuels;10 003 000
Économie, Innovation et Énergie;02;Développement de l'économie;02;Industries stratégiques et projets économiques majeurs;Dépenses;Fonctionnement;Annuels;3 382 000
Économie, Innovation et Énergie;02;Développement de l'économie;02;Industries stratégiques et projets économiques majeurs;Dépenses;Transferts;Annuels;34 521 000
Économie, Innovation et Énergie;02;Développement de l'économie;02;Industries stratégiques et projets économiques majeurs;Dépenses;;Ne nécessitant pas de crédits;-6 058 000
Économie, Innovation et Énergie;02;Développement de l'économie;03;Développement économique régional et entrepreneuriat;Dépenses;Rémunération;Annuels;10 994 000
Économie, Innovation et Énergie;02;Développement de l'économie;03;Développement économique régional et entrepreneuriat;Dépenses;Fonctionnement;Annuels;505 000
Économie, Innovation et Énergie;02;Développement de l'économie;03;Développement économique régional et entrepreneuriat;Dépenses;Créances douteuses et autres provisions;Permanents;942 000
Économie, Innovation et Énergie;02;Développement de l'économie;03;Développement économique régional et entrepreneuriat;Dépenses;Transferts;Annuels;162 393 000
Économie, Innovation et Énergie;02;Développement de l'économie;03;Développement économique régional et entrepreneuriat;Investissements;Prêts, placements, avances et autres coûts;Annuels;3 270 000
Économie, Innovation et Énergie;02;Développement de l'économie;03;Développement économique régional et entrepreneuriat;Dépenses;;Ne nécessitant pas de crédits;-305 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;01;Soutien administratif;Dépenses;Rémunération;Annuels;9 424 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;01;Soutien administratif;Dépenses;Fonctionnement;Annuels;477 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;02;Soutien aux organismes et aux projets;Dépenses;Transferts;Annuels;172 394 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;02;Soutien aux organismes et aux projets;Dépenses;;Ne nécessitant pas de crédits;-965 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;03;Soutien aux infrastructures de recherche;Dépenses;Transferts;Annuels;103 473 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;04;Soutien à l'entrepreneuriat technologique;Dépenses;Transferts;Annuels;25 471 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;04;Soutien à l'entrepreneuriat technologique;Dépenses;;Ne nécessitant pas de crédits;-125 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;05;Soutien à la relève et à la culture scientifique;Dépenses;Transferts;Annuels;26 147 000
Économie, Innovation et Énergie;03;Développement de la science, de la recherche et de l'innovation;05;Soutien à la relève et à la culture scientifique;Dépenses;;Ne nécessitant pas de crédits;-617 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;01;Mandats gouvernementaux;Dépenses;Créances douteuses et autres provisions;Annuels;424 154 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;01;Mandats gouvernementaux;Dépenses;Affectation à un fonds spécial;Annuels;806 861 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;01;Mandats gouvernementaux;Dépenses;;Ne nécessitant pas de crédits;-184 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;02;Programme ESSOR;Dépenses;Créances douteuses et autres provisions;Annuels;74 557 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;02;Programme ESSOR;Dépenses;Affectation à un fonds spécial;Annuels;31 233 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;03;Rétention d'entreprises stratégiques;Dépenses;Affectation à un fonds spécial;Annuels;16 079 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;03;Rétention d'entreprises stratégiques;Dépenses;;Ne nécessitant pas de crédits;-15 425 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;04;Soutien aux projets de commercialisation;Dépenses;Créances douteuses et autres provisions;Annuels;23 976 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;04;Soutien aux projets de commercialisation;Dépenses;Affectation à un fonds spécial;Annuels;85 694 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;05;Autres mesures de soutien aux entreprises;Dépenses;Affectation à un fonds spécial;Annuels;16 004 000
Économie, Innovation et Énergie;04;Interventions relatives au Fonds du développement économique;05;Autres mesures de soutien aux entreprises;Dépenses;;Ne nécessitant pas de crédits;-5 248 000
Économie, Innovation et Énergie;05;Organismes dédiés à la recherche et à l'innovation;01;Fonds de recherche du Québec – Santé;Dépenses;Transferts;Annuels;101 256 000
Économie, Innovation et Énergie;05;Organismes dédiés à la recherche et à l'innovation;02;Fonds de recherche du Québec – Société et culture;Dépenses;Transferts;Annuels;71 067 000
Économie, Innovation et Énergie;05;Organismes dédiés à la recherche et à l'innovation;03;Fonds de recherche du Québec – Nature et technologies;Dépenses;Transferts;Annuels;74 004 000
Économie, Innovation et Énergie;05;Organismes dédiés à la recherche et à l'innovation;04;Commission de l'éthique en science et en technologie;Dépenses;Rémunération;Annuels;764 000
Économie, Innovation et Énergie;05;Organismes dédiés à la recherche et à l'innovation;04;Commission de l'éthique en science et en technologie;Dépenses;Fonctionnement;Annuels;52 000
Économie, Innovation et Énergie;06;Énergie;01;Électricité et combustibles;Dépenses;Rémunération;Annuels;6 205 000
Économie, Innovation et Énergie;06;Énergie;01;Électricité et combustibles;Dépenses;Fonctionnement;Annuels;972 000
Économie, Innovation et Énergie;06;Énergie;01;Électricité et combustibles;Dépenses;Transferts;Annuels;12 819 000
Économie, Innovation et Énergie;06;Énergie;01;Électricité et combustibles;Dépenses;Affectation à un fonds spécial;Annuels;4 006 000
Économie, Innovation et Énergie;06;Énergie;01;Électricité et combustibles;Dépenses;;Ne nécessitant pas de crédits;-113 000
Éducation;01;Administration;01;Direction;Dépenses;Rémunération;Annuels;17 632 000
Éducation;01;Administration;01;Direction;Dépenses;Fonctionnement;Annuels;7 646 000
Éducation;01;Administration;01;Direction;Dépenses;Fonctionnement;Permanents;42 000
Éducation;01;Administration;01;Direction;Dépenses;Transferts;Annuels;274 000
Éducation;01;Administration;02;Financement et budget;Dépenses;Rémunération;Annuels;19 530 000
Éducation;01;Administration;02;Financement et budget;Dépenses;Fonctionnement;Annuels;32 573 000
Éducation;01;Administration;02;Financement et budget;Investissements;Immobilisations autres qu'en ressources informationnelles;Annuels;533 000
Éducation;01;Administration;02;Financement et budget;Dépenses;;Ne nécessitant pas de crédits;-1 367 000
Éducation;01;Administration;03;Numérique et information;Dépenses;Rémunération;Annuels;21 769 000
Éducation;01;Administration;03;Numérique et information;Dépenses;Fonctionnement;Annuels;99 041 000
Éducation;01;Administration;03;Numérique et information;Investissements;Immobilisations en ressources informationnelles;Annuels;4 990 000
Éducation;01;Administration;03;Numérique et information;Dépenses;;Ne nécessitant pas de crédits;21 627 000
Éducation;01;Administration;04;Réussite éducative et main-d'œuvre;Dépenses;Rémunération;Annuels;45 331 000
Éducation;01;Administration;04;Réussite éducative et main-d'œuvre;Dépenses;Fonctionnement;Annuels;94 648 000
Éducation;01;Administration;04;Réussite éducative et main-d'œuvre;Investissements;Prêts, placements, avances et autres coûts;Annuels;2 000
Éducation;01;Administration;04;Réussite éducative et main-d'œuvre;Dépenses;;Ne nécessitant pas de crédits;-111 000
Éducation;01;Administration;05;Soutien, gouvernance et performance des réseaux;Dépenses;Rémunération;Annuels;3 155 000
Éducation;01;Administration;05;Soutien, gouvernance et performance des réseaux;Dépenses;Fonctionnement;Annuels;925 000
Éducation;01;Administration;06;Diversité, relations extérieures, anglophones et Autochtones;Dépenses;Rémunération;Annuels;6 904 000
Éducation;01;Administration;06;Diversité, relations extérieures, anglophones et Autochtones;Dépenses;Fonctionnement;Annuels;5 448 000
Éducation;01;Administration;06;Diversité, relations extérieures, anglophones et Autochtones;Dépenses;Transferts;Annuels;3 908 000
Éducation;01;Administration;07;Sport, loisir et plein air;Dépenses;Rémunération;Annuels;6 194 000
Éducation;01;Administration;07;Sport, loisir et plein air;Dépenses;Fonctionnement;Annuels;6 502 000
Éducation;01;Administration;07;Sport, loisir et plein air;Dépenses;Transferts;Annuels;138 000
Éducation;01;Administration;08;Gouvernance des infrastructures;Dépenses;Rémunération;Annuels;5 558 000
Éducation;01;Administration;08;Gouvernance des infrastructures;Dépenses;Fonctionnement;Annuels;55 000
Éducation;01;Administration;08;Gouvernance des infrastructures;Dépenses;;Ne nécessitant pas de crédits;-400 000
Éducation;02;Soutien aux organismes;01;Institut national des mines;Dépenses;Transferts;Annuels;1 505 000
Éducation;02;Soutien aux organismes;02;Soutien à des partenaires en éducation;Dépenses;Transferts;Annuels;72 289 000
Éducation;02;Soutien aux organismes;02;Soutien à des partenaires en éducation;Dépenses;;Ne nécessitant pas de crédits;-75 000
Éducation;02;Soutien aux organismes;03;Action communautaire;Dépenses;Transferts;Annuels;46 723 000
Éducation;02;Soutien aux organismes;04;Instances régionales de concertation;Dépenses;Transferts;Annuels;23 655 000
Éducation;02;Soutien aux organismes;05;Conseil supérieur de l'éducation;Dépenses;Rémunération;Annuels;2 749 000
Éducation;02;Soutien aux organismes;05;Conseil supérieur de l'éducation;Dépenses;Fonctionnement;Annuels;474 000
Éducation;02;Soutien aux organismes;05;Conseil supérieur de l'éducation;Dépenses;;Ne nécessitant pas de crédits;4 000
Éducation;02;Soutien aux organismes;06;Commission consultative de l'enseignement privé;Dépenses;Rémunération;Annuels;179 000
Éducation;02;Soutien aux organismes;06;Commission consultative de l'enseignement privé;Dépenses;Fonctionnement;Annuels;16 000
Éducation;02;Soutien aux organismes;07;Protecteur national de l'élève;Dépenses;Rémunération;Annuels;4 629 000
Éducation;02;Soutien aux organismes;07;Protecteur national de l'élève;Dépenses;Fonctionnement;Annuels;268 000
Éducation;03;Taxe scolaire – Subvention d'équilibre fiscal;01;Subvention d'équilibre fiscal;Dépenses;Transferts;Annuels;1 485 612 000
Éducation;04;Éducation préscolaire et enseignement primaire et secondaire;01;Centres de services scolaires et commissions scolaires;Dépenses;Transferts;Annuels;13 686 907 000
Éducation;04;Éducation préscolaire et enseignement primaire et secondaire;02;Centre de services scolaire et commissions scolaires à statut particulier;Dépenses;Transferts;Annuels;650 805 000
Éducation;04;Éducation préscolaire et enseignement primaire et secondaire;03;Financement des infrastructures des centres de services scolaires et des commissions scolaires;Dépenses;Transferts;Annuels;3 710 694 000
Éducation;04;Éducation préscolaire et enseignement primaire et secondaire;03;Financement des infrastructures des centres de services scolaires et des commissions scolaires;Dépenses;Transferts;Permanents;234 188 000
Éducation;04;Éducation préscolaire et enseignement primaire et secondaire;04;Enseignement privé;Dépenses;Transferts;Annuels;714 023 000
